Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.652968753660456;0.6626402742540054;0.6617117603655477;0.6618004465287823;0.6598782940695732;0.6649896428822281;0.6597858327885914;0.6634820937543342;0.6620254153324008;0.6573816142802008
External Fragmentation (Vertical);2;all; ;0.6789140441400412;0.6771670758336716;0.680109539061328;0.6801904089421977;0.6802222238408386;0.68182241614869;0.6776301286385039;0.6797137043373401;0.6800950402201941;0.6809658635313601
External Fragmentation (Vertical);3;all; ;0.6993983875639425;0.6961354669272618;0.6967321195058508;0.6929504665085859;0.6995906693311889;0.694803705078015;0.6974113531095059;0.6954863751877822;0.6960414797577626;0.6953947797326774
External Fragmentation (Vertical);4;all; ;0.7093280942325247;0.7086040574852728;0.7104019728323923;0.7084225348850911;0.710119677357277;0.710553307160882;0.7101231381259392;0.7121877259897673;0.7099659258178009;0.7101136872632846
External Fragmentation (Vertical);5;all; ;0.7222114105476468;0.7245613498728128;0.7203517450610686;0.7238222678643698;0.7224197864397995;0.7241716832201633;0.7236123200447727;0.7205255873084887;0.723488982246209;0.7215301403252463


External Fragmentation (Horizontal);1;all; ;0.6522131243562816;0.6596643364987167;0.6568207981160531;0.6588545619382333;0.6544732600924887;0.661271876515124;0.657746321940341;0.6569509576387125;0.6570313091383186;0.6539988029771764
External Fragmentation (Horizontal);2;all; ;0.6655577011518912;0.6657655988871108;0.6660088124261349;0.6648478346773977;0.6700478014970295;0.6680921026192947;0.6663962866681303;0.6678100765167584;0.6693263836036306;0.6656942817609138
External Fragmentation (Horizontal);3;all; ;0.6761869198151708;0.6742253310216193;0.674989229633798;0.6709138621971307;0.674748129007217;0.6747098302628644;0.6727907825436357;0.674553902873042;0.6726435060403176;0.6738288219484627
External Fragmentation (Horizontal);4;all; ;0.6767763422099969;0.6750147247291448;0.6783736808808409;0.6779524457551708;0.6762543978998223;0.675976797521729;0.6769547521003912;0.6779816741511829;0.6765159362543819;0.6788239535719739
External Fragmentation (Horizontal);5;all; ;0.6805620953633158;0.6788763521343493;0.6771814369045858;0.682348633659005;0.6810108283291403;0.6796385554485801;0.6802909714848862;0.6786986297601576;0.6786090936890494;0.680296469857046


External Fragmentation Per Link;1;<17-23>; ;0.5866089207491755;0.6016708109492647;0.6069876756138872;0.6056370813712147;0.6030037873719227;0.60248594040131;0.6001617941213518;0.6101811635402663;0.5965931841029852;0.6065970038017913
External Fragmentation Per Link;1;<12-11>; ;0.6307545821029295;0.6435217793148654;0.6361731497383768;0.643229201513522;0.6497820404767789;0.6508867764737588;0.6277217300932435;0.6535646778346313;0.6505794057621618;0.6581112749865321
External Fragmentation Per Link;1;<16-9>; ;0.7431993802455276;0.7451447102372304;0.7547151150507112;0.7315484004357256;0.7412143668556602;0.7509564471637351;0.7389816711494016;0.7434696620074466;0.7495801750243404;0.7417254665026959
External Fragmentation Per Link;1;<12-13>; ;0.7417103824930211;0.7514120283591557;0.7456840671369558;0.7517379131325351;0.7403071155393012;0.7683256006007818;0.7525778250094026;0.7525867038696141;0.758246814693786;0.7442059385297809
External Fragmentation Per Link;1;<22-16>; ;0.7195774749498276;0.7350994698684645;0.7318305557811694;0.7341960131655477;0.7237740475486575;0.7247889982724247;0.7186509816895166;0.719400425853604;0.7397374079118263;0.7328686618135375
External Fragmentation Per Link;1;<6-10>; ;0.46941059197737567;0.4724247278288368;0.5057703561474547;0.4922362904583447;0.493141465982992;0.4871982866548381;0.5184368954982419;0.5004852382352469;0.5049725855932662;0.49788918059731013
External Fragmentation Per Link;1;<12-3>; ;0.6665086304967455;0.6614046712757955;0.6656674481383169;0.6448857347666748;0.6494646926294263;0.661318687797522;0.6740993526575155;0.6895963286388185;0.6755866353707037;0.6522081444994574
External Fragmentation Per Link;1;<27-22>; ;0.5667027194887175;0.5908793018902029;0.5920785138373252;0.5593195320140587;0.5508944903205567;0.5749096813634691;0.5668951323204194;0.5969041676980673;0.5714712577245231;0.5792610216076027
External Fragmentation Per Link;1;<22-10>; ;0.37836090158002167;0.3773381313099352;0.4073579569163226;0.38209741716881845;0.3884489390755053;0.4119108119297645;0.36223969317766425;0.403541603520883;0.3688838291785976;0.4157144115524789
External Fragmentation Per Link;1;<27-28>; ;0.3775203528586306;0.4256778306417503;0.41305107710904526;0.40419283217336155;0.41414694137961505;0.3842142183905719;0.42082235315818545;0.3979777015093749;0.408664584959152;0.39570260304288735
External Fragmentation Per Link;1;<23-24>; ;0.5044596045799017;0.5437657265108579;0.5238358978583146;0.5216468431322221;0.5374112694597275;0.5308823303866737;0.51491575444154;0.5182090822861546;0.5430472018443215;0.5154604986134456
External Fragmentation Per Link;1;<27-26>; ;0.5639892089472065;0.6157695239150345;0.611985009743958;0.588955097989393;0.6219313554961899;0.595882641026185;0.5954495085381185;0.6032172268072842;0.589541785415249;0.5803851742937436
External Fragmentation Per Link;1;<1-2>; ;0.3976574058737166;0.40853416278745697;0.4068840236798341;0.41948538799710783;0.41580799607544305;0.41109917317102423;0.3758764084938113;0.4364065412413193;0.4122126182366766;0.38446827427770497
External Fragmentation Per Link;1;<1-4>; ;0.6775588493726681;0.6746589824175555;0.6818999365809031;0.686805248399223;0.675496897333413;0.6869795973536291;0.683958721775692;0.6761057478112782;0.672495223469471;0.6802888144965751
External Fragmentation Per Link;1;<3-2>; ;0.6740027327977516;0.7013337508654868;0.69456702795661;0.6920756979713044;0.6925899464251372;0.691569091805914;0.6976194497974265;0.7084699237908924;0.7063631430264339;0.6834586291908513
External Fragmentation Per Link;1;<3-4>; ;0.5572155683724461;0.5589369236710812;0.565267593419167;0.5875995754937475;0.5638593677721272;0.5832053885537711;0.5706804619590866;0.5596211180499429;0.570381374842023;0.5835984782705619
External Fragmentation Per Link;1;<10-9>; ;0.6504461565602047;0.6695168193687393;0.6703905650247832;0.6504273075157961;0.6609072185716;0.6677727278700624;0.6635720384226735;0.6570762320474272;0.6580772293855125;0.6805902199422101
External Fragmentation Per Link;1;<5-6>; ;0.6234216762404912;0.6337529095824482;0.6407473801942855;0.6669594084146369;0.6393443925849907;0.6393027582747297;0.634522869770774;0.6488491966082697;0.6432345845982155;0.6372100777992675
External Fragmentation Per Link;1;<10-6>; ;0.5177389912558251;0.5075208591324305;0.5347272960275888;0.5158155876971843;0.5256168463087928;0.5532236489433291;0.5411364499171032;0.535935369623647;0.5231096126512542;0.5312263010716327
External Fragmentation Per Link;1;<12-4>; ;0.7138466506366212;0.7293312403266087;0.7031583993839157;0.7238674288888113;0.7335230405528256;0.7227696854964871;0.7217885117711079;0.72528657003308;0.7202597226873831;0.7153825849681316
External Fragmentation Per Link;1;<5-7>; ;0.7644722504081461;0.7713486607946339;0.7706230328279283;0.7648637296601064;0.7652416104957832;0.7655487883720671;0.76571109338568;0.7676043678654687;0.771414120526993;0.7710877160387895
External Fragmentation Per Link;1;<7-5>; ;0.7465044256599402;0.7647183810261949;0.7600132548933315;0.7715227508521111;0.7690673811811951;0.7682856823555326;0.7572515219631323;0.7683965531796109;0.7552568614506321;0.7626701749483371
External Fragmentation Per Link;1;<15-13>; ;0.709512742810717;0.7250503494246887;0.7189883398346947;0.7009294020471104;0.7173337699851347;0.7152121835912973;0.7037313522709153;0.7095498393555247;0.6931724381770425;0.6996845498649072
External Fragmentation Per Link;1;<19-18>; ;0.7743490931293452;0.7793060765668228;0.7778490082461069;0.7747653353065549;0.7747138530057336;0.7688772239111576;0.7768615508273117;0.7765407560352845;0.7845809569281476;0.7767530600825456
External Fragmentation Per Link;1;<9-15>; ;0.6264060395173869;0.6585609418979199;0.6546988805540912;0.6307132383029077;0.6488141750971477;0.6320977840391659;0.6417124354125912;0.6440606642694325;0.637415009366522;0.6423168250313929
External Fragmentation Per Link;1;<16-22>; ;0.7166979931554027;0.7167870746769911;0.7119880804455461;0.7267151303122957;0.7119605368584144;0.7194929565029196;0.7178331881808679;0.7112490546137901;0.6959733778604177;0.7116222119937796
External Fragmentation Per Link;1;<7-9>; ;0.7770789264049208;0.7811541953926339;0.7804209245621637;0.7757421752021038;0.780489940388825;0.7806646865144015;0.78439096321524;0.7800649475418369;0.7811872644416474;0.771310547808182
External Fragmentation Per Link;1;<9-7>; ;0.7714261343306839;0.7781778403674061;0.7727470228406825;0.7839967205868777;0.7761570430842399;0.7813748481792379;0.7695244344110386;0.7777377020399406;0.7731341489421433;0.7731703491095413
External Fragmentation Per Link;1;<9-16>; ;0.7313946734632665;0.7343183374396913;0.7368618990047727;0.7488093018067773;0.7328379706137629;0.751983608360577;0.7400352376862472;0.7465965605173998;0.724520481414589;0.7386979510573616
External Fragmentation Per Link;1;<9-8>; ;0.7186769028483571;0.7262456582867238;0.7441134894451408;0.7251677732404616;0.7359479215289304;0.7417820928905151;0.7293858487687812;0.7231166563100754;0.7338456595986846;0.7261196766786002
External Fragmentation Per Link;1;<21-16>; ;0.6363559944830184;0.6459202204013698;0.629777834541279;0.6435837181970183;0.6477365512275358;0.6507774765686345;0.6424506551941823;0.6618568712372876;0.6345557359772589;0.6229594427882004
External Fragmentation Per Link;1;<19-14>; ;0.7920833479016457;0.7874000294909707;0.7886608888451252;0.7983991679409522;0.7860453722500819;0.7874978897385176;0.7885076324745097;0.7995486890354586;0.786899056133151;0.7926290412085941
External Fragmentation Per Link;1;<21-15>; ;0.7165568041530517;0.7415811006159667;0.7511828081215922;0.7346844512593242;0.7334241228046308;0.7404499403332966;0.7343052086415902;0.7304016967126841;0.7355759292454462;0.7267729929274197
External Fragmentation Per Link;1;<11-12>; ;0.6245265437583929;0.6632123044514624;0.6361129125826563;0.655657799361007;0.6468720413308923;0.668790697036357;0.644237101921925;0.6517634099475758;0.6561052510199146;0.658929117157505
External Fragmentation Per Link;1;<15-14>; ;0.725993532222882;0.7293044228717224;0.7618121839856461;0.7448614563849296;0.7428823200279628;0.751730995257563;0.7325675777415033;0.7406058097520228;0.7437705246122699;0.7397766536580113
External Fragmentation Per Link;1;<9-10>; ;0.6789644061672057;0.6607875621528824;0.6860021486874378;0.6810701477967814;0.6692826018338982;0.6935360446314595;0.6911686469650579;0.6761049394299284;0.6662320968455585;0.6789877173761397
External Fragmentation Per Link;1;<22-27>; ;0.5080862614222047;0.5324143084398407;0.5414149036061174;0.518416107146577;0.5058143234419488;0.5421859831971766;0.5374935012303901;0.5006984655226676;0.5173635746651251;0.5146870407898754
External Fragmentation Per Link;1;<16-21>; ;0.621426364816218;0.6369709877637817;0.6237790194336662;0.6439078767875103;0.6474344636596661;0.6580693279340203;0.6270863646695406;0.6357683188581557;0.6566952755485361;0.6547242298280838
External Fragmentation Per Link;1;<9-13>; ;0.7969210710299672;0.7983687808687912;0.8032705307010656;0.7933700485427165;0.7905893379893294;0.7970458096317921;0.7957599709009566;0.8051604804706409;0.8044360635340345;0.7963245197600277
External Fragmentation Per Link;1;<26-21>; ;0.7012896049776463;0.6945043304508688;0.7230391679958905;0.697247864889135;0.7118358349633968;0.6995679210731727;0.7055545705951414;0.7011980019666565;0.6922948956172698;0.688008204811154
External Fragmentation Per Link;1;<26-25>; ;0.43208103082105237;0.44001316716223293;0.4474575248488522;0.4461934587541324;0.46376152085217304;0.4215520428341289;0.4401432425146708;0.45080224451270356;0.45502713594549865;0.4428239712830279
External Fragmentation Per Link;1;<26-27>; ;0.6238880833954235;0.6337942033373366;0.6406039442185265;0.6292963834657773;0.6113850230154433;0.6103617303926774;0.6257063755726389;0.6208102323283285;0.6272165993562803;0.6046248624837164
External Fragmentation Per Link;1;<11-14>; ;0.7549818830944941;0.7676039826587373;0.7731994161795579;0.7701518003302064;0.7723360520237215;0.774358465138502;0.7528956098779219;0.7633789587909094;0.753892605187085;0.7548005331382471
External Fragmentation Per Link;1;<11-17>; ;0.722926067636903;0.7347642496710275;0.7273562287035598;0.7351739292293572;0.7312797214694425;0.7373670024968463;0.7194756607333381;0.7361676582455573;0.7281763607002663;0.7263247008828481
External Fragmentation Per Link;1;<11-18>; ;0.5894708021036628;0.5941976963266528;0.5776909158742759;0.5871119638783401;0.6129738494050341;0.6150167949829433;0.5956563340989839;0.598542499360903;0.6007645386664828;0.5978568826429422
External Fragmentation Per Link;1;<14-11>; ;0.7473430045163121;0.7555235083394534;0.7535559867762909;0.7611458144966603;0.7634722875148058;0.7722708515815554;0.7445068807633533;0.7635084370102335;0.7519125892533147;0.7620225000133246
External Fragmentation Per Link;1;<20-19>; ;0.6961003775020724;0.7144517887762337;0.695529302823451;0.7149828764775564;0.7060825838507949;0.6968900825716301;0.6965406402619331;0.7074896415769089;0.7037299206281388;0.6911688949020857
External Fragmentation Per Link;1;<18-19>; ;0.7757382087973914;0.7755420062834062;0.77050852976954;0.7772192247104278;0.7713491609398608;0.7756064952699847;0.7760250752914136;0.7752837135949674;0.7804689504907996;0.7779263564598301
External Fragmentation Per Link;1;<4-12>; ;0.7164048982156378;0.7250226829533333;0.7263791239390874;0.7365973567722723;0.7253635684125065;0.7387800717415876;0.7231384902506753;0.7206509788762269;0.7291441621310522;0.7273318519680874
External Fragmentation Per Link;1;<15-21>; ;0.7445160463068154;0.7493696422793422;0.7403326482598342;0.7569787946473048;0.7350901042463356;0.744405229907192;0.7413456858429706;0.7449835019411208;0.7387804015663388;0.7282700910725733
External Fragmentation Per Link;1;<14-15>; ;0.7513667979266584;0.7502603983647618;0.7520557031509358;0.7569028083885343;0.7468082879098619;0.7442534488574303;0.7407958551892391;0.7523936169715294;0.7420870505670256;0.744624690123401
External Fragmentation Per Link;1;<20-15>; ;0.6957713814185682;0.6953026829175903;0.6864406028219395;0.6926465641774121;0.6863620684235134;0.7006893766142883;0.6755955375217026;0.6852565857844434;0.680175787015288;0.6779761273199628
External Fragmentation Per Link;1;<21-26>; ;0.7108767201524382;0.7168966181026282;0.7215614565063782;0.7142094387767982;0.706158464601416;0.7047900023864113;0.7148429426044616;0.6985485743327088;0.7137335293725425;0.7012884947632552
External Fragmentation Per Link;1;<14-13>; ;0.7898509587485365;0.7902304022478003;0.7855262349117678;0.7910771013198228;0.782831135720592;0.7912126380466143;0.785327744691635;0.7883982712383211;0.7804466574822274;0.7811088328627437
External Fragmentation Per Link;1;<15-9>; ;0.6345007360724152;0.6204164518739501;0.6451740889292267;0.6401462214746912;0.6395925412924511;0.6493543857254396;0.628723273015355;0.6582545513060538;0.6248687385755651;0.6155149253367831
External Fragmentation Per Link;1;<25-28>; ;0.6501417767817591;0.6640338823619654;0.6586835349417064;0.668862853149182;0.6542529878171599;0.6714792154303292;0.6653930783786762;0.6636656363434063;0.6784513085023613;0.6584724486737877
External Fragmentation Per Link;1;<24-18>; ;0.7152160670903734;0.7380044728366629;0.7156546857500388;0.7268755913738196;0.717513133446872;0.728786930986679;0.7165788546391468;0.7338758528129626;0.7340891592095348;0.7321565037874369
External Fragmentation Per Link;1;<18-11>; ;0.5117529644933486;0.5262629181748593;0.5189369986015253;0.5213275563644127;0.5350203794587362;0.5300186160324043;0.5261306683753463;0.5375155326009119;0.54497657117615;0.5210912427047344
External Fragmentation Per Link;1;<15-20>; ;0.6685302950528929;0.6917364576112597;0.6851436887751506;0.6807377179145069;0.6815993181406036;0.6828806290644727;0.6872439700831545;0.6783776661110016;0.6875864280807613;0.6757759270925842
External Fragmentation Per Link;1;<8-13>; ;0.525107355756041;0.5576784729199709;0.5171672841351076;0.5375208058066528;0.5351448232257999;0.5540701861241283;0.5770195869785723;0.5448925119125594;0.5373711553194331;0.5199242727946952
External Fragmentation Per Link;1;<19-20>; ;0.7012242038001631;0.7039477591065767;0.7101959139685929;0.7081610038305829;0.7201518960322671;0.7076451859293109;0.7243374914917365;0.6943154044224452;0.7418253726367338;0.7132909294861722
External Fragmentation Per Link;1;<25-20>; ;0.717115860190649;0.7162228073348187;0.7077172348235682;0.715216252417353;0.7308537754810097;0.7293829824661187;0.7131579510303239;0.7235284046904571;0.7301856504646892;0.7146012405013012
External Fragmentation Per Link;1;<11-3>; ;0.5524241474775595;0.5915238171010668;0.5923449311959609;0.5757175001237832;0.5814090545225347;0.6028038928160402;0.575380123153268;0.6144594947944911;0.5671702984558736;0.5761760985127906
External Fragmentation Per Link;1;<2-1>; ;0.3665874205896854;0.4133136992661356;0.4154261930797415;0.426281580999946;0.4449486462728024;0.43046752359728924;0.4321200890496941;0.46056371533408225;0.429460330127589;0.40870534371751294
External Fragmentation Per Link;1;<25-26>; ;0.4622936022717924;0.45111228586687474;0.42754560029837635;0.4568290505396567;0.4333120710331814;0.4285517047481271;0.42518367446118077;0.45765936731420154;0.4795659401878674;0.4497073482034626
External Fragmentation Per Link;1;<14-19>; ;0.7903797863306015;0.7980081606623455;0.7990889892929144;0.7995816727296216;0.7872065801768908;0.7989453902201153;0.7912975767808242;0.7868643338015626;0.8005946574111686;0.7921899552059242
External Fragmentation Per Link;1;<2-3>; ;0.6853684162423488;0.6825197800695254;0.6678212735601503;0.6960841992336895;0.6884250629638907;0.691634805869531;0.689376938643622;0.6894643109763783;0.6946009336124602;0.6875960163825264
External Fragmentation Per Link;1;<4-1>; ;0.667503343941862;0.6715447476743774;0.664353397870095;0.6687291345127663;0.671882665055641;0.6642215719368778;0.6693748840923199;0.6806848241825694;0.6638113003178867;0.6660066567313884
External Fragmentation Per Link;1;<13-9>; ;0.7945573281776241;0.7915297896368496;0.7892286943535656;0.8003939644987272;0.7940116483013377;0.7987682756569564;0.7921996615398696;0.7916672580692452;0.7934128505370506;0.7871925112058414
External Fragmentation Per Link;1;<13-8>; ;0.5372753227435342;0.5307751541333677;0.5332596367283291;0.5353884724391762;0.5277457359352807;0.579122071492341;0.5490145622033155;0.5438854805383475;0.535890511367176;0.5570982885888119
