Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.44617009320441026;0.4440057430007179;0.44563319624427716;0.44743380697259105;0.4466874459883286;0.4464832398705451;0.4469887928025749;0.4451992314112144;0.4452105273365528;0.44727755901693406
Percentage of cicuits by modulation;1;16QAM;all; ;0.11983839401631562;0.11987543897091636;0.1197427640257624;0.11736159639723581;0.11756823676774739;0.11811299116557977;0.1196048396478846;0.11754944393765891;0.12177808808983534;0.11966325917017438
Percentage of cicuits by modulation;1;32QAM;all; ;0.039083845214796444;0.03858093556586019;0.03900248312252658;0.038162900846339;0.03911173254876829;0.039361278221064604;0.03899251560864001;0.03843914368340353;0.03756715346870697;0.0389793028533742
Percentage of cicuits by modulation;1;BPSK;all; ;0.030286589028620147;0.029947032459595273;0.030418250950570342;0.029272459041851075;0.029780457727674365;0.029117627049459145;0.029637026408655523;0.02948197892203482;0.030090572331801166;0.02944542509650263
Percentage of cicuits by modulation;1;64QAM;all; ;0.007227701668378321;0.007343668147688248;0.007400869092884302;0.007492817765354453;0.007719420897783215;0.0077459108005403675;0.007242021173459495;0.007753818682918309;0.0074280948779116;0.0069734060093496015
Percentage of cicuits by modulation;1;8QAM;all; ;0.35739337686747924;0.36024718185522203;0.3578024365639792;0.3602764189766286;0.3591327060696981;0.359178952892811;0.35753480435878543;0.36157638336277004;0.3579255638951921;0.35766104785366515
Percentage of cicuits by modulation;2;QPSK;all; ;0.4450792967488822;0.44139367914469885;0.4454197239393019;0.44272782491133883;0.4446934481577531;0.44281642687143125;0.4457065148268811;0.44216741244088476;0.4398719304429562;0.441783504347145
Percentage of cicuits by modulation;2;16QAM;all; ;0.1175607322108188;0.11717351540109358;0.1164686174433527;0.1199325979191567;0.11962616822429907;0.11868639876201016;0.11826284327825227;0.11798572421693707;0.12030509536678025;0.1199674943212971
Percentage of cicuits by modulation;2;32QAM;all; ;0.0385085753979513;0.03954691733588959;0.03850938978634195;0.03892274232419617;0.03848901502177423;0.03902998011772656;0.03947638754365883;0.040408886625999944;0.03866564837661066;0.038096263805122585
Percentage of cicuits by modulation;2;BPSK;all; ;0.028705325258533816;0.028307884929523734;0.03001596802476513;0.028567509845798148;0.027734011841268287;0.028667691795379084;0.028646062633911538;0.02879634978605908;0.028502330317628166;0.028726404010339157
