Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.041279150358175205;0.04143825110035397;0.04202360416264639;0.041782078428436044;0.04180616363448881;0.04279087091937827;0.04158316745716207;0.04202786232729992;0.04163422953478515;0.04172938663638446
Relative Fragmentation per spectrum size (c);1;all;3; ;0.08237377545632327;0.08352645093170977;0.08374072650199209;0.08401416471541673;0.08360098238109515;0.08473225945083315;0.08319286597231673;0.08439146704444524;0.08336115610723757;0.08356141874254587
Relative Fragmentation per spectrum size (c);1;all;5; ;0.15467190893071348;0.15678058930778915;0.1579618582763293;0.1579108881639065;0.15683212068190888;0.1584625743789451;0.15544152243611303;0.15704979585318754;0.15639420815325675;0.1559727313675638
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.045303699433564056;0.04514601142968444;0.045163426098304;0.04508355575721372;0.045396663555306395;0.04576864342994937;0.045097435614007995;0.04542581104939078;0.04511515186720662;0.0454240175352754
Relative Fragmentation per spectrum size (c);2;all;3; ;0.09032129502337949;0.09020414021711952;0.09068059635430632;0.09057243596030812;0.09003790172630372;0.09141719204763461;0.08995024908405731;0.0904857812113175;0.0898250596033619;0.09027424574228526
Relative Fragmentation per spectrum size (c);2;all;5; ;0.1686366908504576;0.16824386509132966;0.16920707493754414;0.16812127896901266;0.16871223564608717;0.17008583355413126;0.16779988125842032;0.16852785081516533;0.16804416492476607;0.16908987444142937
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.048878497279804985;0.04894264732179283;0.048393535042682484;0.04898453650742132;0.04924844235109975;0.048320361862013994;0.04900191552961911;0.04863215959422875;0.04889470449354129;0.049106908773459
Relative Fragmentation per spectrum size (c);3;all;3; ;0.09759809526255239;0.09653257619834608;0.09704579172896341;0.09676373256256904;0.09777838600844273;0.09675634234905373;0.09668170048451569;0.09619769387863705;0.09708628038242927;0.09661739754823756
Relative Fragmentation per spectrum size (c);3;all;5; ;0.1818752435472353;0.18066187156648295;0.1799787797570857;0.1802148795007254;0.1822515304767048;0.17901822683144014;0.18114638847601253;0.17946510065785584;0.1809423636685313;0.18012321462828149
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.051820413417641896;0.05141903385421459;0.05155140493603874;0.05202532178881526;0.0520277483615448;0.051894636111995456;0.05172196093229065;0.05220092902900684;0.05164866347773915;0.05171183746605754
Relative Fragmentation per spectrum size (c);4;all;3; ;0.10240146194919376;0.10250258197399673;0.10243884930814072;0.10260523712951161;0.10281207108170422;0.1024047370287558;0.10318410951159779;0.10311867926068818;0.10224091184224522;0.1028880486476628
Relative Fragmentation per spectrum size (c);4;all;5; ;0.1910172331497168;0.19013446437842485;0.19059310869964857;0.19048795463966028;0.19129623319936778;0.18987100694305245;0.19118584777061798;0.19145625548380366;0.19133106590862872;0.1913812356880952
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.05460778511091758;0.05582455158290841;0.05533304266507676;0.0548727845196179;0.05532388742014467;0.05492204824062594;0.0549272401359019;0.054696754958120666;0.055158145176152085;0.055039606058458555
Relative Fragmentation per spectrum size (c);5;all;3; ;0.10853556474686815;0.1098310959997939;0.10842413736555102;0.10895711252508378;0.1088151709635723;0.10929309973127475;0.10883075836467833;0.10821694576294913;0.10924436902371885;0.10841249241889918
Relative Fragmentation per spectrum size (c);5;all;5; ;0.2013347580496608;0.20348102126577555;0.20138304336023194;0.20190509925721223;0.20178185757133027;0.2016143896960159;0.20153817920468317;0.2006743414862309;0.20165443941076525;0.20071220899659273


