Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Tx utilization geral;1;all;all;all; ;617.5555175656039;623.7159586289426;622.7775593355558;623.3756066520406;622.7923754167023;625.179056139651;619.1057830203911;625.1674692043954;620.7131378750321;623.2584456411279
Tx utilization geral;2;all;all;all; ;663.1983645325811;664.3097320758659;661.1624925207283;662.5750254057801;663.9518667312495;669.6191412371428;659.7223219458454;665.9354645696213;662.6926327986248;664.3688634356213
Tx utilization geral;3;all;all;all; ;706.973245576545;702.2289654386415;702.947602359176;706.0067337189313;707.4133116790609;700.065722616368;704.8681463752837;701.4356402731478;704.0562916108689;705.6156651565661
Tx utilization geral;4;all;all;all; ;744.8034304926347;739.2797010190804;742.3854745419836;739.3335042881158;742.7966492862638;739.9257391419969;739.6183434481579;743.7101841562907;741.8690676316114;743.2755601143498
Tx utilization geral;5;all;all;all; ;777.5005651005309;783.5114872116325;778.078819652202;780.9281989913668;781.1465937259595;783.9322734136821;781.4777236420966;777.0794274914285;781.0845181449506;777.4881043963871


Rx utilization geral;1;all;all;all; ;617.5555175656039;623.7159586289426;622.7775593355558;623.3756066520406;622.7923754167023;625.179056139651;619.1057830203911;625.1674692043954;620.7131378750321;623.2584456411279
Rx utilization geral;2;all;all;all; ;663.1983645325811;664.3097320758659;661.1624925207283;662.5750254057801;663.9518667312495;669.6191412371428;659.7223219458454;665.9354645696213;662.6926327986248;664.3688634356213
Rx utilization geral;3;all;all;all; ;706.973245576545;702.2289654386415;702.947602359176;706.0067337189313;707.4133116790609;700.065722616368;704.8681463752837;701.4356402731478;704.0562916108689;705.6156651565661
Rx utilization geral;4;all;all;all; ;744.8034304926347;739.2797010190804;742.3854745419836;739.3335042881158;742.7966492862638;739.9257391419969;739.6183434481579;743.7101841562907;741.8690676316114;743.2755601143498
Rx utilization geral;5;all;all;all; ;777.5005651005309;783.5114872116325;778.078819652202;780.9281989913668;781.1465937259595;783.9322734136821;781.4777236420966;777.0794274914285;781.0845181449506;777.4881043963871


Regenerator utilization geral;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


Max tx utilization geral;1;all;all;all; ;703.0;721.0;715.0;730.0;716.0;703.0;704.0;723.0;710.0;717.0
Max tx utilization geral;2;all;all;all; ;754.0;758.0;751.0;757.0;763.0;764.0;744.0;782.0;755.0;758.0
Max tx utilization geral;3;all;all;all; ;790.0;788.0;798.0;829.0;831.0;795.0;802.0;797.0;803.0;811.0
Max tx utilization geral;4;all;all;all; ;854.0;835.0;833.0;827.0;830.0;848.0;846.0;838.0;841.0;841.0
Max tx utilization geral;5;all;all;all; ;876.0;879.0;872.0;882.0;885.0;878.0;905.0;880.0;877.0;866.0


Max rx utilization geral;1;all;all;all; ;703.0;721.0;715.0;730.0;716.0;703.0;704.0;723.0;710.0;717.0
Max rx utilization geral;2;all;all;all; ;754.0;758.0;751.0;757.0;763.0;764.0;744.0;782.0;755.0;758.0
Max rx utilization geral;3;all;all;all; ;790.0;788.0;798.0;829.0;831.0;795.0;802.0;797.0;803.0;811.0
Max rx utilization geral;4;all;all;all; ;854.0;835.0;833.0;827.0;830.0;848.0;846.0;838.0;841.0;841.0
Max rx utilization geral;5;all;all;all; ;876.0;879.0;872.0;882.0;885.0;878.0;905.0;880.0;877.0;866.0


Max regenerator utilization geral;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


Tx utilization per node;1;all;22;all; ;23.195173693980376;23.204867611660873;22.942287513116476;23.20388091440723;23.928496868475992;22.93054459352802;22.59370869680148;23.416534181240063;22.694736842105264;23.94842105263158
Tx utilization per node;1;all;23;all; ;22.694824349691608;22.687717420390687;22.939116801672327;23.065936999466096;21.694843168527377;22.668698648290484;22.884871044934858;22.631719711152716;22.827150749802684;22.960877610362147
Tx utilization per node;1;all;24;all; ;23.71406570841889;22.80538684974914;21.8860103626943;22.540860215053762;22.601433882103027;23.169329073482427;21.425502990755845;23.36335483870968;22.691341528594336;23.12293144208038
Tx utilization per node;1;all;25;all; ;23.339304257528557;23.67595002602811;23.736318407960198;23.78541448058762;22.492118621426663;24.01767343708784;22.50719131614654;23.439752555137172;22.705422174264903;22.939053728949478
Tx utilization per node;1;all;26;all; ;23.24787007454739;22.280908096280086;23.950341565948502;22.58218993812214;24.049512773242032;22.33556687215224;22.729956663055255;22.451370231058572;23.046746347941568;23.070138150903293
Tx utilization per node;1;all;27;all; ;23.37890832008479;23.87789638115074;23.72828623282344;23.170320855614975;23.206951026856242;23.70625662778367;22.808413719185424;23.277225060500136;23.66257040450589;22.669443697930664
Tx utilization per node;1;all;28;all; ;23.490956749672346;23.434421841541756;21.851409978308027;22.916305525460455;23.56125431836301;22.88539989264627;22.907307898979045;23.821399839098955;22.5651832460733;22.79930238797961
Tx utilization per node;1;all;10;all; ;23.819254491820864;24.748593350383633;23.334214701216286;22.06143719144268;22.89634958699707;23.101755348326932;23.82503328894807;23.712879191059073;22.156665761607385;23.642857142857142
Tx utilization per node;1;all;11;all; ;22.799946077109734;23.286278641032393;23.679305740987985;23.67148488830486;24.04383634431456;23.605402542372882;23.592573357569464;23.56254959005554;23.34841628959276;22.92442173211404
Tx utilization per node;1;all;12;all; ;23.44837602323739;22.816810344827587;23.189027702335686;23.766648907831645;23.65964257135236;23.601837270341207;23.85591628655755;24.095937090432503;23.660493827160494;23.11682119205298
Tx utilization per node;1;all;13;all; ;23.516480595427964;23.45579145391024;24.533732742901798;24.466822794691648;23.634600053149082;24.39751059322034;23.84496537027171;23.611637704054765;23.122237017310255;24.329331941544886
Tx utilization per node;1;all;14;all; ;22.69591728525981;23.698063146723268;23.740117521367523;23.140212360468283;23.147951037786058;23.829764453961456;24.065956894313164;24.1086439333862;22.92193308550186;23.06953642384106
Tx utilization per node;1;all;15;all; ;22.595023243095433;24.53791469194313;23.176887435268466;23.596880782447794;23.24077616835201;23.422467078742272;23.341450641529196;23.63247408982195;23.55743059335874;23.303622621839978
Tx utilization per node;1;all;16;all; ;23.281420057009587;22.70045466702327;23.46771142934342;22.959644874899112;22.77938808373591;23.100439077936333;23.340425531914892;22.9400108577633;23.093054801953336;23.798887122416534
Tx utilization per node;1;all;17;all; ;22.134336236474002;22.2502002670227;22.522696749932848;22.765203163348787;23.200106581401545;23.850835945663533;22.669938975855665;22.209681733083713;21.753693258125168;23.458311755567063
Tx utilization per node;1;all;18;all; ;22.271948608137045;22.512440444679726;22.991527667460947;22.44276629570747;22.429805615550755;22.308686091258934;23.0178716490658;22.695745826602046;23.288517634579687;22.949777661522365
Tx utilization per node;1;all;19;all; ;23.269451697127938;22.84778523489933;22.787663755458514;22.863770447841244;23.50276534105873;23.225746761829235;22.82095709570957;22.92326203208556;22.358245329000813;22.906822405096893
Tx utilization per node;1;all;1;all; ;22.78521692554901;22.277442371020857;23.172088142707242;23.586071987480437;23.286664892201223;23.682758620689654;23.10728476821192;24.37897184190132;22.72555791710946;23.576275644397686
Tx utilization per node;1;all;2;all; ;22.203167667941017;22.71839233430929;22.584342211460857;23.729268922758976;23.766169154228855;23.07402494030247;22.74354923644023;23.8989712476919;24.409114448472295;22.358770244304147
Tx utilization per node;1;all;3;all; ;22.199612403100776;23.41772809981804;23.948968799576942;23.83874401277275;23.896661367249603;23.21767416644077;23.853549908304952;22.53371242891958;23.224906065485776;24.07234600262123
Tx utilization per node;1;all;4;all; ;23.438356164383563;23.811786567560393;23.4227021332631;23.065092007690193;23.022606382978722;24.6340710241894;23.194234913793103;23.56166219839142;23.377433982395306;23.60629095674967
Tx utilization per node;1;all;5;all; ;22.149010165864098;21.79967905857181;22.702724147051043;22.689157867628122;23.13083870967742;22.430369989722507;22.437483548302186;21.502815768302494;22.043121693121694;21.64349472545307
Tx utilization per node;1;all;6;all; ;21.267324020816215;21.911976527073886;22.591593973037273;22.520228215767634;22.51334214002642;21.81624966370729;22.94202518363064;23.629120166104336;23.100498556809235;23.160629921259844
Tx utilization per node;1;all;7;all; ;22.590572033898304;22.50053619302949;22.55792845702082;22.525396825396825;22.057722720084342;22.765649658074697;21.76513191929643;22.708837453971594;22.788068646145465;23.003674540682415
Tx utilization per node;1;all;8;all; ;23.521424745581147;23.82478064344589;23.722499343659752;24.2860507720492;22.14836956521739;23.50078905839032;23.708344301131877;24.25666051173833;23.300875563810028;23.631062814736286
Tx utilization per node;1;all;9;all; ;23.766233766233768;23.927512799784424;23.44376495612869;23.799312533051296;23.54406964091404;23.527475444650914;23.532262312351858;22.703225806451613;23.779968034096964;23.615343491045174
Tx utilization per node;1;all;20;all; ;24.059862869198312;24.910709609845508;23.32164838105432;22.746308016877638;23.786585365853657;23.069020021074817;22.83235294117647;23.119702806824435;23.780031612223393;23.033618076605126
Tx utilization per node;1;all;21;all; ;23.048348106365832;23.239625167336012;23.014080765143465;23.40454914703493;23.682650862068964;23.26888708367181;23.0;23.590695243073707;23.729525299947834;22.631995631995633
Tx utilization per node;2;all;22;all; ;23.987456631972243;24.019545694664554;24.54555112881806;24.948863636363637;24.109743040685224;24.672340425531914;24.337628188272415;24.588467614533965;24.47480106100796;23.91475586727812
Tx utilization per node;2;all;23;all; ;24.145905574819952;24.57897503285151;23.476943346508563;22.822885299753626;23.89673340358272;24.070075757575758;24.126694473409803;24.496085594989562;22.83119315141787;24.45985208663497
Tx utilization per node;2;all;24;all; ;23.7394441475147;23.02335164835165;23.885383806519453;23.41991341991342;23.246099096632904;24.194100605741376;23.47021779060614;24.61818665248604;24.049223479863123;24.100131406044678
Tx utilization per node;2;all;25;all; ;24.4464807436919;25.1888;23.958959227467812;23.6429167826329;24.660042395336514;25.680106100795754;25.129267657023718;24.30891891891892;24.645904213556662;24.06732079585718
Tx utilization per node;2;all;26;all; ;24.29471656576775;24.593081594930023;24.450306421529444;25.184972606313593;24.59801618376403;25.5139896373057;24.39994598973805;24.439655172413794;25.247888067581837;25.95195040041333
Tx utilization per node;2;all;27;all; ;25.075123472835976;26.05139949109415;24.890956072351422;25.41327843540916;25.208931419457734;23.928019856591284;24.374306326304108;25.341117816845973;25.27363445378151;23.114097641250687
