Sigma;;Ponto de Carga 1;Ponto de Carga 2;Ponto de Carga 3;Ponto de Carga 4;Ponto de Carga 5;
0.0;;0;0;0;0;0;
0.025;;0;0;0;0;0;
0.05;;25833;22855;20514;18264;16363;
0.07500000000000001;;185648;173438;161337;154061;145625;
0.1;;102639;101911;102430;102862;102616;
0.125;;108125;109735;111271;112345;113792;
0.15000000000000002;;221700;212303;206053;201230;196087;
0.17500000000000002;;150604;147660;143665;139530;136316;
0.2;;132931;131373;129849;128558;126355;
0.225;;235595;239416;238570;237351;235885;
0.25;;147632;149062;148148;147885;146664;
0.275;;74820;74885;74676;73489;72478;
0.30000000000000004;;88853;90971;91669;91358;89491;
0.325;;8524;8777;9131;9131;8843;
0.35000000000000003;;0;0;0;0;0;
0.375;;0;0;0;0;0;
