Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;1.0447236705891291E-4;8.547739123001966E-5;5.698492748667977E-5;1.1396985497335954E-4;6.64824154011264E-5;3.7989951657786515E-5;1.329648308022528E-4;5.698492748667977E-5;7.597990331557303E-5;8.547739123001966E-5
blocking probability;2;all;all;all; ;7.40804057326837E-4;4.273869561500983E-4;3.988944924067584E-4;8.167839606424101E-4;6.078392265245842E-4;5.413568111234579E-4;7.123115935834972E-4;3.32412077005632E-4;5.983417386101376E-4;6.553266660968174E-4
blocking probability;3;all;all;all; ;0.0022414071478094044;0.002260402123638298;0.002260402123638298;0.0023648744906972106;0.0021369347807504917;0.002383869466526104;0.001946985022461559;0.0020324624136915785;0.0020419599016060254;0.002488341833585017
blocking probability;4;all;all;all; ;0.006686231491770426;0.005356583183747899;0.006999648592947165;0.006382311878508134;0.005907437482785803;0.005290100768346772;0.005603517869523511;0.00588844250695691;0.006002412361930269;0.0060119098498447165
blocking probability;5;all;all;all; ;0.012441709167925084;0.011501457864394868;0.012793116220759609;0.010751156319153583;0.012299246849208384;0.011444472936908187;0.012004824723860538;0.011843367429314947;0.01256517651081289;0.013628895157230913


blocking probability fragmentation;1;all;all;all; ;5.698492748667977E-5;2.8492463743339886E-5;1.8994975828893257E-5;3.7989951657786515E-5;9.497487914446629E-6;9.497487914446629E-6;1.8994975828893257E-5;9.497487914446629E-6;0.0;1.8994975828893257E-5
blocking probability fragmentation;2;all;all;all; ;8.547739123001966E-5;5.698492748667977E-5;9.49748791444663E-5;1.994472462033792E-4;1.2346734288780616E-4;1.1396985497335954E-4;1.614572945455927E-4;4.748743957223315E-5;1.7095478246003932E-4;9.49748791444663E-5
blocking probability fragmentation;3;all;all;all; ;4.463819319789916E-4;4.938693715512247E-4;5.318593232090112E-4;5.223618352945646E-4;3.798995165778652E-4;5.223618352945646E-4;3.988944924067584E-4;4.463819319789916E-4;4.0839198032120505E-4;5.318593232090112E-4
blocking probability fragmentation;4;all;all;all; ;0.0017190453125148397;0.0013486432838514214;0.0019374875345471122;0.0014436181629958876;0.0015290955542259072;0.0012156784530491685;0.0014531156509103341;0.001510100578397014;0.001586080481712587;0.0015955779696270335
