Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;BPSK;all; ;0.03567629179331307;0.035628122566060676;0.03486726504250368;0.03615155919034185;0.03614034421184605;0.03637676066370967;0.0354113434083418;0.036187491095597664;0.03578925372567271;0.03541915997036531
Percentage of cicuits by modulation;1;32QAM;all; ;0.037224544072948326;0.03747079272810167;0.037564705323645343;0.037243894793833526;0.03799247748945709;0.03708909931900425;0.03707362481833639;0.03734625065298951;0.03713799948709668;0.037746243422427384
Percentage of cicuits by modulation;1;64QAM;all; ;0.007142857142857143;0.006525331965578161;0.0067436007028541575;0.006686993607462077;0.0064207286957182474;0.007180373645369324;0.006791606903692165;0.007104525810894239;0.006658244920832423;0.006886267358142893
Percentage of cicuits by modulation;1;8QAM;all; ;0.3622150455927052;0.36408882809977017;0.36406895569169395;0.362854890339004;0.3641294023783291;0.36302677443559034;0.3633272224702452;0.36510424087001947;0.3618342942355366;0.36439277369350886
Percentage of cicuits by modulation;1;QPSK;all; ;0.4538373860182371;0.4531543853650197;0.455126561238543;0.4532717825967192;0.4526708711675088;0.45235404180953015;0.4547052062653761;0.4529325165028257;0.4541758878451412;0.453106893865998
Percentage of cicuits by modulation;1;16QAM;all; ;0.10390387537993921;0.10313253927546968;0.10162891200075984;0.10379087947263937;0.10264617605714069;0.10397295012679628;0.10269099613400838;0.10132497506767346;0.10440431978572039;0.10244866168955757
Percentage of cicuits by modulation;2;BPSK;all; ;0.03617423702394191;0.03552629078539802;0.03462265674733252;0.035083883845824816;0.036796639645718304;0.036385578805329076;0.03524178832116788;0.03542790909781865;0.03505720910784202;0.035429853072551365
Percentage of cicuits by modulation;2;32QAM;all; ;0.038094151863362895;0.037322083499610435;0.03804311679920949;0.03796397509624067;0.03824113583015766;0.038542676321341014;0.03750380170316302;0.03856312229231588;0.037585053407838215;0.03799585637984452
Percentage of cicuits by modulation;2;64QAM;all; ;0.006719701937973444;0.00717366930809722;0.006850421381675836;0.007033886222137731;0.007013409106027921;0.0071554820685329834;0.007061663625304136;0.006821463859542449;0.007174896415402744;0.0072323278401855125
Percentage of cicuits by modulation;2;8QAM;all; ;0.3632060676912549;0.36160994242061456;0.36178015943144354;0.36298655006891306;0.3620268562251133;0.35918999562878917;0.3632717457420925;0.36323820019761344;0.3618143459915612;0.3615118511337933
Percentage of cicuits by modulation;2;QPSK;all; ;0.45346107420185716;0.45672044543260554;0.45582380830221664;0.45400883988403595;0.4519847567639484;0.45500503639508144;0.4544270833333333;0.4529908033746295;0.45403314707112175;0.4544772005854289
