Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Tx utilization geral;1;all;all;all; ;390.3297432829017;391.1771661395561;393.70546390479717;389.1147391514944;391.9713270839863;390.0923440749922;388.41565755857573;391.7641583801085;391.49182741164964;393.8938275826044
Tx utilization geral;2;all;all;all; ;443.4840489690477;441.44800600241234;443.82337521725503;441.6808844060746;436.9243810012252;439.71761119183975;441.1244645791188;439.216029860102;441.71453400575547;439.44340921826176
Tx utilization geral;3;all;all;all; ;490.2873275018758;490.37940564720634;487.83309114739154;492.75492682185563;487.02349678510035;490.7910362709063;486.52551500128214;487.8923839644414;488.8047791359185;487.86328366147154
Tx utilization geral;4;all;all;all; ;535.6114482719321;533.350476299019;533.8309637100987;536.0244560313797;537.1988868944164;532.341472680476;533.5492587210683;538.5195980663115;532.2345499615352;534.2835854916375
Tx utilization geral;5;all;all;all; ;582.1449886505019;581.5025975629446;581.7782526521735;576.4382425848363;583.4640377620119;580.7527708920991;578.8299854688435;579.3894159994682;579.6818721448177;584.3539998670352


Rx utilization geral;1;all;all;all; ;390.3297432829017;391.1771661395561;393.70546390479717;389.1147391514944;391.9713270839863;390.0923440749922;388.41565755857573;391.7641583801085;391.49182741164964;393.8938275826044
Rx utilization geral;2;all;all;all; ;443.4840489690477;441.44800600241234;443.82337521725503;441.6808844060746;436.9243810012252;439.71761119183975;441.1244645791188;439.216029860102;441.71453400575547;439.44340921826176
Rx utilization geral;3;all;all;all; ;490.2873275018758;490.37940564720634;487.83309114739154;492.75492682185563;487.02349678510035;490.7910362709063;486.52551500128214;487.8923839644414;488.8047791359185;487.86328366147154
Rx utilization geral;4;all;all;all; ;535.6114482719321;533.350476299019;533.8309637100987;536.0244560313797;537.1988868944164;532.341472680476;533.5492587210683;538.5195980663115;532.2345499615352;534.2835854916375
Rx utilization geral;5;all;all;all; ;582.1449886505019;581.5025975629446;581.7782526521735;576.4382425848363;583.4640377620119;580.7527708920991;578.8299854688435;579.3894159994682;579.6818721448177;584.3539998670352


Regenerator utilization geral;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


Max tx utilization geral;1;all;all;all; ;459.0;470.0;464.0;460.0;468.0;465.0;477.0;471.0;472.0;463.0
Max tx utilization geral;2;all;all;all; ;523.0;524.0;521.0;525.0;514.0;524.0;510.0;532.0;517.0;507.0
Max tx utilization geral;3;all;all;all; ;568.0;592.0;573.0;575.0;582.0;587.0;562.0;575.0;576.0;577.0
Max tx utilization geral;4;all;all;all; ;635.0;628.0;626.0;611.0;623.0;631.0;631.0;621.0;634.0;640.0
Max tx utilization geral;5;all;all;all; ;675.0;670.0;681.0;667.0;673.0;686.0;669.0;680.0;676.0;696.0


Max rx utilization geral;1;all;all;all; ;459.0;470.0;464.0;460.0;468.0;465.0;477.0;471.0;472.0;463.0
Max rx utilization geral;2;all;all;all; ;523.0;524.0;521.0;525.0;514.0;524.0;510.0;532.0;517.0;507.0
Max rx utilization geral;3;all;all;all; ;568.0;592.0;573.0;575.0;582.0;587.0;562.0;575.0;576.0;577.0
Max rx utilization geral;4;all;all;all; ;635.0;628.0;626.0;611.0;623.0;631.0;631.0;621.0;634.0;640.0
Max rx utilization geral;5;all;all;all; ;675.0;670.0;681.0;667.0;673.0;686.0;669.0;680.0;676.0;696.0


Max regenerator utilization geral;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


Tx utilization per node;1;all;19;all; ;15.01281715929898;15.479310344827587;14.867422245651028;14.735844017094017;15.513947368421052;15.092381205203079;14.773997890295359;14.197905181918413;15.024048625792812;14.720151269584008
Tx utilization per node;1;all;17;all; ;14.774564926372156;14.797178599946767;14.694050218340612;14.624664159054271;14.406563601844319;15.661749482401657;13.796113847837987;14.995351239669422;15.003219747786423;15.081302966101696
Tx utilization per node;1;all;18;all; ;14.70702501330495;14.401606425702811;15.63313300235171;15.019012410879323;14.756976429151992;14.80737927292458;14.411987041036717;14.818744950175061;15.366804336602994;15.375490966221523
Tx utilization per node;1;all;15;all; ;14.553255243802779;14.475704697986577;14.660463861920173;15.08097380259328;15.288999216096158;14.303038674033148;15.351546391752578;15.176313683648972;14.787409975993599;15.034419817470665
Tx utilization per node;1;all;16;all; ;14.65681268476216;15.743003851091142;15.39567031820553;14.766230296553566;14.336463643681245;14.950597609561752;14.873088274751812;15.237355110642781;14.330237639989074;14.693795326349719
Tx utilization per node;1;all;13;all; ;15.26472148541114;15.12267657992565;15.257979424953838;14.821561338289962;15.078079662358217;14.854172220741136;14.404402015380535;14.617072518062617;14.969535008017104;15.056443024494143
Tx utilization per node;1;all;14;all; ;15.421445718858362;15.083997873471558;15.312779973649539;14.766545075560188;14.967844804677119;15.005798629414866;14.877777777777778;14.82695374800638;14.654141307224133;14.117243272926963
Tx utilization per node;1;all;11;all; ;14.701905507700339;14.957750269106565;15.162198035572073;14.989307671745523;14.76633769005068;14.864944059669686;15.086863842259525;14.700371549893843;15.177398160315375;14.617543859649123
