Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.07552601121761582;0.07516989642994926;0.0769207941359765;0.07338932249161646;0.07451701931922723;0.07434885400282913;0.0730332077039499;0.07690100998110613;0.07908715909428139;0.0753083855140418
blocking probability;2;all;all;all; ;0.08587312421481635;0.08812851787003789;0.0886725821289729;0.08888031575511172;0.08682276364859384;0.0903938036026946;0.08988930765350031;0.0866249220998902;0.08698103688755676;0.08809884163773234
blocking probability;3;all;all;all; ;0.10243246184131129;0.10654756605434708;0.10389648930171826;0.10014739195378422;0.09814919231187742;0.09945494653332146;0.10582544440157877;0.10010782364404348;0.09967257223689548;0.10017706818608976
blocking probability;4;all;all;all; ;0.11449090423479835;0.11374899842715969;0.11427327853122435;0.11130565530066969;0.11158263346885479;0.11436230722814099;0.11371932219485414;0.11615277324390895;0.11029666340228111;0.11236410758623419
blocking probability;5;all;all;all; ;0.12407632726948986;0.12675708025442423;0.12554035472989683;0.130980997319247;0.12655923870572058;0.12779574838511837;0.12343334223620303;0.12596571405960966;0.12476877268995262;0.12520402409710063


blocking probability fragmentation;1;all;all;all; ;0.009783264583395158;0.009931645744922892;0.010465817926422727;0.00892265384653431;0.010347112997200543;0.010080026906450624;0.009674451731608155;0.009822832893135888;0.009872293280311799;0.01002067444183953
blocking probability fragmentation;2;all;all;all; ;0.013294952072884827;0.012068334470922239;0.012147471090403695;0.012187039400144425;0.013334520382625555;0.011979305774005598;0.013116894679051548;0.013057542214440455;0.0135323619313292;0.013374088692366283
blocking probability fragmentation;3;all;all;all; ;0.015401964566578627;0.0161933307613932;0.015817431818856278;0.015560237805541543;0.01564926650245818;0.01654944554905976;0.01620322283882838;0.015728403121939637;0.015728403121939637;0.016272467380874657
