Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.40356959424756034;0.40221623240491167;0.40369715479826396;0.40556409599453414;0.4018362940635755;0.4055997862676997;0.40561104708242623;0.40405285210626146;0.4027992609779153;0.4047690365647532
Percentage of cicuits by modulation;1;16QAM;all; ;0.17339710665981853;0.17227142429298764;0.1720730857847077;0.1740327952856777;0.175784005643558;0.17355062783863212;0.17233320527596363;0.17379469978674839;0.17078069949299649;0.1739981599948651
Percentage of cicuits by modulation;1;32QAM;all; ;0.057877503852080125;0.05723484362298378;0.058875850613513366;0.058117687249124604;0.057312041728125866;0.05763291477424526;0.058009988474836724;0.05809230901121982;0.05825169717281086;0.05798155715783393
Percentage of cicuits by modulation;1;64QAM;all; ;0.022759373394966614;0.02388439652590596;0.02301880726571291;0.023539584934665642;0.023140725539237694;0.024247929468340902;0.022943612071541383;0.02305046240234898;0.02379264415227292;0.02304285500331629
Percentage of cicuits by modulation;1;8QAM;all; ;0.3423964218455744;0.344393103153211;0.34233510153780206;0.33874583653599794;0.3419269330255029;0.33896874165108204;0.341102147095232;0.34100967669342136;0.3443756982040045;0.34020839127923147
Percentage of cicuits by modulation;2;QPSK;all; ;0.4039281463045125;0.39999132151613115;0.39990447968565135;0.403578485657829;0.4011959182789176;0.40456537578980567;0.3996347984870223;0.4011198475101263;0.4011354525558517;0.4004230623203341
Percentage of cicuits by modulation;2;16QAM;all; ;0.17315225624932368;0.17554403245752967;0.17398808166986876;0.1741580353071461;0.1749138808848062;0.1739693104085783;0.17486196252336855;0.17490848441527498;0.17567011202842966;0.1715138037641699
Percentage of cicuits by modulation;2;32QAM;all; ;0.059106157342278975;0.05905708272764748;0.05935284987028776;0.05802010726771328;0.05800853608336764;0.05912803279936489;0.05900830398678318;0.058764918664847184;0.058213612429305076;0.06025926126810219
Percentage of cicuits by modulation;2;64QAM;all; ;0.023709555242939075;0.024147881365125513;0.023652132382472022;0.023928951425531454;0.024394999675022205;0.024599523669700824;0.02442285118038346;0.024411376091147356;0.024020022102320744;0.02406031350002712
Percentage of cicuits by modulation;2;8QAM;all; ;0.3401038848609458;0.3412596819335662;0.3431024563917201;0.3403144203417801;0.34148666507788633;0.33773775733255035;0.34207208382244253;0.3407953733186042;0.3409608008840928;0.3437435591473667
Percentage of cicuits by modulation;3;QPSK;all; ;0.3980999823664257;0.3953277236492471;0.39692895306221576;0.39889190585596973;0.3950575305202426;0.396399266232411;0.39555054041795273;0.3983577183937738;0.39747294402021643;0.39980651686381424
Percentage of cicuits by modulation;3;16QAM;all; ;0.17557529536236996;0.1754650132860939;0.17551993641541927;0.1744588697000011;0.17726420164748982;0.17611520590529126;0.17676147489296737;0.17473700410020776;0.17775092017799263;0.17555296600853085
Percentage of cicuits by modulation;3;32QAM;all; ;0.05960148122024334;0.05883525243578388;0.05902547798825451;0.06017566809942067;0.05947196963880266;0.05878928347814625;0.06065735178608963;0.059711336579789165;0.0599681371202549;0.058836462776483
Percentage of cicuits by modulation;3;64QAM;all; ;0.023981661082701465;0.0245903454384411;0.02446240120104208;0.023206217639363726;0.02395551119349779;0.023759570284609555;0.023486331906231676;0.024029635818007936;0.0242597374059221;0.023877577942922473
Percentage of cicuits by modulation;3;8QAM;all; ;0.34274157996825955;0.345781665190434;0.3440632313330684;0.3432673387052448;0.3442507869999671;0.34493667409954193;0.3435443009967586;0.3431643051082213;0.3405482612756139;0.3419264764082494
Percentage of cicuits by modulation;4;QPSK;all; ;0.396930192030564;0.39382980623269936;0.39549246696970036;0.39665401440354414;0.39429468550622976;0.3938791466547526;0.39691947095262015;0.39453155603308376;0.396826808685694;0.39892123211340436
Percentage of cicuits by modulation;4;16QAM;all; ;0.17734061686607014;0.17846459505312975;0.1768838159907973;0.17639332583844433;0.17849706606095023;0.18015190438959008;0.17680674144762543;0.17841274104914437;0.17881722462503197;0.17572326483305845
Percentage of cicuits by modulation;4;32QAM;all; ;0.05887149926829541;0.06047414947763193;0.06039826220976335;0.05941740224178809;0.05943592655688056;0.05866190103875796;0.059690830961549195;0.059698485713326394;0.05908317674920226;0.05946596531894976
Percentage of cicuits by modulation;4;64QAM;all; ;0.024095981768826033;0.0246785427270292;0.023498140475100234;0.02413205846013424;0.0249746690271793;0.024673293867977213;0.023751325408783972;0.023872679045092837;0.02365995485929665;0.02387108277983328
Percentage of cicuits by modulation;4;8QAM;all; ;0.3427617100662444;0.34255290650950976;0.34372731435463877;0.34340319905608924;0.3427976528487602;0.34263375404892216;0.3428316312294213;0.34348453815935265;0.34161283508077517;0.34201845495475414
Percentage of cicuits by modulation;5;QPSK;all; ;0.39337986176988754;0.3914496414694654;0.39316742081447964;0.39224815025611837;0.3925274924402868;0.39442226557183685;0.39373455362080056;0.39329085414851117;0.39457266213069914;0.39464459370830224
Percentage of cicuits by modulation;5;16QAM;all; ;0.17912318742377015;0.1802961133704136;0.17998868778280544;0.18129766647694934;0.17643861059832158;0.17911581908088736;0.17997359303939603;0.17882001426033026;0.17989782770858292;0.1784155415337992
Percentage of cicuits by modulation;5;32QAM;all; ;0.06071283371730587;0.0605140636858978;0.05970588235294118;0.061650540694365395;0.06044372968504026;0.06041600508097809;0.0602958933790753;0.06161368086286316;0.06182327810303126;0.060678019766153286
Percentage of cicuits by modulation;5;64QAM;all; ;0.024901748204363736;0.023754771911143332;0.02486425339366516;0.023847467273762094;0.02404385199950168;0.024690377897745315;0.025538013609741235;0.024287832316624604;0.023847736160401457;0.02506954338828957
Percentage of cicuits by modulation;5;8QAM;all; ;0.3418823688846727;0.3439854095630798;0.3422737556561086;0.3409561752988048;0.3465463152768497;0.3413555323685524;0.34045794635098686;0.34198761841167086;0.3398584958972852;0.3411923016034557


Average of slots by modulation;1;QPSK;all; ;1.8418721109399077;1.8474414923201985;1.846005465359267;1.8580685797249978;1.8340922208683383;1.8527277584825006;1.850791821402655;1.8381216712924762;1.8443649566039357;1.8530135432936092
