Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
average SNR geral;1;all;all;all; ;13.115146606571248;13.127138598904112;13.122735497090453;13.111431512914868;13.138953134167476;13.134875125893082;13.107962605211931;13.117961986979171;13.103575120230792;13.117375671895834
average SNR geral;2;all;all;all; ;13.127916032562672;13.1634308986311;13.1619571433787;13.126692428879869;13.13638860648205;13.134706646667908;13.146340467939204;13.128062583168699;13.148018024329994;13.16060898218883
average SNR geral;3;all;all;all; ;13.158679671507091;13.179394875820229;13.164510001018192;13.158874007989896;13.153841816969436;13.143486451693304;13.161948458523725;13.160611563691822;13.176143034453833;13.136430449387522
average SNR geral;4;all;all;all; ;13.153281489436313;13.194960160927154;13.17327800264308;13.163104626370592;13.185906293496203;13.183510596555045;13.160993821418637;13.152417361007084;13.151937108245717;13.158384382815859
average SNR geral;5;all;all;all; ;13.19025726198472;13.199509869885127;13.173560205988062;13.187193404294108;13.18487544462113;13.183653791020118;13.185231788189514;13.186795148703768;13.18526807806177;13.177997066259964


average SNR established;1;all;all;all; ;13.119240623268817;13.126475973833802;13.117780277488448;13.1204801294811;13.129709020214307;13.129470755207874;13.111568900426452;13.118289215314125;13.116032035248258;13.12057550353662
average SNR established;2;all;all;all; ;13.126883843812072;13.150420500911904;13.145141729324665;13.128158143744232;13.143252421182426;13.13187174057562;13.15295701142238;13.146221778543987;13.141488845588102;13.146166444534323
average SNR established;3;all;all;all; ;13.156893036454711;13.16377601718143;13.158563218343998;13.148396115295823;13.168469852900104;13.157823933520644;13.166755738276917;13.154806050653177;13.166514004557797;13.144548479490139
average SNR established;4;all;all;all; ;13.160149051724005;13.18868828860572;13.16836265673396;13.160286200980924;13.182012132833748;13.17837681203285;13.160311762924566;13.172184036063797;13.166581744250944;13.149005609149555
average SNR established;5;all;all;all; ;13.189624488773909;13.190807044362707;13.183902852353532;13.19325311743702;13.1776739203016;13.18976645437566;13.198300427651462;13.190270921355719;13.188036946300059;13.18959929468411


average SNR per pair;1;all;5;2; ;13.706311806732801;13.682388108554038;13.736588644639413;13.78582277724976;13.65726196197662;13.518009138983226;13.737131291634729;13.742180874630114;13.762035381782155;13.707271388366209
average SNR per pair;1;all;6;10; ;15.100025455223873;15.0984630484363;15.097272016893383;15.096761289800437;15.0964360099393;15.098789035862465;15.100868861416705;15.096133578012662;15.09779796738499;15.099320997655303
average SNR per pair;1;all;11;5; ;11.081089886834599;11.082913638697661;11.060548799594773;11.062565398432163;11.085924163600918;11.066741628553686;11.080050956637178;11.060010231709786;11.060874463123536;11.043896413954991
average SNR per pair;1;all;11;2; ;10.485933081950556;10.494603992058648;10.471993898988128;10.511956475983139;10.494129848422828;10.491363685533798;10.510294502810503;10.511384977172378;10.50968697329833;10.511374635198255
average SNR per pair;1;all;10;3; ;10.814182671088739;10.813920810881442;10.817250762045962;10.815570407138587;10.816502751981815;10.815918204377196;10.815203212960972;10.816542811449958;10.815291733108605;10.817517068826138
average SNR per pair;1;all;7;11; ;10.69487152259555;10.841432002926739;10.638612771232946;10.93678697775625;10.729059660463255;10.872696261246915;10.795918770380101;10.833725715968157;10.977315235404545;10.786529944895513
average SNR per pair;1;all;5;3; ;12.306047081243074;12.329394601364745;12.357053061553458;12.306269754103035;12.3268615906746;12.401157264751518;12.354847948167986;12.376438478543266;12.42435864010312;12.374340614368869
