Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.05035271860014735;0.05088960863714371;0.05072057786600064;0.049537409992165285;0.05027586359194486;0.05015859644496743;0.04964865136935841;0.05086225852445674;0.05034840669738565;0.05094463878012173
Relative Fragmentation per spectrum size (c);1;all;3; ;0.10376791304077254;0.10265011966735695;0.10305561000655088;0.10143631752409535;0.10273093177562805;0.10294184154282361;0.10148018494665087;0.10272517679905821;0.10176735094135585;0.10333529676786249
Relative Fragmentation per spectrum size (c);1;all;5; ;0.18608009499441006;0.18530135466363937;0.1870531489053018;0.1833746452368803;0.1851414959881482;0.1860884318215066;0.18427530019473165;0.18529031467523144;0.18470822088166308;0.18722588301237955
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.054481257892309135;0.053441061522197554;0.05388871476785344;0.05369620864387881;0.054605924101512694;0.05503471180246136;0.054413095676587364;0.05478241144784766;0.05433348756237102;0.05398419952740277
Relative Fragmentation per spectrum size (c);2;all;3; ;0.10998520556049954;0.1084584907536621;0.10893332737010648;0.10943388634183684;0.11058729903368834;0.11101873789753092;0.11008698049684187;0.11099819233708208;0.11086043004671997;0.10998221390550446
Relative Fragmentation per spectrum size (c);2;all;5; ;0.19890192931920234;0.1953953186458932;0.19708905699537596;0.19836728567359083;0.19947969791904913;0.19987378146663853;0.1995471556115117;0.2011776213155624;0.19895143896994785;0.19775574123210482
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.05855714103428734;0.057299727732225636;0.05748542170172108;0.05887787498333444;0.0579969183209188;0.058519955778916284;0.05883377386016472;0.057952778112510074;0.05714187435479694;0.058768565849687544
Relative Fragmentation per spectrum size (c);3;all;3; ;0.11759429009761871;0.11631148289826493;0.1169648505474885;0.11755771128962422;0.11698254429868407;0.11870086576026181;0.11770007855825716;0.11769954412486372;0.11674683798250306;0.11947737481563231
Relative Fragmentation per spectrum size (c);3;all;5; ;0.21201351768979312;0.20854598545940894;0.208974655112179;0.21125983521843764;0.20896326885165867;0.21178599996129663;0.2121190300086879;0.21132005735979795;0.2093907565752973;0.21245792973712413
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.06239929542144006;0.06195108983198941;0.0622281041073947;0.06086274933788792;0.062253577523806045;0.06229871053932422;0.06200378457167132;0.06130741457731924;0.06107805907152483;0.06141433912456342
Relative Fragmentation per spectrum size (c);4;all;3; ;0.12615460772596096;0.12497742467302557;0.12520855035271072;0.12406163725364437;0.12542628416085302;0.12494233758373521;0.12490175717361636;0.12379973904569447;0.12286648961016484;0.12342097276731313
Relative Fragmentation per spectrum size (c);4;all;5; ;0.22272520933979867;0.2240481118023862;0.2238370604908208;0.22180102939268556;0.224571416293219;0.22306994678384134;0.2232933255541956;0.2213342734694337;0.2203830823230647;0.2208072311783543
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.06533658194290912;0.06590084988422956;0.0657069365856645;0.06521364972884117;0.06515748372156056;0.0658873473884683;0.06497359463386305;0.065647631040275;0.06538456277515739;0.06597264351737879
Relative Fragmentation per spectrum size (c);5;all;3; ;0.13193115705400832;0.13087303934638994;0.13135707119867768;0.1318088555723336;0.13105457062968398;0.1334609185213174;0.13085619127680487;0.13197554085686;0.13073252241883193;0.13285038450760914
Relative Fragmentation per spectrum size (c);5;all;5; ;0.2344799090111954;0.23304207385371084;0.23419358777617427;0.2346522806517127;0.2334151309636354;0.23763270947688586;0.23437450935845955;0.23551380206147146;0.2330784101654702;0.2359236951028221


