Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.23716234207901257;0.23961559111388206;0.23726358705237294;0.23441609639345337;0.2406101149397624;0.2451674987684883;0.23427097941684583;0.24083230230901542;0.23100072301099947;0.23377408606701067
bandwidth blocking probability;2;all;all;all; ;0.2666519954185418;0.2602740103661105;0.25934199064811764;0.2541980702294169;0.2573256534306701;0.2595753329398954;0.26619728289979905;0.26043514762533804;0.25904237730810187;0.26300472061191343
bandwidth blocking probability;3;all;all;all; ;0.2769877293787858;0.2815609309527891;0.28616586306663827;0.2872462632484356;0.27907391392991865;0.27748464141372225;0.2797571563828115;0.2812142059173651;0.2867556630768084;0.27868851877114004
bandwidth blocking probability;4;all;all;all; ;0.30430963082975865;0.29781231329188723;0.3041913814421269;0.3092621501718144;0.30132725303012653;0.3028315694008678;0.30755072920502613;0.2982331739066493;0.30558788254840047;0.29805089373069465
bandwidth blocking probability;5;all;all;all; ;0.3244843943607632;0.3217564913730453;0.3210211055184935;0.3243554897633359;0.3180826962244513;0.3200219910329334;0.3134110835426478;0.3208821144096675;0.3195464483609311;0.3251908616368836


bandwidth blocking probabilities per pair;1;all;5;2; ;0.17798305254428573;0.13897455773932105;0.21778315086236813;0.11955183174717174;0.12747849361030286;0.1643081638659527;0.16690848233970318;0.22911731677368236;0.15939507885786813;0.13971440106445765
bandwidth blocking probabilities per pair;1;all;6;10; ;0.32038370846635017;0.2171407642400919;0.2534902941470001;0.3454673183027257;0.33928825366242643;0.37296382842903575;0.13618485754407003;0.31406567235283595;0.3760877969156412;0.29208197011746423
bandwidth blocking probabilities per pair;1;all;11;5; ;0.2311136817409263;0.1641055202438644;0.14999651435633643;0.1965086073548226;0.2341249233838467;0.22144726531198297;0.20733973539298145;0.17548991262634003;0.24182971111628176;0.23674548274742524
bandwidth blocking probabilities per pair;1;all;11;2; ;0.25584033667215583;0.2966394295410757;0.3532080763619572;0.27711599568739953;0.2589948633526189;0.29119490314304053;0.33687215213444355;0.2933842016900822;0.3005455494018677;0.24379612777850304
bandwidth blocking probabilities per pair;1;all;10;3; ;0.13264060030191616;0.08251109235024946;0.15027672386519336;0.05119143890611431;0.15950732346058974;0.1104915342442095;0.11899555980119716;0.12697792168659328;0.13324819560298545;0.12122359027451883
bandwidth blocking probabilities per pair;1;all;7;11; ;0.45334048363806245;0.4626341974199612;0.35988813971578804;0.4859058491812364;0.4503471491711904;0.3690787366746479;0.457579379088809;0.47127506487540566;0.4708017315231994;0.41245771119495445
bandwidth blocking probabilities per pair;1;all;5;3; ;0.20483013312232695;0.2353986698978848;0.15375031341361398;0.182744972392759;0.28616735936447046;0.19844637527277645;0.2146341648901268;0.21324268311040462;0.17929269145173146;0.13948912824743998
bandwidth blocking probabilities per pair;1;all;6;12; ;0.47103204919356234;0.5803192693606043;0.5229066421892682;0.625563953486265;0.5335774646656133;0.450351931332755;0.5394587447569678;0.5420425006985418;0.5534556482527283;0.604591849042813
bandwidth blocking probabilities per pair;1;all;14;6; ;0.32268353401606376;0.3279419557616704;0.2160545090258453;0.268384305869399;0.37603498697252613;0.3765869240784131;0.28421313581582186;0.3322345095181306;0.21471156639097502;0.31752248159761165
bandwidth blocking probabilities per pair;1;all;8;4; ;0.23337101476852495;0.2400301815470184;0.1889995389435212;0.21520687074380276;0.22639960572917076;0.19913533957890625;0.1946174818275577;0.2762173955173601;0.21017522759606477;0.31644416869998304
bandwidth blocking probabilities per pair;1;all;8;1; ;0.145847318332955;0.1379183671854361;0.08684908767752095;0.08556286866610505;0.09665366438845305;0.12775036280215218;0.1839022638468326;0.10336026955151756;0.10608302395511669;0.11102930473082963
bandwidth blocking probabilities per pair;1;all;3;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;13;4; ;0.23596160657936466;0.24834798694206375;0.33406145968650436;0.3088408606162222;0.38462413387044053;0.35404078654492094;0.23066216583980315;0.25061089317844343;0.23400819011513002;0.25552331539565826
bandwidth blocking probabilities per pair;1;all;14;13; ;0.1287632594985534;0.10816652718553642;0.1358636824496088;0.09905844166742658;0.15558345123433115;0.1896656481268361;0.08479060323297694;0.09999302942128416;0.1308532409200698;0.1276705404399878
bandwidth blocking probabilities per pair;1;all;5;11; ;0.25689280662961655;0.15891726848775511;0.19847050561889595;0.2106265033870829;0.20184201370996172;0.21285469475351498;0.2752691166099653;0.24140668964659473;0.32356773369816694;0.13258340974124058
