Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.1848235747989435;0.1901554045365067;0.1846158411728047;0.18370577004876795;0.18303310878317555;0.19007626791702525;0.1813415635417594;0.18408166899130488;0.1769099128507978;0.18088652797974103
blocking probability;2;all;all;all; ;0.19754478638058778;0.19993866911990188;0.1948739254730886;0.191095151892849;0.18845396721765537;0.19501241455718116;0.20216438654281785;0.1972678082124027;0.198425181272319;0.19684244888268984
blocking probability;3;all;all;all; ;0.1998595325004204;0.20500341276671513;0.2121751689072222;0.20924711398640827;0.20417247826215984;0.20454837720469676;0.21032535042684314;0.20528039093490025;0.206952152021446;0.20415269410728948
blocking probability;4;all;all;all; ;0.21924800427337746;0.21575610093875816;0.21281815394050904;0.22441166869454254;0.21768505603861868;0.22202767803266363;0.2224431452849413;0.20890089127617692;0.22019764370715494;0.21355016767071253
blocking probability;5;all;all;all; ;0.22170123947730264;0.230030368677726;0.22279926007260784;0.23121741796994788;0.21865447962726653;0.2242138271458389;0.22263109475620976;0.23071292202075358;0.22117695937323797;0.2333145383862065


blocking probability fragmentation;1;all;all;all; ;0.005539563363702011;0.005420858434479825;0.005816541531887111;0.005836325686757476;0.005697836602664925;0.005420858434479825;0.004866902098109624;0.005410966357044643;0.0062517929390351265;0.005836325686757476
blocking probability fragmentation;2;all;all;all; ;0.00791366194814573;0.00777517286405318;0.0076267917025254475;0.009140279550108318;0.008012582722497552;0.008358805432728928;0.007171756140507068;0.007933446103016094;0.007033267056414517;0.007419058076386622
blocking probability fragmentation;3;all;all;all; ;0.011534162289422402;0.010366897152070906;0.01056473870077455;0.009812940815700706;0.010099811061320988;0.01029765261002463;0.009634883421867427;0.010436141694117182;0.01019873183567281;0.010861501023830015
blocking probability fragmentation;4;all;all;all; ;0.012978405594958997;0.012839916510866446;0.01532282794709717;0.012562938342681346;0.012315636406801793;0.013383980769801466;0.01303775805957009;0.013463117389282924;0.012889376898042358;0.012454125490894342
blocking probability fragmentation;5;all;all;all; ;0.017637574066929795;0.016410956464967208;0.017182538504911415;0.01550088534093045;0.015431640798884174;0.01599548921268956;0.014749087455856605;0.016450524774707938;0.016331819845485752;0.01573829519937482


blocking probability per QoT;1;all;all;all; ;0.019685234096012503;0.020249082509817887;0.021198721943595376;0.020822823001058453;0.02094152793028064;0.019358795540651494;0.01921041437912376;0.019744586560623598;0.021347103105123107;0.02034800328416971
blocking probability per QoT;2;all;all;all; ;0.026510767526288195;0.024354294645418485;0.024186129329020388;0.025739185486343987;0.025175337072538603;0.02579853795095508;0.02612497650631609;0.024868682672047955;0.024413647110029576;0.026401954674501193
blocking probability per QoT;3;all;all;all; ;0.031407345856703364;0.03125896469517563;0.03102155483673126;0.03106112314647199;0.029982886706037135;0.029943318396296405;0.02858810378767645;0.02991364216399086;0.030309325261398148;0.030991878604425715
blocking probability per QoT;4;all;all;all; ;0.034928925423628215;0.03520590359181332;0.03796579319622914;0.035898349012276065;0.0343848611646932;0.03516633528207259;0.033919933525239636;0.03653144196812773;0.03457281063596166;0.034137559228813646
blocking probability per QoT;5;all;all;all; ;0.0412598549821448;0.040636654103728326;0.040676222413469056;0.03890554055257144;0.03988485621865448;0.03869780692643262;0.03794600904135877;0.039182518720756544;0.04186327170569091;0.03955841766329347


blocking probability per QoT for other;1;all;all;all; ;0.15763025392962776;0.16258618472465403;0.15518691080313776;0.1543361921437121;0.15467252277650828;0.16328852222255197;0.15542432066158213;0.15673996696046136;0.1472435726226865;0.15242702119872195
blocking probability per QoT for other;2;all;all;all; ;0.15978672681049746;0.16486136253474593;0.16021208614021032;0.15298097753509216;0.1522786400371942;0.15797647663985914;0.16569229703930122;0.16151784036165434;0.16375344986200552;0.15972737434588638
blocking probability per QoT for other;3;all;all;all; ;0.15181371239774066;0.15890633191876627;0.16590003066544004;0.16439643489529235;0.15962845357153455;0.16014284159816403;0.1676410362940321;0.1607660424765805;0.1621014729303301;0.1577786350911555
blocking probability per QoT for other;4;all;all;all; ;0.1655538079552087;0.16233888278877448;0.1526149706699904;0.16969858840055;0.16554391587777348;0.1678784461524765;0.16902592713495762;0.15341622894224016;0.1671958928094489;0.16167611360061726
blocking probability per QoT for other;5;all;all;all; ;0.15386137242682335;0.16505920408344957;0.15702683720608165;0.17040092589844794;0.15624536308870227;0.16217071747237638;0.16228942240159855;0.16745308682276364;0.15535507611953586;0.1703712496661424


blocking probability per other;1;all;all;all; ;0.0019685234096012503;0.0018992788675549752;0.0024136668941844475;0.0027104292172399126;0.0017212214737216962;0.002008091719341979;0.0018399264029438822;0.002186149113175258;0.002067444183953072;0.0022751778100918974
blocking probability per other;2;all;all;all; ;0.003333630095656389;0.0029478390756842846;0.0028489183013324627;0.0032347093213045673;0.002987407385425013;0.002878594533638009;0.0031753568566934742;0.0029478390756842846;0.003224817243869385;0.0032940617859156603
