Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.5331465975361749;0.5348527152154294;0.536055943455986;0.5394458389690477;0.5359557680889857;0.5310703438487747;0.5322483582408838;0.5368114856609266;0.5389524072563977;0.5352441783491949
External Fragmentation (Vertical);2;all; ;0.5536740948849594;0.5522930227580027;0.553302261698396;0.5557075958847361;0.5553132910367472;0.5544466754247427;0.5513407777720047;0.5602208391119115;0.5553451747911963;0.5543116863872409
External Fragmentation (Vertical);3;all; ;0.5763452709214445;0.5693692471122667;0.5713891684046584;0.5710455995090036;0.5708320205707226;0.5743145999168326;0.5716276651670742;0.5696395276312561;0.5659752096310608;0.5722331004946253
External Fragmentation (Vertical);4;all; ;0.5864421631109227;0.5840318720980116;0.5963217986207637;0.5853400505912937;0.5859944434216178;0.5839773396459323;0.5827898363461659;0.5890339288042544;0.5858153774548339;0.5877257777594488
External Fragmentation (Vertical);5;all; ;0.6028717275047405;0.5981152639939041;0.6033129871209998;0.5966420446673848;0.598893752782219;0.6021136954807635;0.6050201935989974;0.6043042064936011;0.6051372816279365;0.6018955669952287


External Fragmentation (Horizontal);1;all; ;0.5999236253294254;0.6029622428053036;0.6018694636598103;0.6004668093754181;0.6021776884912318;0.5971360157692881;0.6001931592282576;0.6027279241567877;0.6050117171523052;0.6004595937240591
External Fragmentation (Horizontal);2;all; ;0.6151940411019111;0.6117998521243855;0.6137597085036909;0.6112259977460385;0.615176047642396;0.6137255656310653;0.613427425337332;0.6193307079322456;0.6125824112442191;0.614363952785123
External Fragmentation (Horizontal);3;all; ;0.6271831040386228;0.6245664327657003;0.6252380631415283;0.6259922935225093;0.6235137944525736;0.6249983581280486;0.6219810518701229;0.6227250704580927;0.620189468929324;0.6267139808277434
External Fragmentation (Horizontal);4;all; ;0.6335616860422391;0.6311438338321557;0.63885772694676;0.6321852156977829;0.6332017965472437;0.6322997838466395;0.6284740510441749;0.6362761529254991;0.6311656573540919;0.6337813037075041
External Fragmentation (Horizontal);5;all; ;0.6380633889003067;0.6388091246201004;0.6424634646010801;0.6404117602800734;0.6381319675481731;0.640851720587904;0.6395358407433926;0.6447738835654335;0.6418543518868259;0.640378472279453


External Fragmentation Per Link;1;<14-11>; ;0.6603995860651525;0.6530305476797916;0.6673565793584284;0.646036975897981;0.6388353257458942;0.6365170662267907;0.6584830241295458;0.6462707796642039;0.6468590205204393;0.6467375175431036
External Fragmentation Per Link;1;<6-13>; ;0.39655646027791197;0.38611582546337303;0.39118896606955816;0.39382206319831653;0.38970842518962046;0.3755975486095079;0.4083599828205326;0.4026521935164354;0.3957956822017242;0.3915176331973468
External Fragmentation Per Link;1;<4-11>; ;0.6269164637164487;0.6199730008969703;0.6321182125326814;0.6200936616086827;0.6099909168678388;0.6187458449350905;0.6121684204028743;0.619237459386267;0.6167422905186429;0.6138559299764536
External Fragmentation Per Link;1;<12-11>; ;0.28053577256523066;0.2849429066317888;0.2977830705773488;0.2842606059553564;0.3013458050876714;0.2636019416186886;0.2934759180629522;0.27777205625800555;0.3129352931837134;0.2936138609349165
External Fragmentation Per Link;1;<14-13>; ;0.6841088436506659;0.6819342192697508;0.6810461466532242;0.6765032356169757;0.6826514306833225;0.6692527415462031;0.6700513937894294;0.6796807926972942;0.689631178096993;0.6544763574791999
External Fragmentation Per Link;1;<12-13>; ;0.24722424975015167;0.23091080032481545;0.21527855481962946;0.23003142176858862;0.22620613080377755;0.22461899409442926;0.208003417179587;0.24691469695213458;0.21725844276992598;0.22254805387371898
External Fragmentation Per Link;1;<6-10>; ;0.2897663749526485;0.3259741554577604;0.30245157146150276;0.29661047620401576;0.2652408862131234;0.2891512249665139;0.3048789540039763;0.30942645036913635;0.3116542596447226;0.3272737742834664
External Fragmentation Per Link;1;<11-4>; ;0.6146714122457995;0.6112429161570633;0.6112976572174464;0.6061418898405475;0.5954455531261147;0.6000955641645225;0.6153535651113673;0.6207462060487613;0.629878458903007;0.614998934819285
External Fragmentation Per Link;1;<1-2>; ;0.5589724767925459;0.5367993929864446;0.5647154477529394;0.5794503587422318;0.5511033903507041;0.5457410287463255;0.5646208830926966;0.54248120362799;0.5608890064480301;0.5491006981564565
External Fragmentation Per Link;1;<2-1>; ;0.43799739303210156;0.4660196591556911;0.478478715742305;0.4543592060930185;0.4617208955475894;0.43804413086738353;0.46611547075650056;0.4321405933252942;0.45486366284179447;0.4954885245721271
External Fragmentation Per Link;1;<1-3>; ;0.15597200432810204;0.14384008629306147;0.1701142904734653;0.18360436888149603;0.1491299152501519;0.1646860830643041;0.1392449801080382;0.14627659717601163;0.1876605831649883;0.1646071804036687
External Fragmentation Per Link;1;<3-1>; ;0.14408266137403147;0.16141469395044783;0.1621969713907859;0.18466293523987679;0.16862076360141157;0.17421511333474649;0.16887873099038295;0.1727228118031996;0.160156188710714;0.15476349403902667
External Fragmentation Per Link;1;<14-9>; ;0.7233703020906167;0.7334746443056679;0.7236122059496979;0.7373769796293469;0.7393889674908227;0.7169475840170689;0.7266772837683975;0.725993182374572;0.7294360579004154;0.7346955674609675
External Fragmentation Per Link;1;<2-3>; ;0.6044465888741241;0.6164638633757515;0.628660555765061;0.6342094272236616;0.6207335692979685;0.6252826304020638;0.6175202025935259;0.6345141002155529;0.6036217944861715;0.6137208125693351
External Fragmentation Per Link;1;<3-2>; ;0.5999161010434507;0.6301056661897193;0.6073016853318934;0.6278147314301143;0.6270429658166993;0.640088744923098;0.6154493861586606;0.5996303643202189;0.6396712458658076;0.6134185143193754
External Fragmentation Per Link;1;<2-4>; ;0.7279564105218818;0.721195328722909;0.7294869278132587;0.7325379160702974;0.7204449239156796;0.7343371678174885;0.727706317573991;0.722308433082086;0.7282090730648115;0.7268389561730858
External Fragmentation Per Link;1;<4-2>; ;0.6983973988752061;0.722828813866194;0.7127327469704485;0.7217247791305887;0.7108385466811927;0.7101754689510135;0.7143821354169061;0.7127532505195957;0.7124151096305186;0.7172189664856888
External Fragmentation Per Link;1;<12-9>; ;0.5252504236845079;0.552117161625301;0.5492173282099689;0.5752681062748002;0.5140973475110271;0.5370905867131879;0.5093137628629971;0.503113624785111;0.5563248973987456;0.5356544917966635
External Fragmentation Per Link;1;<13-6>; ;0.40172998476726257;0.3683567792035145;0.38828300737814603;0.38609736281051044;0.4010317025174939;0.37101167169366794;0.38363455138128394;0.39929598072721006;0.4083737295435365;0.37044368428747476
External Fragmentation Per Link;1;<1-8>; ;0.6088743491585801;0.6019061411610915;0.6101277313981494;0.6129986771918763;0.5947530842811817;0.6093516714046583;0.5998564682534097;0.6188688674498314;0.5995585772960702;0.6153425549155174
External Fragmentation Per Link;1;<3-6>; ;0.2896812287873205;0.30549469230474585;0.27974564540930125;0.28579158745111494;0.27196134576982145;0.2777095956887199;0.2910600511768632;0.3062634432284442;0.279186113901247;0.29430374063583575
External Fragmentation Per Link;1;<4-5>; ;0.7405389899806613;0.7410098984173914;0.738646963249764;0.7483382742940087;0.7359815480373239;0.7393107692280557;0.7422926556393001;0.7489527917434072;0.7445921981627842;0.7430692649678877
External Fragmentation Per Link;1;<5-4>; ;0.727718675606433;0.739977738665531;0.7355782414550376;0.735761015401724;0.7373287272849427;0.7383323610999932;0.7328637783493629;0.7348141919143903;0.7253898504647724;0.7282214879365976
External Fragmentation Per Link;1;<6-3>; ;0.287363754789433;0.2615956912741725;0.265112791970096;0.2919067293821628;0.29685009521274874;0.26344166653002915;0.2797191578989317;0.3062537292690632;0.29086248330465964;0.27804458999025267
External Fragmentation Per Link;1;<8-1>; ;0.6046026727042009;0.6274742180389572;0.6178320552658267;0.6295713204522678;0.6160453734412291;0.6239764960732046;0.6042957920265819;0.6183783800685335;0.6202795739665304;0.6337680388041271
External Fragmentation Per Link;1;<10-9>; ;0.5166300550196244;0.5118131885804943;0.489609468612312;0.5188913003451086;0.5424644447255119;0.5219243751321485;0.5077542912463661;0.5189162036777748;0.5121767253710952;0.5429256610686283
External Fragmentation Per Link;1;<5-6>; ;0.39828151299574105;0.3652379279316471;0.40110653298885485;0.3925310718732437;0.40081506756185575;0.39671737315524214;0.401202141051131;0.395535483681893;0.41226745212285815;0.3852902327542377
External Fragmentation Per Link;1;<6-5>; ;0.3900118672422942;0.37731794614265024;0.41368605823424054;0.4066972252891529;0.4314743558855887;0.40587195870804904;0.3780433079955286;0.43402928676516045;0.4005322552426605;0.42869319569447456
External Fragmentation Per Link;1;<10-7>; ;0.4954107204500868;0.5179775863808391;0.4983932552792213;0.5208327456501146;0.5191410475833917;0.5027904414060604;0.4968581572508695;0.5023101469177743;0.5261831341216987;0.5007219764236549
External Fragmentation Per Link;1;<5-7>; ;0.7570378748532504;0.7579810586964779;0.7631544994767563;0.7540823523311523;0.7643611443136522;0.7532438870057979;0.7632567360474732;0.7642614514486071;0.7755259385231953;0.7531116572490807
External Fragmentation Per Link;1;<7-5>; ;0.7430075318966938;0.7523701269676322;0.7581343691103989;0.7497052935679575;0.7536305367012297;0.7555642475931035;0.7569754625732252;0.7429922545966527;0.7557423566425212;0.7514894197338436
External Fragmentation Per Link;1;<10-6>; ;0.2790114642778158;0.308222900067343;0.2923632480013321;0.3108961745805959;0.31432571447478563;0.29956975334067926;0.29062087211379994;0.3113485298565763;0.2940223939583438;0.2999709885566192
External Fragmentation Per Link;1;<7-8>; ;0.7861480705511374;0.7859371400707869;0.7927282255869849;0.7763479159712904;0.7884841871383145;0.7819996163263749;0.788947532939239;0.7871403692103902;0.7930930612562865;0.781430112401252
External Fragmentation Per Link;1;<8-7>; ;0.7861275563328999;0.7859203522177783;0.7880223885667839;0.7823280692298642;0.7938530335972566;0.778304682376264;0.7822616425497328;0.7778261313816719;0.7869876710529143;0.7864864638743316
External Fragmentation Per Link;1;<13-14>; ;0.6665039503207372;0.6794371081595626;0.6756840001997277;0.6618257352503516;0.6797380527449406;0.6545631489418613;0.6880651282703867;0.680037849106448;0.6788826671253022;0.675141031585886
External Fragmentation Per Link;1;<8-9>; ;0.7509364010901336;0.7519428860622434;0.7609704738092707;0.7452852807239689;0.7534364338628058;0.7475997861013859;0.7489975101581994;0.756714003809932;0.7547718585206535;0.7514870156455882
External Fragmentation Per Link;1;<9-8>; ;0.7556592652346091;0.7547028612790394;0.7543110643437496;0.7473198742003458;0.7532047723519373;0.7518927219050026;0.7467284086537903;0.7498885244262056;0.7503829455464261;0.7537488820804126
External Fragmentation Per Link;1;<13-12>; ;0.2358862369232976;0.20720178516287424;0.23433968568341548;0.22090297199041756;0.19281710067038654;0.21664259172604616;0.2086642762266426;0.22637506597493282;0.22998144813267826;0.22551344604795295
External Fragmentation Per Link;1;<11-12>; ;0.2916294125212506;0.28746849092740856;0.2789036813910255;0.29163719747705086;0.2977328390495593;0.3082236195686036;0.2791457170391075;0.3053179925015469;0.2788733594813489;0.26162706362823
External Fragmentation Per Link;1;<9-10>; ;0.5303533272092996;0.5009344408026085;0.5122563489697655;0.5297207213989685;0.5296744583874129;0.5167681851903474;0.5224470128584744;0.5086560543529826;0.5150426733783078;0.521049956284213
External Fragmentation Per Link;1;<7-10>; ;0.5078318781251712;0.5112892182785701;0.47929263006753714;0.4996391230430331;0.5276901013597195;0.49661986788981627;0.5017076795556445;0.5065858450682292;0.4958334509512373;0.4810225200580929
External Fragmentation Per Link;1;<9-14>; ;0.72821839064462;0.7411500596926259;0.7294486032676009;0.7283566602275183;0.7263493708477968;0.7243730591895375;0.7187515315307429;0.7438015582206939;0.7374297625569537;0.7299364782023459
External Fragmentation Per Link;1;<9-12>; ;0.5554119698147316;0.5525686890809761;0.5397262841880714;0.5491483287191913;0.510960685783131;0.526333826591057;0.5432152740938319;0.5528052694301245;0.5253494196928566;0.5341801251591883
External Fragmentation Per Link;1;<11-14>; ;0.6473022264542426;0.6598468615601111;0.6639666240710922;0.6744947669800063;0.6754028131518061;0.6407682904825528;0.6408787968967024;0.6277011681311069;0.6685825736143131;0.6531949912958297
External Fragmentation Per Link;2;<14-11>; ;0.6818316799018909;0.6684809633315508;0.6599489581078913;0.6942050336197171;0.6673717962507361;0.6613690253719433;0.6852712552671473;0.6871002403407118;0.6707422258493453;0.6917196182282321
External Fragmentation Per Link;2;<6-13>; ;0.4358731354829963;0.4209757070418966;0.4363688236751244;0.4203658366280021;0.4293983116103852;0.388438190238651;0.3944821341280259;0.463328834449126;0.43103776574191816;0.38993457613249427
