Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.4295508876673098;0.43005814237553136;0.4330445964963362;0.4273873000484731;0.4289242989296266;0.4305413063657238;0.4249568022813229;0.43251861012099607;0.4310334467052051;0.4295996618561681
Percentage of cicuits by modulation;1;16QAM;all; ;0.1812588736393753;0.17784726633116724;0.17748823215412238;0.1793504604944256;0.1800503705138761;0.18015047144462357;0.17798668422769728;0.17831769355738222;0.1797685290901006;0.17934907312360365
Percentage of cicuits by modulation;1;32QAM;all; ;0.04795709102382079;0.04679484047491083;0.04562769932547193;0.046728065923412505;0.04549087034435995;0.04720553031413357;0.04659311978153433;0.04611915326980432;0.04637830951722812;0.04586679548336453
Percentage of cicuits by modulation;1;BPSK;all; ;0.007778465421626804;0.007622025699907168;0.00794632891735818;0.007525448376151236;0.008221533394682037;0.007352581953197518;0.007842047390616126;0.007601658543682258;0.008028170706791496;0.007898073787814746
Percentage of cicuits by modulation;1;64QAM;all; ;0.002002257089810332;0.0027361117897102653;0.0028267093706022227;0.002593310712554532;0.0025548505836198963;0.0021129512921979577;0.002525405091893329;0.0024732668945951844;0.002415662143810016;0.002487772477507397
Percentage of cicuits by modulation;1;8QAM;all; ;0.33145242515805695;0.33494161332877315;0.3330664337361091;0.336415414444983;0.3347580762338354;0.3326371586301236;0.34009594122693604;0.33296961761353994;0.3323758818368647;0.3347986232715416
Percentage of cicuits by modulation;2;QPSK;all; ;0.4306159933925864;0.42986436528641553;0.4289540612598445;0.42992185684761475;0.42697464651389566;0.4303673028005456;0.429439333449054;0.4307508410454842;0.4291761279494521;0.4265814365947384
Percentage of cicuits by modulation;2;16QAM;all; ;0.1788192946339419;0.17773464063601183;0.18272290548095;0.18079317134017342;0.181045831301804;0.178109293780798;0.17754854067994147;0.17997757212042045;0.1814591766215816;0.18054734456596708
Percentage of cicuits by modulation;2;32QAM;all; ;0.04643680428002613;0.04797289778558093;0.04671278151146933;0.04589534442909029;0.04811067771818625;0.043980485886675594;0.04608574900190939;0.04635916647155233;0.04603119755158456;0.04697507143560942
Percentage of cicuits by modulation;2;BPSK;all; ;0.008690721268228943;0.009532758812547138;0.00785099089579929;0.008939380969268586;0.008495855680156022;0.009019747594529167;0.009075805291740026;0.00888489075650963;0.008786652186790403;0.009348211646467632
Percentage of cicuits by modulation;2;64QAM;all; ;0.0023421801999482256;0.0019040789327266657;0.002260692214126869;0.0023235053134897828;0.0021209166260360798;0.0025928702213156053;0.002256552681826072;0.0026987393559994577;0.0025298647447921808;0.0020814858606759286
Percentage of cicuits by modulation;2;8QAM;all; ;0.33309500622526844;0.33299125854671796;0.3314985686378101;0.3321267411003632;0.333252072159922;0.335930299716136;0.33559401889552903;0.33132879025003387;0.3320169809457992;0.3344664498965415
Percentage of cicuits by modulation;3;QPSK;all; ;0.429648769270711;0.4242412930680503;0.42517767007357926;0.4242537966924366;0.42625946228138867;0.42495616380435997;0.4271881145949467;0.4261442138936258;0.4250717225894973;0.4264850285259717
Percentage of cicuits by modulation;3;16QAM;all; ;0.1785577410461508;0.18156706110717086;0.18254187489013335;0.18391753609047012;0.18262047706057102;0.1814507604491811;0.18093675230805847;0.1817050249567458;0.18170138455781465;0.18075149466147938
Percentage of cicuits by modulation;3;32QAM;all; ;0.04828958917996711;0.048091878507347544;0.04736194470254389;0.046823788436037926;0.04515792221352127;0.0480892393021029;0.04929286349572211;0.0464904965209923;0.04727454159910191;0.045517258523610056
Percentage of cicuits by modulation;3;BPSK;all; ;0.009544178916265902;0.009755247800714224;0.00963059692122247;0.008844354374640347;0.009024126486929933;0.009103005732903884;0.009420135539716143;0.00965906969217939;0.009392540850692278;0.009943693833666861
Percentage of cicuits by modulation;3;64QAM;all; ;0.0017060837959128167;0.0020033098162180996;0.0020592149870671253;0.002164177237358953;0.0019514984276143242;0.0022633156330444082;0.0018414360695987674;0.0020786915445798427;0.0023949108145191467;0.0026847973350900525
Percentage of cicuits by modulation;3;8QAM;all; ;0.3322536377909924;0.33434120970049896;0.3332286984254539;0.333996347169056;0.33498651352997477;0.3341375150784077;0.3313206979919578;0.3339225033918769;0.3341648995883747;0.33461772712018195
Percentage of cicuits by modulation;4;QPSK;all; ;0.42283375777617294;0.4213925327951564;0.4235268984756902;0.4248325999617371;0.42326610608838594;0.42443353762429115;0.42309551676759455;0.42564365473347254;0.4229934924078091;0.4231915776763141
Percentage of cicuits by modulation;4;16QAM;all; ;0.1846136303166217;0.18429616548940464;0.1840607210626186;0.18139149288948409;0.18310678384017195;0.18467563512448185;0.18413821179583736;0.1841121378465232;0.18339232028009286;0.1822824295938518
Percentage of cicuits by modulation;4;32QAM;all; ;0.04886794126217898;0.05035317860746721;0.04733779861015117;0.04697404502263886;0.0495163431750648;0.04821605676067441;0.04680423388122742;0.04930414014729971;0.047329096421458564;0.04865225211627234
Percentage of cicuits by modulation;4;BPSK;all; ;0.008894294728039834;0.009031281533804237;0.010518114530580444;0.009132070658759008;0.00987545046468989;0.009701701294407852;0.010177599104371278;0.009053055406199592;0.010579594322030672;0.010263763631561073
Percentage of cicuits by modulation;4;64QAM;all; ;0.001735781164873871;0.0017280524722502522;0.0019603654322228785;0.0024233148396148206;0.0017576025795030662;0.0016148310149276504;0.0022517938018421454;0.0016630612831830744;0.0018393779097055727;0.0020376589562658013
Percentage of cicuits by modulation;4;8QAM;all; ;0.3330545947521127;0.33319878910191725;0.3325961018887367;0.3352464766277661;0.33247771385218433;0.3313582381812171;0.3335326446491273;0.3302239505833219;0.3338661186589032;0.3335723180257349
Percentage of cicuits by modulation;5;QPSK;all; ;0.4220058719607519;0.42287087117951616;0.4221056918847368;0.42165806708956854;0.42463949763885195;0.42449474019764105;0.42200165425971875;0.41796111511161405;0.42197581669460954;0.42023095284175216
Percentage of cicuits by modulation;5;16QAM;all; ;0.18256459792320695;0.1846294178860953;0.18597902453925264;0.1852104430176152;0.18353653132794004;0.18346190627988523;0.18292294967232933;0.186464869869355;0.18283544175176547;0.18401393458486548
Percentage of cicuits by modulation;5;32QAM;all; ;0.05076322779903151;0.04847309120341226;0.04982944710314632;0.04834206158240797;0.049362553331560886;0.04858144724258846;0.04830438378825476;0.04968624627095978;0.048430117360158516;0.04946777627249855
Percentage of cicuits by modulation;5;BPSK;all; ;0.010981329198388389;0.009789688708454848;0.010296812951837899;0.009779070216297592;0.010064947396407004;0.010532355753905005;0.010663612648724312;0.011457154613722868;0.01117715795356399;0.01100574156506032
Percentage of cicuits by modulation;5;64QAM;all; ;0.0014616352521003063;0.00185001991340879;0.0013746054373281744;0.0017113372878520786;0.0015825388988061327;0.0016448836467963023;0.0019342113634917605;0.0015559098858142168;0.0016130671137529848;0.0019482614024901618
Percentage of cicuits by modulation;5;8QAM;all; ;0.3322233378665209;0.3323869111091126;0.3304144180836982;0.3332990208062586;0.33081393140643395;0.33128466687918395;0.33417318826748105;0.3328747042485341;0.33396839912614945;0.3333333333333333


Average of slots by modulation;1;QPSK;all; ;1.9969420073537443;2.0024185273855473;1.9842650555636434;1.96282113427048;1.9743909526807768;1.9962748546582638;1.9652605758890271;1.9960476225115782;1.9730912062687034;1.9682507094982187
Average of slots by modulation;1;16QAM;all; ;0.6492288276481367;0.6479821175550887;0.6387028679574902;0.6427169171110034;0.6529641110088633;0.6544775025648542;0.6418999746251163;0.6470017700831696;0.6522528152679462;0.6551174445987561
Average of slots by modulation;1;32QAM;all; ;0.17322557549722717;0.171935310499829;0.16921434464017082;0.16880756180319922;0.16234804087760935;0.16985441399189016;0.1681146461412052;0.1653815377900633;0.16803874674005792;0.16407221786124027
