Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
average SNR geral;1;all;all;all; ;12.862152298198675;12.82822412410483;12.807191137176561;12.872477331371748;12.825375269886282;12.843907391896549;12.86361965023179;12.840780537373996;12.835501125287962;12.8624698759969
average SNR geral;2;all;all;all; ;12.841023834241618;12.851507371914943;12.858886502104031;12.837044327002726;12.852640649119836;12.819706780321852;12.830817261044158;12.824834293147676;12.848120964479133;12.834529277726626
average SNR geral;3;all;all;all; ;12.850175636024515;12.86902367672136;12.875870166389012;12.889919099240151;12.857524743806362;12.87355087745356;12.859082756343877;12.856316193760172;12.866753953906631;12.848084515858016
average SNR geral;4;all;all;all; ;12.89737312923808;12.899393991009228;12.858241984818754;12.862879954959773;12.896118817930239;12.884161287049785;12.869348933106139;12.884142583131608;12.86222496677558;12.885859511445858
average SNR geral;5;all;all;all; ;12.888748570201049;12.887781593910532;12.896111886286414;12.886116224688937;12.909135024722456;12.889281584516759;12.888931847067102;12.88654596161619;12.875893873916034;12.89282886205433


average SNR established;1;all;all;all; ;12.867682643414517;12.848764323181891;12.833178515675607;12.867986014738175;12.846480573324625;12.851245341882578;12.86269297191778;12.843118138756443;12.850255439124947;12.85169560908846
average SNR established;2;all;all;all; ;12.844882992598997;12.849819894864174;12.868258931580897;12.846585968402835;12.871781736257747;12.825894777876643;12.831648570073598;12.83926995231804;12.853994211873259;12.854269733953002
average SNR established;3;all;all;all; ;12.85174007373731;12.873289903108484;12.873519154540755;12.874551423688033;12.859778139717644;12.882498732923807;12.874705212678913;12.85877217215756;12.874878688420399;12.859519903300844
average SNR established;4;all;all;all; ;12.897426117014973;12.904827730217661;12.877533267431977;12.868394586825895;12.887802117165284;12.888362967138017;12.877383419072652;12.892693064695015;12.872112973222169;12.881884001255713
average SNR established;5;all;all;all; ;12.895671052208542;12.894509406266938;12.9042297624593;12.895371804105302;12.890579097945984;12.885302576439022;12.883134651931062;12.906124664975394;12.878411373112327;12.895231323865511


average SNR per pair;1;all;5;2; ;13.388084873941912;13.361799394683906;13.283048427552464;13.35883729297958;13.381602814844577;13.338999986959726;13.380990209936694;13.386253165098617;13.354863899288677;13.388333514386233
average SNR per pair;1;all;6;10; ;14.89063716362133;14.888393161683382;14.887034685459858;14.897226011203944;14.909242796157796;14.918666029652268;14.863534848395703;14.901041178522709;14.90176426891325;14.900260083680129
average SNR per pair;1;all;11;5; ;10.775977706385094;10.775570400764892;10.76638039713609;10.773380417654083;10.714227518136097;10.783435365826277;10.754474260596432;10.7683986660217;10.766374575242608;10.776574592955635
average SNR per pair;1;all;11;2; ;10.199060961379386;10.206291673177962;10.187815375206233;10.201368032262595;10.186391360391438;10.203357116645622;10.166979004694177;10.179587870372904;10.20328984605397;10.182399510865425
average SNR per pair;1;all;10;3; ;10.542769578572978;10.528162797075307;10.534744288010597;10.520344209781083;10.531882190442177;10.542380052990145;10.539115656466315;10.528216371768801;10.544881176031481;10.538728150684912
average SNR per pair;1;all;7;11; ;10.967705307026147;10.952806950639273;10.939243445444525;10.706925723296187;11.080514339577308;11.092301652083082;10.78155000204072;10.76905905362002;10.973591663086784;10.798375554883696
average SNR per pair;1;all;5;3; ;12.078888717427693;12.079823037698446;12.054821724996208;12.074134857356999;12.074375558465379;12.086453499170178;12.077851844032455;12.075375864252491;12.051712039422066;12.075856921239344
average SNR per pair;1;all;6;12; ;12.004967451614908;12.025595573351806;12.01983944673047;12.02031589633755;12.025676310006045;12.015139471816937;12.01947818457919;12.026045728498897;12.03472648866104;12.035282406794947
average SNR per pair;1;all;14;6; ;12.016146841293398;12.013594566200918;12.024593360157885;12.01871253807768;12.0115616104518;12.022593506941238;12.028825186672853;12.01204625338114;12.021191271702405;12.014553935748976
average SNR per pair;1;all;8;4; ;12.134011486874762;12.097170729069056;12.18271859194946;12.117942504321018;12.092991786880622;12.136327051819125;12.089470266595628;12.052655202735055;12.07756326739221;12.193691297286366
average SNR per pair;1;all;8;1; ;11.153278884602958;11.15296918352997;11.149546862775399;11.16626722640759;11.158159746090782;11.150355366121667;11.145869210015716;11.145537364566533;11.154029733942536;11.149882277841613
average SNR per pair;1;all;3;1; ;13.673051493852618;13.671865506733146;13.666383682100403;13.668112651470011;13.65191442502304;13.671617247083736;13.67509901525836;13.673294357464162;13.672027273793784;13.667887211132772
average SNR per pair;1;all;13;4; ;10.131224607522787;10.121659116438103;10.123412622262176;10.124702418553005;10.125931443537313;10.13082381014372;10.104012160259055;10.123387169702992;10.123433451460636;10.115972281072345
average SNR per pair;1;all;14;13; ;20.706594006120163;20.724530608530824;20.713438043942375;20.71821457923947;20.716936114527364;20.724017837155188;20.70309828077883;20.705076284347125;20.70997928606589;20.706962954840886
average SNR per pair;1;all;5;11; ;10.767539068030446;10.761077295042703;10.767342593395687;10.780617712081972;10.770496189716296;10.765245735745774;10.75614594249208;10.762521137959133;10.770072218003072;10.77088088369066
average SNR per pair;1;all;5;6; ;15.245229875244867;15.249042071394076;15.244192539575323;15.235611469613044;15.244339258500759;15.240002154627359;15.253924682260987;15.252246128361863;15.241958721100826;15.24415853798619
average SNR per pair;1;all;7;9; ;13.82641283514605;13.872674903089141;13.687787711312167;13.806112204039447;13.845083697106524;13.831165917369084;13.769862573823914;13.851499401577147;13.78465868123255;13.862301140772102
