Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.04194264175914879;0.04262889514926517;0.043004802123621094;0.04334435242042967;0.04282181087213892;0.04175484663934397;0.0424124949121753;0.042716906954155504;0.043194006787368865;0.0427038848554125
Relative Fragmentation per spectrum size (c);1;all;3; ;0.08656237392662204;0.08661167227554037;0.08863535022454253;0.08854346120449147;0.08714102259828665;0.08562994300437045;0.0864455615494046;0.08672323174110265;0.08867337471636526;0.08736601578824073
Relative Fragmentation per spectrum size (c);1;all;5; ;0.15848980083387096;0.15845819857271912;0.16104777125992312;0.1608948511783579;0.1596046795120576;0.15691222831832966;0.1580987398956322;0.1590248343878723;0.16176152758387746;0.15927867654234093
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.0465612009219426;0.04582039098703078;0.04630153693552858;0.04654461459739613;0.046871127028330024;0.046140311843396425;0.04532163905488508;0.04656650597443262;0.045844667850217465;0.0466669776807783
Relative Fragmentation per spectrum size (c);2;all;3; ;0.09473438022804921;0.09380731363121282;0.0940072183707195;0.0950441694155673;0.09458133082080226;0.09405915251265383;0.09335544984616173;0.09426689348455304;0.09346622897267878;0.0945924699600933
Relative Fragmentation per spectrum size (c);2;all;5; ;0.17118902756224;0.17088753803239953;0.17113629269958477;0.1719398944372033;0.17250516940530944;0.1716758888286488;0.16930058176290594;0.17197759883650826;0.16921904777554134;0.17292132112997757
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.05091397415416383;0.04997871007115544;0.04919776050103417;0.04992321020848408;0.04968877058180989;0.04958014765527864;0.048872872617225185;0.049257845482662335;0.04958008560008014;0.04979144605352533
Relative Fragmentation per spectrum size (c);3;all;3; ;0.10324403675793364;0.10053527710896949;0.10032091418450703;0.10108789727361332;0.09986146986180731;0.10104733839105352;0.10009714814088945;0.10002830561690187;0.10109911938276343;0.10189409437122596
Relative Fragmentation per spectrum size (c);3;all;5; ;0.18648154694246363;0.1821145044753004;0.1822077511590363;0.1832370629792788;0.18227830377972326;0.18289145023119963;0.18179486279251386;0.18116162151049953;0.18221839977248164;0.1851392445970007
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.05289704260485688;0.052666479293005435;0.05422043392263034;0.052423289293850095;0.052486441459864044;0.052360025305200904;0.05220072189435146;0.053246244121486624;0.05290165852618405;0.05224273349268324
Relative Fragmentation per spectrum size (c);4;all;3; ;0.1064563148820172;0.10662528690553336;0.10924658247888826;0.10653569095245947;0.10552497447252016;0.10578104493204618;0.10569758597498771;0.10763258754690413;0.10624962121497455;0.10591898900694419
Relative Fragmentation per spectrum size (c);4;all;5; ;0.19278521224430392;0.19199754001010913;0.1964122036742053;0.19141446768795767;0.1920652322886819;0.191615277410877;0.19111813830617627;0.19480047556066063;0.19221979791905028;0.19209840199606487
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.05754697115657429;0.05631888828044044;0.056390679041764105;0.05430144488189347;0.05654408763992956;0.056409177007599;0.05621904501791799;0.05562685910752878;0.05746696797908599;0.05563009046062661
Relative Fragmentation per spectrum size (c);5;all;3; ;0.11520424923646537;0.11368611988073507;0.11368951585721873;0.11204184412995635;0.11302757780569012;0.11395922165605701;0.11306917077958555;0.11402682870865435;0.11511640493206907;0.11311515252196104
Relative Fragmentation per spectrum size (c);5;all;5; ;0.20744086035813974;0.20349905290709241;0.20411210271203248;0.20052525187028292;0.20377757328547166;0.20358527273995491;0.20393564795762129;0.20370041653424661;0.2074046912087121;0.20374934257288996


