Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.07984884905679042;0.07653500311600439;0.07476432125510679;0.0758029893858009;0.07552601121761582;0.07653500311600439;0.0710943605266542;0.07674273674214321;0.0751402201976437;0.07566450030170836
blocking probability;2;all;all;all; ;0.08793067632133425;0.0889000999099821;0.0891177256135561;0.08881107121306546;0.08787132385672315;0.09188750729540711;0.08986952349862995;0.08626880731222364;0.08993876804067623;0.08910783353612092
blocking probability;3;all;all;all; ;0.1021554836731262;0.10304577064229259;0.10429217239912554;0.09928678121692337;0.10252149053822793;0.1005430750511915;0.10322382803612587;0.10208623913107992;0.10363929528840352;0.10267976377719085
blocking probability;4;all;all;all; ;0.11347202025897458;0.11436230722814099;0.1132445024779654;0.11493604771938155;0.12021841706976882;0.11475799032554827;0.1188434183062785;0.11764647693662146;0.11659791672849215;0.11594503961777013
blocking probability;5;all;all;all; ;0.1292696679229605;0.12734071282309997;0.12285960174496247;0.1273209286682296;0.12510510332274882;0.1274396335974518;0.1243928737474157;0.1292103154583494;0.1278353166948591;0.13002146580803434


blocking probability fragmentation;1;all;all;all; ;0.010683443629996736;0.010821932714089285;0.009783264583395158;0.010762580249478192;0.009555746802385969;0.010752688172043012;0.009714020041348883;0.00964477549930261;0.00974369627365443;0.009575530957256334
blocking probability fragmentation;2;all;all;all; ;0.012909161052912722;0.01321581545340337;0.012869592743171994;0.012107902780662967;0.012790456123690536;0.01326527584057928;0.01298829767239418;0.014145670732310493;0.012582722497551711;0.013344412460060738
blocking probability fragmentation;3;all;all;all; ;0.01604494959986547;0.015659158579893362;0.01664836632341158;0.015946028825513645;0.01551077741836563;0.01582732389629146;0.016351604000356113;0.0164703089295783;0.01609440998704138;0.01596581298038401
blocking probability fragmentation;4;all;all;all; ;0.01953685293448477;0.019002680752984936;0.020298542896993798;0.019101601527336757;0.019883075644716145;0.018142070016124088;0.019546745011919952;0.019220306456558943;0.01880483920428129;0.021426239724604564
blocking probability fragmentation;5;all;all;all; ;0.022662749404002334;0.02204944060302104;0.022979295881928163;0.022702317713743064;0.02383001454135383;0.021574620886132295;0.021564728808697115;0.0232364898952429;0.022712209791178245;0.024176237251585204


blocking probability per QoT;1;all;all;all; ;0.029240980898398473;0.029053031427130012;0.030437922268055514;0.028924434420472645;0.0281726365353988;0.029537743221453937;0.027747277205685966;0.030210404487046323;0.029211304666092928;0.028034147451306248
blocking probability per QoT;2;all;all;all; ;0.034701407642619024;0.036284140032248176;0.03547298968256324;0.03427604831290619;0.03471129972005421;0.03654133404556291;0.03554223422460951;0.034651947255443113;0.03508719866259113;0.03524547190155405
blocking probability per QoT;3;all;all;all; ;0.04056740956168205;0.0397067988248212;0.03950895727611756;0.03877694354591408;0.039390252346895374;0.03984528790891375;0.040508057097070956;0.040478380864765406;0.04005302153505258;0.039133058333580634
blocking probability per QoT;4;all;all;all; ;0.044712190007023374;0.04430661483218091;0.04483089493624556;0.04454402469062528;0.04552334035670831;0.044880355323421474;0.04460337715523637;0.04534528296287503;0.044771542471634465;0.04552334035670831
blocking probability per QoT;5;all;all;all; ;0.04982639404101255;0.049282329782077534;0.04862945267135551;0.049371358478994175;0.05031110583533648;0.049410926788734905;0.049499955485651545;0.050528731538910486;0.04918340900772571;0.04844150320008705


blocking probability per QoT for other;1;all;all;all; ;0.03581921239279461;0.032544934761749314;0.03060608758445361;0.03217892789664757;0.0342166958482951;0.03237676944535122;0.029428930369666935;0.032633963458665954;0.03226795659356421;0.033682523666795264
blocking probability per QoT for other;2;all;all;all; ;0.03462227102313757;0.03346489796322125;0.0346618393328783;0.03667982312965546;0.03469151556518384;0.035937917322016795;0.03574996785074833;0.031684324024888466;0.036145650948155625;0.034830004649276394
blocking probability per QoT for other;3;all;all;all; ;0.03758000217625704;0.03975625921199711;0.040399244245283954;0.03741183685985894;0.040191510619145124;0.03747118932447003;0.03920230287562691;0.037392052704988576;0.03964744636021011;0.03975625921199711
blocking probability per QoT for other;4;all;all;all; ;0.03966723051508047;0.04194240832517237;0.03833180006133088;0.04135877575649662;0.04517711764647694;0.0419819766349131;0.04465283754241228;0.04289204775894986;0.0441978019803939;0.03984528790891375
blocking probability per QoT for other;5;all;all;all; ;0.044840787013680744;0.04431650690961609;0.03946938896637683;0.04350535655993115;0.03864834653925671;0.04446488807114382;0.04224906272566302;0.04329762293379233;0.04424726236756981;0.044761650394199284


blocking probability per other;1;all;all;all; ;0.004105212135600597;0.00411510421303578;0.003937046819202501;0.003937046819202501;0.003580932031535943;0.0038678022771562255;0.004204132909952419;0.00425359329712833;0.0039172626643321365;0.004372298226350516
blocking probability per other;2;all;all;all; ;0.005697836602664925;0.005935246461109297;0.006113303854942576;0.005747296989840837;0.005678052447794561;0.006142980087248123;0.005589023750877922;0.005786865299581565;0.006123195932377759;0.005687944525229744
blocking probability per other;3;all;all;all; ;0.007963122335321642;0.007923554025580912;0.007735604554312451;0.007151971985636703;0.007428950153821804;0.007399273921516258;0.007161864063071886;0.0077454966317476335;0.007844417406099456;0.00782463325122909
blocking probability per other;4;all;all;all; ;0.009555746802385969;0.009110603317802772;0.009783264583395158;0.009931645744922892;0.009634883421867427;0.009753588351089613;0.010040458596709895;0.010188839758237627;0.00882373307218249;0.0091501716275435
blocking probability per other;5;all;all;all; ;0.01193973746426487;0.011692435528385316;0.011781464225301956;0.011741895915561226;0.012315636406801793;0.01198919785144078;0.011079126727404022;0.012147471090403695;0.011692435528385316;0.012642074962162804


blocking probability per lack of transponder;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transponder;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transponder;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transponder;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
