Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.4020253926617143;0.4053388178331941;0.40071418643687257;0.40359421158539194;0.40341979113165555;0.4026394155579836;0.40285823820071565;0.40417644348729814;0.4056901438579603;0.4000342458423407
Percentage of cicuits by modulation;1;16QAM;all; ;0.17344843526591341;0.17180838528611522;0.17480461441416398;0.17117994605471593;0.1723270844033556;0.17261177882040404;0.17391165445561424;0.1725970449894464;0.17015883202310284;0.17533871278440102
Percentage of cicuits by modulation;1;32QAM;all; ;0.05820316279469786;0.057555112796452215;0.05756257149882929;0.058472834696236674;0.05725689094333162;0.059654647899393703;0.05734579996592264;0.058285922449723034;0.057906839937964596;0.058571092228334155
Percentage of cicuits by modulation;1;64QAM;all; ;0.023522076134983177;0.023491226942605567;0.023724247057188372;0.0235903583508156;0.023882896764252697;0.023887567752854725;0.023694411313682058;0.02411794327836885;0.024899727258142147;0.023447700177650306
Percentage of cicuits by modulation;1;8QAM;all; ;0.3428009331426913;0.34180645714163294;0.3431943805929458;0.34316264931283985;0.3431133367574046;0.3412065899693639;0.3421898960640654;0.3408226457951636;0.3413444569228301;0.3426082489672738
Percentage of cicuits by modulation;2;QPSK;all; ;0.400468536474263;0.4013940762616173;0.40131621815338503;0.40087718345944656;0.4024162762450113;0.4002527178057123;0.40129991522292024;0.4000216520515319;0.4019391515125164;0.39963945570843695
Percentage of cicuits by modulation;2;16QAM;all; ;0.17534326804190797;0.1755732650047772;0.17133641754088746;0.1750024426519601;0.17298932847475273;0.17692425001633952;0.17434732517444515;0.1748727941972502;0.17361058272372526;0.1733870529848072
Percentage of cicuits by modulation;2;32QAM;all; ;0.05805730895208347;0.05907452445062104;0.059099498273278164;0.0583088163451413;0.05860662849210481;0.058942070978845774;0.057844053648675085;0.05882862401212515;0.058859335427558994;0.05885994157444914
Percentage of cicuits by modulation;2;64QAM;all; ;0.022895381878918028;0.024266047077217058;0.024467322603766207;0.02366658343556284;0.02394586153045289;0.023605150214592276;0.023628893767797754;0.024163689509581032;0.023445907020728487;0.023880629432142742
Percentage of cicuits by modulation;2;8QAM;all; ;0.3432355046528275;0.3396920872057674;0.34378054342868314;0.34214497410788924;0.3420419052576783;0.34027581098451015;0.34287981218616176;0.34211324022951173;0.3421450233154708;0.344232920300164
Percentage of cicuits by modulation;3;QPSK;all; ;0.4013926226257106;0.39544963275029227;0.39694968414542564;0.399806708107277;0.397985164284061;0.3998922212324172;0.3988925167666784;0.39801258111070714;0.3978303573399254;0.3982868670833747
Percentage of cicuits by modulation;3;16QAM;all; ;0.17371424793971177;0.17517700774202086;0.17497901665415028;0.17420431831660332;0.17680514069681572;0.17331485697317628;0.1757192022590893;0.1773033237487744;0.17596618624053678;0.1767922302697578
Percentage of cicuits by modulation;3;32QAM;all; ;0.059737340795910275;0.06088845755122747;0.05990193046781817;0.05940430953060821;0.05903424559392463;0.060444092513774784;0.06034901164842923;0.058564960174505076;0.05835742821197607;0.05839424105125068
Percentage of cicuits by modulation;3;64QAM;all; ;0.023423383720417787;0.024373028652094317;0.02376640014136149;0.02371120434028159;0.024028128341067156;0.023722326701639776;0.02430065301800212;0.024435116942635865;0.024234665724943167;0.02416465478277166
Percentage of cicuits by modulation;3;8QAM;all; ;0.3417324049182495;0.3441118733043651;0.3444029685912444;0.34287345970522987;0.34214732108413154;0.34262650257899196;0.3407386163078009;0.3416840180233775;0.3436113624826186;0.3423620068128452
Percentage of cicuits by modulation;4;QPSK;all; ;0.39870564606114706;0.39397967161845193;0.39806789152527244;0.39486096208869814;0.3966471024758821;0.3982344396021902;0.39692625481325144;0.39808067445458417;0.393599390844755;0.39448360747454403
Percentage of cicuits by modulation;4;16QAM;all; ;0.1761437179201071;0.1791466547525969;0.17357741262563725;0.1777315808297568;0.17506577615867233;0.17883562409207732;0.17549984844572672;0.17471243749859863;0.17756203529517156;0.17603222557905338
Percentage of cicuits by modulation;4;32QAM;all; ;0.06009819236777505;0.06038199486205741;0.06076324977968162;0.05947111945636624;0.06048033461512514;0.05894513353447312;0.06073397173232147;0.060158299513442;0.060120487324196004;0.06128454738726642
Percentage of cicuits by modulation;4;64QAM;all; ;0.02375585806739567;0.023645705350161958;0.024039802327008242;0.02417516094420601;0.02443275090512492;0.024226170521846016;0.024450756087429977;0.024260633646494317;0.02418704649287826;0.023990153295289248
Percentage of cicuits by modulation;4;8QAM;all; ;0.3412965855835751;0.34284597341673184;0.34355164374240044;0.34376117668097284;0.34337403584519555;0.33975863224941333;0.34238916892127036;0.34278795488688085;0.34453104004299917;0.3442094662638469
Percentage of cicuits by modulation;5;QPSK;all; ;0.39511264101428034;0.39333242648892514;0.3951235465935875;0.39469508048061663;0.3975283795395957;0.393479049519318;0.3943919743323241;0.3942450783264606;0.39328327737954816;0.3944534776626832
Percentage of cicuits by modulation;5;16QAM;all; ;0.1778626040921123;0.1808134394341291;0.17712668177871008;0.17797551575606438;0.1783388358735471;0.17717213858153455;0.1783180441953997;0.17745288484476707;0.18006532982487977;0.18130237529421128
Percentage of cicuits by modulation;5;32QAM;all; ;0.06151801233768447;0.06079258201274117;0.06095566758015586;0.06074586261618681;0.060625932793632126;0.06032332668238709;0.06124316507750011;0.06170693748651013;0.06035069412938935;0.06116183610583647
Percentage of cicuits by modulation;5;64QAM;all; ;0.025004828283516807;0.023713981273662973;0.024979982181321966;0.0247902969848107;0.02416218171950613;0.024725648467259206;0.02398436440869447;0.024526008474480002;0.024373922511568825;0.02531069848886261
Percentage of cicuits by modulation;5;8QAM;all; ;0.34050191427240606;0.3413475707905416;0.34181412186622456;0.3417932441623215;0.339344670073719;0.34429983674950115;0.3420624519860816;0.3420690908677822;0.3419267761546139;0.3377716124484064


Average of slots by modulation;1;QPSK;all; ;1.8383018523097432;1.860241660775114;1.8245966664172004;1.8358629104765167;1.8342535524738914;1.8391070548664223;1.8358003918895893;1.856513773263476;1.8487298786031339;1.8410136769332848
Average of slots by modulation;1;16QAM;all; ;0.6345585310527957;0.632892002485164;0.6387264387970021;0.6260114740762941;0.6264766307139189;0.6290142896929966;0.6411015505196797;0.6347058382351366;0.6235199743301781;0.6433723593245008
Average of slots by modulation;1;32QAM;all; ;0.21178468914952858;0.2082396040876663;0.21131579228721414;0.21593098428736568;0.20978856360212292;0.21779463118880818;0.21159907991139887;0.21514362551294827;0.21136959195678914;0.21441107852999722
Average of slots by modulation;1;64QAM;all; ;0.07887635859340565;0.07845405660175248;0.08070948221483326;0.07980476944813118;0.07886064030131827;0.07904321186023094;0.07826077696370762;0.078728852603045;0.08346970426226001;0.07832666252862738
Average of slots by modulation;1;8QAM;all; ;1.5058536428041582;1.4864601409687854;1.4953866549773878;1.4999143725649697;1.4931518575586373;1.4823681899008077;1.4842285738626682;1.482037435847985;1.4803572383549923;1.4984696389203997
Average of slots by modulation;2;QPSK;all; ;1.807650593262619;1.8029292973160775;1.8011446319584719;1.7941875739580733;1.8173152004164497;1.7850046839938127;1.7930134991196227;1.7915881779798637;1.7979434559071295;1.7823050943170835
Average of slots by modulation;2;16QAM;all; ;0.6436953645257153;0.6425779553548163;0.6295475771594883;0.6413101299490843;0.6368644803053964;0.6427419881919784;0.6364476229811099;0.6392010392984735;0.6391156425613322;0.6373271939445935
Average of slots by modulation;2;32QAM;all; ;0.21088479642524025;0.21493094762442455;0.21713255576551335;0.21467111048386223;0.21505726184279023;0.21740267096577418;0.2112036171554029;0.21289379668723613;0.213882759595213;0.21256909527274306
Average of slots by modulation;2;64QAM;all; ;0.07678792217088566;0.0807565360896378;0.08146000304076802;0.07858825572937587;0.08169573138990109;0.07888717021415656;0.07775579853487816;0.0805889358016672;0.0776964967010511;0.0814373988684122
Average of slots by modulation;2;8QAM;all; ;1.475423526604629;1.465419525753496;1.476781564257944;1.4704439112828809;1.4797197640117994;1.4678111587982832;1.4811751407516902;1.4743206668831872;1.4765921368710528;1.4824886243932105
Average of slots by modulation;3;QPSK;all; ;1.7704155832709003;1.7374330017425061;1.7412863895392499;1.765326070244031;1.7622648164273038;1.7524167738955425;1.7565191493116836;1.7581386125524672;1.7541329154435297;1.7539438436352812
Average of slots by modulation;3;16QAM;all; ;0.634932352033846;0.6423892185190904;0.6450390952864778;0.6339315131680102;0.65230857407387;0.6338821252213314;0.6389538475114719;0.6486873560939066;0.6478579468956231;0.6440453748718458
