Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
average SNR geral;1;all;all;all; ;19.5434450687059;19.526898105852194;19.513213783686655;19.527441427995775;19.503094451569453;19.517641569816846;19.545465169423515;19.518128373906958;19.502394819587277;19.523676783083875
average SNR geral;2;all;all;all; ;19.49957639561692;19.523050072444903;19.514551214300308;19.512299515583166;19.48763605860802;19.51719080558292;19.510661940560148;19.5126787380701;19.504241557833257;19.505644076953498
average SNR geral;3;all;all;all; ;19.513928945044707;19.485365886290705;19.54400948043223;19.466264297355014;19.49966539858321;19.487546058028666;19.47419548656766;19.48106921367296;19.52252309652058;19.50634806207197
average SNR geral;4;all;all;all; ;19.45403286088705;19.46902337606889;19.503328320139254;19.48400948226558;19.473879087762533;19.50774525407818;19.449869044365574;19.482000672299478;19.49886635255322;19.476306546929045
average SNR geral;5;all;all;all; ;19.510101833593886;19.460581176214983;19.463526503085486;19.476990787714488;19.49314053520138;19.505203011202166;19.448286936062274;19.472120991264546;19.47941014034558;19.46764810150027


average SNR established;1;all;all;all; ;19.562343295107155;19.552145900102712;19.532091312751472;19.53008158266734;19.520416366689258;19.55275484318498;19.55579923080122;19.530612858101044;19.52702169611185;19.541673592741436
average SNR established;2;all;all;all; ;19.520058194746486;19.533649708353927;19.536141367714727;19.525341949756353;19.50912647495786;19.532446992101484;19.522664987724543;19.536467232149263;19.511840888263254;19.520170097626668
average SNR established;3;all;all;all; ;19.524471883247784;19.492596194059576;19.552892039090345;19.482615882847178;19.498448294841246;19.50769324108169;19.506820282436802;19.50729517593935;19.519059234318508;19.504244216822936
average SNR established;4;all;all;all; ;19.47550363977144;19.489260236708297;19.498148226361522;19.495874631498335;19.482667505516712;19.523907040015132;19.48203195251295;19.488197352520917;19.501389561575515;19.4878160868909
average SNR established;5;all;all;all; ;19.515796543650378;19.467813868849184;19.480754842217415;19.47666718888144;19.48526737361334;19.509466911020724;19.472902892090357;19.489805933283233;19.488591444498585;19.4958899393271


average SNR per pair;1;all;5;2; ;19.914395672727412;19.912074652146217;19.905664711903455;19.902147271535686;19.934265107061613;19.92917708302525;19.938692617750917;19.923997296389352;19.920190767013686;19.927470648930328
average SNR per pair;1;all;6;10; ;21.693597405386477;21.69904440515266;21.66878197668215;21.706399175557568;21.70725679145165;21.650267731509743;21.652069918439764;21.702935228518697;21.681866847490774;21.683066733599404
average SNR per pair;1;all;11;5; ;17.3681819631924;17.41969038242372;17.365366580395975;17.378905445706653;17.357510815452173;17.390426993226527;17.388472972628104;17.385789986499987;17.394671242794885;17.388064345355648
average SNR per pair;1;all;11;2; ;16.762264626272543;16.803635743988252;16.77233909157264;16.77683910897861;16.764871299947494;16.77952454456972;16.745234152227507;16.793903017260416;16.795254932836773;16.784324584486825
average SNR per pair;1;all;10;3; ;17.288645164996613;17.287856725323703;17.294113592426203;17.25917937040027;17.243438119457746;17.291625175638874;17.300106381377997;17.276163949063804;17.26232322830877;17.25706934948967
average SNR per pair;1;all;7;11; ;17.82399088684953;17.7706943733295;17.828430699400034;17.781781987507575;17.78188192678307;17.843503042243945;17.86276222583082;17.858585167264955;17.77131792477635;17.82762201301948
average SNR per pair;1;all;5;3; ;18.692016409462518;18.688782510440312;18.674272408492037;18.680724073928157;18.70263816140761;18.708178221299768;18.688546956258676;18.71422360131259;18.683540959971296;18.70108652679676
