Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.03346247258353523;0.03426880119391078;0.03522885208847698;0.034478933793163705;0.03381164216247706;0.033964577623156154;0.03334096597908188;0.0333928153471277;0.03416273685016296;0.03282908665768322
Relative Fragmentation per spectrum size (c);1;all;3; ;0.07115900199646562;0.0712880588989722;0.07348816573797963;0.07274585612676782;0.07148519081948276;0.07117855740599477;0.07032273609992068;0.07083307420071465;0.07221657936466115;0.06956674412126157
Relative Fragmentation per spectrum size (c);1;all;5; ;0.12318880478986208;0.12399142939890817;0.1282396133325767;0.12633467978171573;0.12465825862069708;0.12367639999028111;0.12277651316357713;0.12276625959617003;0.12571940663901382;0.12076039521447823
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.037617754504508445;0.038011784435885806;0.03755505631599359;0.03724674273052705;0.0381278268242088;0.03601958683763446;0.037759461675842404;0.03758915251548473;0.0378646187044512;0.03749634742495408
Relative Fragmentation per spectrum size (c);2;all;3; ;0.07890298575555567;0.07958683459693813;0.0788175772481577;0.0792442493359049;0.08027731665164166;0.07550227735713275;0.07977348796900509;0.07916354841526681;0.07950244024909998;0.07781647788205735
Relative Fragmentation per spectrum size (c);2;all;5; ;0.1363899940682857;0.1382208270701783;0.13706570453718409;0.13688707310390916;0.13884129771337703;0.13131781192960687;0.13781408804709286;0.13619723238963483;0.1375081246442315;0.13556985354812445
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.04137032913249515;0.043558557251672014;0.04091088388077314;0.04336805934223553;0.042608435731534514;0.041900386176728525;0.041645455579269956;0.042481117564916515;0.04252883599271316;0.042110724714282274
Relative Fragmentation per spectrum size (c);3;all;3; ;0.08674645793256623;0.09137324287579003;0.08553119953125572;0.0902819290095037;0.08921855408448925;0.08789669301131166;0.08713924162464619;0.08840928259813885;0.08825218914742303;0.08786483150236465
Relative Fragmentation per spectrum size (c);3;all;5; ;0.15045439519603315;0.15760827688909188;0.14797472003176515;0.15548603163726818;0.15376274048186817;0.15211642646809012;0.15074888717386595;0.15266154558677872;0.15372908780439462;0.15100306933266214
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.048907089284012495;0.04774374103903143;0.04515204960518896;0.047609633575933195;0.04658266004537506;0.046392892950224904;0.0469329279930307;0.0461944320501721;0.046642553327373076;0.04677047567885306
Relative Fragmentation per spectrum size (c);4;all;3; ;0.10136653340895987;0.09909941536366813;0.09378914011161193;0.09849482358888541;0.09764347287587687;0.09607435774497246;0.09803560970710037;0.09668488306307003;0.0970402221957859;0.09698615500270956
Relative Fragmentation per spectrum size (c);4;all;5; ;0.17515638947673162;0.1713151930587592;0.16057065497503845;0.16939420622784557;0.16818078614642967;0.1658676672728418;0.16814972205150513;0.16629701923963586;0.1660950520929131;0.16727623204265202
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.049645518242010814;0.05309362007058354;0.05044469599519918;0.04960766629947389;0.05094566979530151;0.04983530114628852;0.052592199611125504;0.05185343737217446;0.050977913427009705;0.05003122667809207
Relative Fragmentation per spectrum size (c);5;all;3; ;0.10465358336460284;0.10871952515305505;0.10430573161961286;0.10281542604855409;0.10545177611445998;0.102461687985169;0.10973253464944949;0.10730286878643244;0.10579056712385697;0.10408934763743997
Relative Fragmentation per spectrum size (c);5;all;5; ;0.17879444100732195;0.18695071507082697;0.17958501154692633;0.17639600110234313;0.18185759335198579;0.17578921997936708;0.18739403034589827;0.183536171012483;0.18065257115638997;0.17855725013967927


