Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.14100646857138188;0.13294601055380081;0.1364356318028484;0.13232063490012877;0.12862831184948503;0.128353222284819;0.133009602301677;0.1339376173992875;0.1347161913272449;0.14016726233133542
bandwidth blocking probability;2;all;all;all; ;0.14864367646344998;0.13714434500311287;0.14896733548009738;0.14871342884107927;0.15220728703468478;0.15064569834211897;0.14775779848757614;0.1524391651913276;0.1405340367544339;0.14622953211614761
bandwidth blocking probability;3;all;all;all; ;0.15645666518696472;0.16526717190003093;0.16154865955405528;0.16072866059677235;0.16503177467600266;0.16402400269223472;0.16158905905652995;0.15927224898879294;0.15847661805214439;0.1564010702468043
bandwidth blocking probability;4;all;all;all; ;0.17611027115188632;0.16778482351255553;0.17332319718022834;0.1652073947536644;0.17047435048840992;0.17621684415059333;0.16886187943225325;0.17602759569261134;0.17351602706270736;0.1753195587765359
bandwidth blocking probability;5;all;all;all; ;0.18695336667951423;0.1929913236582449;0.18848221939209114;0.18685968890609894;0.18920698821625662;0.1902337858596909;0.1867780381187988;0.18585501735929943;0.1919448127850355;0.19270278350876258


bandwidth blocking probabilities per pair;1;all;5;2; ;0.12958071127796436;0.1475929680792321;0.1349577595348452;0.12912810332197006;0.11586837986839166;0.10926699113836014;0.07420303692287203;0.08313246245197989;0.10219087482249083;0.12213587174802358
bandwidth blocking probabilities per pair;1;all;6;10; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;11;5; ;0.12810020232386982;0.14867225190596256;0.17787523778805386;0.1820730599259369;0.16796126375776627;0.12743527806672356;0.14248279292914023;0.17376707323193136;0.16212313418150898;0.16815322117450465
bandwidth blocking probabilities per pair;1;all;11;2; ;0.19428108458219284;0.22000686084376866;0.191688725751492;0.15115635951323617;0.15167339660210669;0.15048795684540697;0.17604418798354288;0.14886815305437825;0.17439644639374574;0.11264990499819544
bandwidth blocking probabilities per pair;1;all;10;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;7;11; ;0.2672453722659629;0.2900546239588632;0.24761861136387392;0.2291232863234515;0.18578509170664342;0.2666997818159986;0.199188037544062;0.27020612194433064;0.3467324271216819;0.26195386250136826
bandwidth blocking probabilities per pair;1;all;5;3; ;0.16512405782750977;0.1209141081797712;0.16593253716546572;0.11287518665685864;0.1262245781838627;0.13669902558181932;0.15916454751863127;0.17998381195956437;0.16593542931409674;0.14595964616055807
bandwidth blocking probabilities per pair;1;all;6;12; ;0.0;0.0011815450318675266;0.005465990379065427;0.025362389888729887;0.009510926556338133;7.741371956240052E-4;0.018408754310783215;0.0014326163623677851;0.0;0.003764630842056584
bandwidth blocking probabilities per pair;1;all;14;6; ;0.10909633939007087;0.06298757171690073;0.0717064721146931;0.053115028052534465;0.029370556150754498;0.06023977132753045;0.03294057827711926;0.05026378246744574;0.06605612514488177;0.0638080635693191
bandwidth blocking probabilities per pair;1;all;8;4; ;0.2913425210668411;0.23422668301381688;0.29926659720819676;0.20128497823379618;0.3035599904832905;0.22326014828614674;0.32253717110024893;0.25464522462742795;0.2240051349986272;0.32290037484745476
bandwidth blocking probabilities per pair;1;all;8;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;1; ;0.001735320282227085;0.0;0.0;0.0;0.034350753248516074;0.01512661465726122;0.010318310199670706;0.0;0.028290011357760377;0.0
bandwidth blocking probabilities per pair;1;all;13;4; ;0.190442295595317;0.15624189317019435;0.12222289094090992;0.1718845615996529;0.1110448055891011;0.146178747781215;0.1740034589519149;0.13104456589511013;0.1465643381548091;0.20425022893331188
bandwidth blocking probabilities per pair;1;all;14;13; ;0.05525713995187142;0.026157184981248586;0.021892294408336354;0.004242781831579312;9.935522526601053E-4;0.037687519457064965;0.025605975180013302;0.052184061768939055;0.018845243008724706;0.01089802737112869
bandwidth blocking probabilities per pair;1;all;5;11; ;0.14653387472008858;0.18154288869037075;0.13873930225567166;0.1598600466031409;0.12631813557517552;0.13595357729166294;0.11046911024595145;0.15600870798837177;0.18214647433099668;0.1334677601658343
bandwidth blocking probabilities per pair;1;all;5;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;7;9; ;0.18496888056974845;0.16918874674514867;0.3143271910133772;0.21342106101009325;0.1695028173986436;0.12930560637439223;0.19765019009725637;0.30540992518915694;0.2702486276931286;0.26833620280183285
bandwidth blocking probabilities per pair;1;all;9;11; ;0.08313678511398953;0.11428804829657138;0.08732368427797547;0.10797663224858808;0.03200940558234306;0.07306784513131648;0.06361691222510345;0.06005471418500938;0.04713979313079449;0.06941644805362107
bandwidth blocking probabilities per pair;1;all;4;1; ;0.06385731184114149;0.12427773152640029;0.04850342205934521;0.068002087858855;0.07868524197389272;0.06722721009829251;0.05402527712064066;0.04120228251403381;0.14063733562198294;0.04049238151123985
bandwidth blocking probabilities per pair;1;all;10;12; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;8;10; ;0.1504078813866663;0.10468643116826201;0.08969776754977148;0.1352384348962473;0.11860747531799205;0.1354589885302859;0.1173539570321936;0.15520697223683336;0.15536932244171672;0.15666716902095068
bandwidth blocking probabilities per pair;1;all;6;9; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;12;10; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;13; ;0.32463815699145265;0.31430532635106345;0.32241311240223464;0.3608078776095682;0.3472988107556828;0.31149000417388434;0.3084657500994954;0.2803351898519294;0.3432522191506578;0.3986036665497224
bandwidth blocking probabilities per pair;1;all;7;10; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;8;14; ;0.19858635401551947;0.1288171671006389;0.16232952528898664;0.23519124561357022;0.15677574419733697;0.24587375997068298;0.13073966786002006;0.22447492274982947;0.19111890280339372;0.21463885610337569
bandwidth blocking probabilities per pair;1;all;13;7; ;0.30555514872672906;0.23760024430846313;0.22803306664289133;0.26152755859420607;0.3168953775465932;0.25035264843971605;0.27899222957308595;0.31448267165582705;0.2511158265688839;0.2709459886196182
bandwidth blocking probabilities per pair;1;all;3;7; ;0.24891526668563987;0.3406734653083066;0.25912231443958045;0.2384915035665863;0.21833991635793856;0.22842121679463837;0.2590540549050621;0.24900931644733615;0.2756863883323723;0.2847833357083433
bandwidth blocking probabilities per pair;1;all;10;7; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;14; ;0.14779804109430986;0.11451661550458314;0.19936152310181485;0.12569115500792147;0.15201769352878433;0.12722036383196672;0.1246424192893033;0.14517371521637987;0.23913071996629026;0.12583903339944827
bandwidth blocking probabilities per pair;1;all;2;4; ;0.06788676333274749;0.0593421901765863;0.08034794376598854;0.10341097332322073;0.11491940523655836;0.12040851346297862;0.04117516959515373;0.11240923571517096;0.04644023372644846;0.07669721334109245
bandwidth blocking probabilities per pair;1;all;2;8; ;0.3246934273976489;0.33590758315964153;0.24404665457383604;0.3878598432238543;0.2923516506070808;0.34909062438416427;0.34536762016990213;0.3382661720350689;0.32578342840489966;0.35202836521899106
bandwidth blocking probabilities per pair;1;all;7;5; ;0.25791580351849547;0.16156733707613924;0.24099517528878822;0.17589105813121408;0.2585040694272884;0.17809378351191385;0.18243010467947096;0.1196916551535819;0.20757979146676878;0.2745240120581563
bandwidth blocking probabilities per pair;1;all;9;10; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;10; ;0.1593120711690385;0.20377710973976665;0.22478201179745966;0.1671735757810552;0.18100651534227097;0.2048579869227688;0.2431681168324853;0.20676635375432248;0.11514392001365549;0.2042923096237848
bandwidth blocking probabilities per pair;1;all;14;8; ;0.2018025446448303;0.20514328023982706;0.19958131065890294;0.14657047579291987;0.13889622217732084;0.16415104499988534;0.19948384225895532;0.1856633242798445;0.23391364662207575;0.19627297988081016
bandwidth blocking probabilities per pair;1;all;10;5; ;0.15672249443478875;0.20080876970661718;0.17623216542913578;0.22618763005394799;0.2172451624132075;0.19987381053749678;0.27776648611511995;0.14768620891777842;0.1662413667000227;0.22585331676944526
bandwidth blocking probabilities per pair;1;all;4;13; ;0.15797479553251598;0.1314240753476687;0.15737149090644856;0.13797526202551444;0.1867969352761122;0.1231351005900071;0.14195764163142846;0.16236139008861827;0.16735617607388217;0.14325928909488325
bandwidth blocking probabilities per pair;1;all;12;7; ;0.26362790068243064;0.21331515563898315;0.21103111132412306;0.17828667314181731;0.18241406966207757;0.25452293979544477;0.19770074033906504;0.24747490853383794;0.19847844629509848;0.2837082011196467
bandwidth blocking probabilities per pair;1;all;2;11; ;0.15076799951198483;0.20139371473457626;0.1324072315976815;0.16584461961956443;0.1809638627737267;0.10973575975012442;0.13251433771104568;0.2057187239095068;0.11773162552798201;0.16023037491604467
bandwidth blocking probabilities per pair;1;all;10;11; ;0.16788687649769723;0.05984853416184818;0.0894511813380201;0.06873926947659563;0.05537040230541458;0.06643943947809282;0.07801575243809201;0.1207753648746214;0.06626990072542213;0.06968743580812731
bandwidth blocking probabilities per pair;1;all;3;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;14; ;0.4074418005058689;0.302839802601806;0.3894957373335444;0.27835596927680756;0.26928497631320253;0.3328309900263545;0.2880301717973062;0.32452869468986306;0.389546597535196;0.39780796764225634
bandwidth blocking probabilities per pair;1;all;6;8; ;0.3323463088308437;0.1896147479692622;0.2719839106033446;0.16793893499123386;0.25457223422967173;0.25388141781507767;0.17542527979416317;0.33448642538849;0.23113343954619875;0.25455660199824365
bandwidth blocking probabilities per pair;1;all;14;4; ;0.17561145105827664;0.15508502596765858;0.19156576778232243;0.18274804842951273;0.1726903460074662;0.2145245279450234;0.1631990706731344;0.16220549665141665;0.1873423984890396;0.11379992372430933
bandwidth blocking probabilities per pair;1;all;5;12; ;0.29083268831939;0.26013822203998826;0.3695893006400487;0.2832000255841109;0.3115447149823663;0.27390343396514627;0.30865652094740187;0.3674848393654891;0.2702973091895916;0.27149961497854164
bandwidth blocking probabilities per pair;1;all;9;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;5; ;0.1308830384772318;0.11421454146927575;0.10771090032843574;0.11854097918113098;0.0943558109950768;0.14753571030207135;0.14041127949119758;0.16632824770803567;0.05927866778122365;0.14823388461313558
bandwidth blocking probabilities per pair;1;all;12;9; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;3;11; ;0.16463821455756258;0.15050340551980107;0.19142000231487982;0.18506672654416456;0.1706039685508249;0.23520773009773926;0.20607480677106768;0.2133072494413978;0.20301250500383125;0.184387792704494
bandwidth blocking probabilities per pair;1;all;7;6; ;0.18791806501610123;0.22257478300456113;0.20765269321104485;0.1346586205052355;0.23159684514520348;0.19813037432542127;0.22184335405172173;0.2106384822059152;0.21728562509526958;0.2825530374228305
bandwidth blocking probabilities per pair;1;all;10;13; ;0.2008188485184041;0.1296227983350108;0.10477806095023293;0.12230557425083252;0.10909277756838962;0.14099214413507305;0.09335559283407036;0.1398195835992882;0.11322254424338442;0.1405606925893832
bandwidth blocking probabilities per pair;1;all;7;13; ;0.22530396690307383;0.24496915199212918;0.24197049574175183;0.2632665029041039;0.23400913377237523;0.28369249743723474;0.38024521998132316;0.2831986354676221;0.26193924557769577;0.3100941074362494
bandwidth blocking probabilities per pair;1;all;1;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;13;10; ;0.1452284129271844;0.11982653177504597;0.1924046377057459;0.1588206095345926;0.17915513801083413;0.1814449581568306;0.1472097934005002;0.06789895554989782;0.06831167323093114;0.08731664786438478
bandwidth blocking probabilities per pair;1;all;11;4; ;0.2759708328822717;0.1919917180675619;0.26254391209395317;0.2507766412377843;0.191847147445337;0.3221618892770432;0.22798925403653061;0.15641575307279187;0.24032093839893526;0.23094257306192953
bandwidth blocking probabilities per pair;1;all;12;11; ;0.002083327417018817;0.0034537414186165114;0.0060748734254828145;0.04305141128568746;0.011424414917998484;0.006597267468289858;3.261156139694114E-4;0.03239281337928809;0.011316518844825704;0.03311656476786185
bandwidth blocking probabilities per pair;1;all;14;3; ;0.171605719499065;0.07656164426075383;0.09645319995065506;0.06123152259655619;0.053468221025976;0.05527637674957401;0.09869996176199332;0.07001059983708924;0.06310823264613694;0.12349187076926528
bandwidth blocking probabilities per pair;1;all;10;8; ;0.1283876034687472;0.15975507082821175;0.10960820321009859;0.08615997848826447;0.1364861979930236;0.13542590732028661;0.11127402954841578;0.10299521989961556;0.20233712973140575;0.16752848629831626
bandwidth blocking probabilities per pair;1;all;3;9; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;8;6; ;0.2946793891752554;0.2829928494095257;0.2985704240237611;0.2554814600306859;0.32614701735529844;0.3246805160512795;0.29679985072817655;0.24194899694561856;0.22959755972963214;0.26144157293273046
bandwidth blocking probabilities per pair;1;all;1;11; ;0.1599459918534103;0.13025793295159002;0.15013061110337025;0.1683692995442167;0.15676161368880412;0.16380962693619372;0.12577874473376705;0.13799776730629987;0.1761313414596683;0.19617187064373667
bandwidth blocking probabilities per pair;1;all;4;3; ;0.12681654396925632;0.16846065174671268;0.1275616777281173;0.12102816939800466;0.1255390953882191;0.08486924430396653;0.17991888188334282;0.1092891552080522;0.11534569877485927;0.1479166973599016
bandwidth blocking probabilities per pair;1;all;3;13; ;0.009961318663669753;0.01565049973899082;0.07802214666060178;0.05053175684436593;0.00496321753668974;0.0029848722697140796;0.002508766128138965;0.04408209557231841;0.021791389451983886;5.88248319189888E-4
bandwidth blocking probabilities per pair;1;all;9;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;11;1; ;0.23544578319873344;0.22395940201812436;0.14404571037252611;0.10263183145866331;0.15631575619830906;0.1385929014981057;0.18181241787335253;0.10196010955351742;0.17222034839219746;0.10379959106124302
bandwidth blocking probabilities per pair;1;all;11;3; ;0.1778641984284106;0.2530813725849899;0.19975066868372918;0.19362414396439487;0.15332219828088722;0.22646319127616768;0.20765119450351868;0.24755102017058236;0.1998897145629367;0.22917361900171657
bandwidth blocking probabilities per pair;1;all;11;10; ;0.07701830461781274;0.09264925328830734;0.09077774309337809;0.11558703694787381;0.09484696385305952;0.06006531789957564;0.11664691341839913;0.03327460638724786;0.05739583297567612;0.0458563848679005
bandwidth blocking probabilities per pair;1;all;1;8; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;1;6; ;0.0;9.046486041963429E-4;0.0;0.0;0.0;7.127942088975452E-4;0.0;0.0;0.0;0.006530009134813267
bandwidth blocking probabilities per pair;1;all;13;2; ;0.16258649543441414;0.13930992922700705;0.23902613929155234;0.16666421431750478;0.18118860875672244;0.18543585959974618;0.2509145936328865;0.1573635960885641;0.16836199283306905;0.22207858545378248
bandwidth blocking probabilities per pair;1;all;9;13; ;0.11499427997249669;0.12068851305323391;0.12314509005219444;0.19997054419727342;0.13235117680794023;0.09641978937024384;0.10955739835243536;0.11784920841453875;0.09884831781497745;0.07006551677000149
