Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.1058155523241436;0.0999891187148213;0.10212580744082064;0.09859433579646061;0.09753588351089612;0.0998209533984232;0.1017598005757189;0.09925710498461782;0.09716987664579438;0.10159163525932081
blocking probability;2;all;all;all; ;0.10314469141664441;0.0948848067582673;0.10358983490122761;0.10655745813178226;0.10422292785707926;0.10690368084201363;0.10041447804453413;0.10871393101265196;0.09464739689982293;0.10567706324005104
blocking probability;3;all;all;all; ;0.09894055850669199;0.1089117725613556;0.10146303825266344;0.1101383901633182;0.11199810072113245;0.1094162685105499;0.11310601339387284;0.10615188295693978;0.10389648930171826;0.09947473068819182
blocking probability;4;all;all;all; ;0.1105241811832903;0.10449990602526436;0.10533084052981967;0.09544865517207268;0.10493515743241238;0.11312579754874322;0.10894144879366116;0.10953497343977209;0.11066267026738286;0.10992076445974419
blocking probability;5;all;all;all; ;0.10887220425161488;0.11275979068364148;0.10936680812337399;0.11154306515911407;0.11596482377264049;0.11265097783185447;0.10773461534656893;0.11230475512162309;0.11245313628315083;0.11489647940964082


blocking probability fragmentation;1;all;all;all; ;0.00256204805571218;0.0028390262238972806;0.0018102501706383357;0.002552155978276998;0.0030368677726009237;0.002008091719341979;0.002433451049054812;0.0028390262238972806;0.0032940617859156603;0.002858810378767645
blocking probability fragmentation;2;all;all;all; ;0.004312945761739423;0.004906470407850353;0.004500895233007884;0.004540463542748612;0.00484711794323926;0.004154672522776509;0.005292261427822457;0.004639384317100434;0.006360605790822131;0.0049757149498966275
blocking probability fragmentation;3;all;all;all; ;0.008952330078839858;0.007142079908201522;0.0075278709281736255;0.006637583959007231;0.007419058076386622;0.007794957018923544;0.006944238359497878;0.008358805432728928;0.0076267917025254475;0.009446933950598965
blocking probability fragmentation;4;all;all;all; ;0.012928945207783087;0.013205923375968187;0.011524270211987219;0.013987397493347578;0.012750887813949808;0.011049450495098475;0.011178047501755843;0.011217615811496572;0.012196931477579607;0.012078226548357421
blocking probability fragmentation;5;all;all;all; ;0.017271567201828056;0.01670771878802267;0.01683631579468004;0.01472930330098624;0.015580021960411906;0.016163654529087655;0.016816531639809677;0.017222106814652145;0.01550088534093045;0.015085418088652798


blocking probability per QoT;1;all;all;all; ;0.0034919033346193034;0.00388758643202659;0.003046759850036106;0.003650176573582218;0.004451434845831973;0.003323738018221207;0.0036798528058877645;0.003719421115628493;0.004332729916609788;0.003650176573582218
