Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
average SNR geral;1;all;all;all; ;17.050508305710242;17.052079601928014;17.06727183156973;17.069681948517967;17.061320099326288;17.068714093897977;17.07629415719468;17.068135812840083;17.059148480179978;17.082621402560616
average SNR geral;2;all;all;all; ;17.090176636481363;17.056515278614498;17.078258359561016;17.066474760713174;17.061979590842505;17.053905373100772;17.07446386551615;17.087912504517295;17.018197176353763;17.070916490835504
average SNR geral;3;all;all;all; ;17.072530459150293;17.078085211485945;17.090174769400292;17.07722276110712;17.102108131977605;17.093602288032905;17.083491093669995;17.084294633913416;17.089190833956216;17.09280691616484
average SNR geral;4;all;all;all; ;17.11391397623514;17.08410979792156;17.08655100748078;17.07586013295541;17.11116359351835;17.087659477514595;17.08305601257421;17.116546980527517;17.09492102859372;17.083070352617423
average SNR geral;5;all;all;all; ;17.08333689915901;17.11578507850139;17.070610301565985;17.09627590756576;17.103112467455798;17.092584738884984;17.085278542042335;17.084863381515298;17.089423425347324;17.120331309320868


average SNR established;1;all;all;all; ;17.06656923695226;17.06895990323471;17.06683575746859;17.075727415101085;17.065902112854204;17.067903359986495;17.067547291734595;17.073317984411823;17.05574554035619;17.067017144595596
average SNR established;2;all;all;all; ;17.08450115949541;17.058634851534613;17.085349972030635;17.063218500293804;17.064234177361175;17.045458409440105;17.08088837954193;17.08115759883928;17.05105883498225;17.0746245711012
average SNR established;3;all;all;all; ;17.07508794997713;17.090537764915872;17.091193643227122;17.095054673624354;17.101497284859672;17.095748741373395;17.090491960598133;17.080241722814087;17.09241035622934;17.07514645553814
average SNR established;4;all;all;all; ;17.106569794707205;17.08683858944937;17.081706243593207;17.088721884947148;17.101220904793124;17.08422245525056;17.09366223765493;17.102986040122865;17.09131477992108;17.08016468444568
average SNR established;5;all;all;all; ;17.092001758465166;17.099178881549875;17.080306476053913;17.08167779290991;17.102913333880263;17.088892421925607;17.08163782601496;17.085811029665457;17.08719270796144;17.1109324083442


average SNR per pair;1;all;5;2; ;17.621818663007684;17.69326112458416;17.692004097993152;17.684767724508237;17.685766501397286;17.659879456048234;17.653416355026167;17.687427412053378;17.68296364527729;17.623770629220456
average SNR per pair;1;all;6;10; ;19.058712076929275;19.061567907727035;19.062546978098545;19.06191648368172;19.061481988924623;19.07017773629273;19.059898381621245;19.063241868533098;19.071775174172245;19.069619742329003
average SNR per pair;1;all;11;5; ;15.015978720493617;15.024183468145639;15.023933246367264;15.028469484841098;15.022510505733228;15.032952172744482;15.02421194620049;15.026980091489834;15.028163081540427;15.027037506172789
average SNR per pair;1;all;11;2; ;14.45884657606273;14.470311496920496;14.442170241922291;14.466067109448552;14.410215131770263;14.468421028254776;14.468729980824882;14.431498850971252;14.4392206040771;14.467296486506173
average SNR per pair;1;all;10;3; ;14.764563573489752;14.760099718379953;14.760685343078016;14.759439472564521;14.759711383807625;14.762724152453227;14.764059633923896;14.75880857617046;14.760596100527206;14.758904736691708
average SNR per pair;1;all;7;11; ;15.251530508689088;15.297582388897917;15.358830203666514;15.246626767553053;15.187424768512297;15.376891123533428;15.381884285929601;15.252940166796376;15.12646997146797;15.203651886941408
average SNR per pair;1;all;5;3; ;16.28750788300523;16.35073952912934;16.346163203412488;16.339923678286258;16.34391801667381;16.316187435981337;16.31813176919545;16.34685995308466;16.343916236233365;16.316218128116354
average SNR per pair;1;all;6;12; ;16.191634449400173;16.190177243056908;16.190267743212946;16.193589478353562;16.198404529750942;16.185127911616952;16.19360933588124;16.188552138954552;16.19364702844882;16.194877715494187
average SNR per pair;1;all;14;6; ;16.19598274127734;16.18822591137672;16.20529754400704;16.193098386282614;16.19628628694987;16.190853249399858;16.19514583387224;16.19717192701006;16.188613517678327;16.193319495176755
average SNR per pair;1;all;8;4; ;16.538205579387274;16.477440105984968;16.53666168533665;16.506157564398027;16.540029690308103;16.50598953080122;16.537568997947552;16.50250402143438;16.50193116066142;16.51190455211546
average SNR per pair;1;all;8;1; ;15.370588280090796;15.368080183771594;15.374177775828006;15.36858442203431;15.36943864359827;15.369817028300531;15.377648749956226;15.37794491572805;15.371208469772771;15.36972795767611
average SNR per pair;1;all;3;1; ;17.856110606146302;17.855823924292466;17.861262892900946;17.852796293382397;17.857195563619413;17.858805661924514;17.848527321892245;17.859828124920146;17.863902891413197;17.859059459431545
average SNR per pair;1;all;13;4; ;14.329498133124305;14.366962675414527;14.367058649411305;14.369579798300236;14.363550878894127;14.372164270576416;14.365631780354313;14.363225740291721;14.37027600195407;14.321543300239078
average SNR per pair;1;all;14;13; ;24.99005924186765;24.984742416130146;24.993398311670283;24.988726502086763;24.982387189559866;24.98916354205747;24.981011049448014;24.984477401543835;24.98943398489989;24.98337086142911
