Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.0426935960352585;0.04244580894836836;0.042274408873157976;0.04284286505454709;0.04413964341522913;0.042015048056233587;0.04172969602268412;0.043368637376066874;0.04338168752026815;0.04266829501701001
Relative Fragmentation per spectrum size (c);1;all;3; ;0.08920472528718718;0.08959003120341094;0.08907367708114967;0.08960729127448595;0.09159860210890845;0.08858196772755816;0.08881875440620886;0.09130117231232115;0.09110834706113127;0.08886450969159763
Relative Fragmentation per spectrum size (c);1;all;5; ;0.15681967384712453;0.15663214915057364;0.15573688125432425;0.1573628128547033;0.16128429423357368;0.1552295181247616;0.15557158090422094;0.15984809401815636;0.160297516217731;0.15641955195171917
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.047700783950737645;0.048786800735226184;0.04768334724008205;0.048446850786768164;0.047349920175070975;0.047079352706459784;0.048803644618956435;0.04790841103542475;0.04867265119241712;0.04747098253255017
Relative Fragmentation per spectrum size (c);2;all;3; ;0.09837145158796243;0.10057508526601287;0.09888739851605234;0.09931548733583691;0.09780044651359399;0.09808739998352235;0.10080677271339494;0.0988070565174637;0.10249002661295635;0.09960425802091491
Relative Fragmentation per spectrum size (c);2;all;5; ;0.17261830312634294;0.17593223098562535;0.17285796132940204;0.17473068242607698;0.17237966063175034;0.17097993562826846;0.17637504635024523;0.17392463042361328;0.17871397110667683;0.17377172603727634
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.054610859546054234;0.05147784632713849;0.052877923343735665;0.052048373073270975;0.05173084042440862;0.05229466419036061;0.051188094561141644;0.053582131148942426;0.052288612681427316;0.053809904144556324
Relative Fragmentation per spectrum size (c);3;all;3; ;0.11215474532556345;0.1083466306679913;0.10995660669052491;0.10725776073403664;0.10720386102079513;0.10764630679192155;0.10659158000971274;0.11002657248501746;0.10878903873477162;0.11093323773463795
Relative Fragmentation per spectrum size (c);3;all;5; ;0.19550923999968134;0.18938589351421076;0.19073735480706586;0.18745985773898205;0.18705511915338868;0.18796876888805905;0.18491725871673229;0.19118133326172398;0.19038039566552856;0.19272934594002675
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.057497691340449714;0.05934244052692909;0.05792814596152165;0.06001393936384756;0.05900597130136458;0.05729162136079914;0.05792925652014844;0.05761578096130623;0.05795602221674475;0.05820710925824878
Relative Fragmentation per spectrum size (c);4;all;3; ;0.11866963308717361;0.1216276936084927;0.11799851498547674;0.12164447231382035;0.12084555339405904;0.11717762683530188;0.11896011990491737;0.1177538424018454;0.1191642854482695;0.11878188071868404
Relative Fragmentation per spectrum size (c);4;all;5; ;0.20568836377617047;0.20990305104022006;0.20472548676332933;0.21155212007175198;0.20958208650612245;0.20416460048868504;0.2068284467532631;0.20384555936251858;0.20668189534214698;0.20580631601856858
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.06320903841731079;0.062071707026452906;0.06255095009648458;0.06199917374370157;0.06186648671387454;0.062059522778823054;0.06328403629036843;0.06276568430190665;0.06286134246368576;0.060603012545281436
Relative Fragmentation per spectrum size (c);5;all;3; ;0.13043025425625507;0.12699399130646005;0.1298173888771555;0.12720164149935212;0.12630804996446957;0.12785784667934075;0.12878081737609076;0.1281612818085542;0.12756822320070238;0.12450705464947329
Relative Fragmentation per spectrum size (c);5;all;5; ;0.22461536016653594;0.21982027592295145;0.22377930846544192;0.2194546463694613;0.21885558623662268;0.21989788271196323;0.22335767545723081;0.22049420303332376;0.21988317797187643;0.21553915616932398


