Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.12158178215054086;0.12146597381333893;0.12162471110312432;0.12221673130968247;0.1215108994613914;0.1210177156805487;0.12142104816528645;0.12215583209787802;0.12139409277645496;0.12193020550988115
blocking probability;2;all;all;all; ;0.13794170647578258;0.13813638428400996;0.137264826711792;0.1367067503282068;0.13756333268440732;0.1386026126760212;0.1379267312597651;0.1377060964104407;0.13867748875610864;0.13869446066759514
blocking probability;3;all;all;all; ;0.15168196634569786;0.1519635004068267;0.15203538144371065;0.15251259166080136;0.151472313321453;0.15188363258806675;0.15320344829307497;0.15208030709176312;0.15292990101382212;0.15242373871243092
blocking probability;4;all;all;all; ;0.16698563876783923;0.1670255726772192;0.1663956152567501;0.1670115958089362;0.16659728149911895;0.16757765897439736;0.16762258462244983;0.16677099400492185;0.1678911401630302;0.1665503591555975
blocking probability;5;all;all;all; ;0.181588471080362;0.180766830894869;0.17970558725309613;0.1804343810992807;0.18062007377789757;0.18038845710349372;0.18047331666092617;0.18119013033429673;0.18035650997598973;0.1805871283026591


blocking probability fragmentation;1;all;all;all; ;0.0052642876040153545;0.005181424742051904;0.005097563532353955;0.005335170293164812;0.005302224817926332;0.005284254558705343;0.005096565184619455;0.005315203338474824;0.005164452830565414;0.005207381783148888
blocking probability fragmentation;2;all;all;all; ;0.007088268914945765;0.0070463383100967895;0.007111230912839251;0.0068406786767899125;0.0069165531046118675;0.00718011690651971;0.006960480404929841;0.006864639022417899;0.006754820771622964;0.0070523283965037865
blocking probability fragmentation;3;all;all;all; ;0.008727555894993785;0.008673645117330818;0.008675641812799817;0.008790451802267247;0.008756507979294267;0.008868322925558201;0.009011086651591615;0.008695608767489805;0.008773479890780757;0.008759503022497766
blocking probability fragmentation;4;all;all;all; ;0.010814102660097538;0.010869011785495005;0.010918929172219975;0.010839061353460024;0.010766181968841567;0.010756198491496572;0.01082807952838053;0.01079413570540755;0.010820092746504535;0.010666347195391626
blocking probability fragmentation;5;all;all;all; ;0.01278783613120286;0.012941581682315767;0.012817786563237841;0.012797819608547853;0.012709965007911906;0.01268500631454942;0.012928603161767275;0.012665039359859433;0.012674024489469927;0.012806804738158348


blocking probability per QoT;1;all;all;all; ;0.06060469922278629;0.06105195900784202;0.060980077970958065;0.06080936050835867;0.06061867609106928;0.05992881780653019;0.06073348608053671;0.0605897240067688;0.06011351213741258;0.0612496318592729
blocking probability per QoT;2;all;all;all; ;0.07041346571424292;0.07019582590812205;0.07058218648137332;0.07022777303562604;0.06984740254878177;0.07050231866261338;0.07014690686913158;0.07026071851086452;0.07066105595239879;0.07044541284174691
blocking probability per QoT;3;all;all;all; ;0.07804184075355287;0.07874467755864045;0.07817162595903779;0.07847312697485662;0.07817162595903779;0.077822204251963;0.07869476017191548;0.07852504105705058;0.07903020501070727;0.07846414184524612
blocking probability per QoT;4;all;all;all; ;0.08591481098781517;0.08573411004787078;0.08564425875176583;0.08611647723018405;0.08560132979918235;0.08579001752100274;0.0858658919488247;0.08495839385816474;0.08631115503841143;0.08571713813638428
