Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.42450492798952577;0.42376259676268313;0.4248689233930684;0.4243195228584817;0.4246547787754434;0.4240598702689687;0.42337616884821366;0.42450275617908395;0.42462672999568213;0.4244311973649353
Percentage of cicuits by modulation;1;16QAM;all; ;0.13032463812918244;0.1298290431233153;0.12987069078195876;0.12986274447361118;0.13010274529145638;0.1295277231647466;0.1301996629671842;0.13039735152058973;0.1301013567256778;0.1299204227746176
Percentage of cicuits by modulation;1;32QAM;all; ;0.007553371399476288;0.007593285362982222;0.007683311188878748;0.0075702086811732005;0.007465256272281273;0.007464475027741905;0.007471310734938349;0.007594703496088352;0.007758561916232984;0.007672340575516501
Percentage of cicuits by modulation;1;BPSK;all; ;0.1652524458102997;0.16558748528389022;0.16533212703832223;0.16582692246450328;0.1648322675446023;0.16567568150816014;0.16622444840136677;0.1646349299497212;0.164533100015908;0.16524525225605244
Percentage of cicuits by modulation;1;64QAM;all; ;0.0032095577538551064;0.0031773160543098317;0.003200621939035881;0.0032778457660969295;0.0032183902820978176;0.0031677451083950356;0.003264650302886369;0.003273069281482821;0.003290684726041406;0.0032790501214863058
Percentage of cicuits by modulation;1;8QAM;all; ;0.26915505891766073;0.2700502734128193;0.269044325658736;0.2691427557561337;0.2697265618341188;0.2701045049219876;0.2694637587454107;0.2695971895730339;0.2696895666204577;0.2694517369073918
Percentage of cicuits by modulation;2;QPSK;all; ;0.4240606379960277;0.42383903439168763;0.4247231135792669;0.42418603898131424;0.42455293888852874;0.4231632675531366;0.4244944991314418;0.424822367407994;0.4245063448422946;0.42395717784570164
Percentage of cicuits by modulation;2;16QAM;all; ;0.1319895539586675;0.13171935270882323;0.13179458042059194;0.13152782050184916;0.13192701628960113;0.1316110024883435;0.1319988419224088;0.13147532594437325;0.13162476180761937;0.13166328786145393
Percentage of cicuits by modulation;2;32QAM;all; ;0.0074500425600907945;0.0074517253761771825;0.007363194212203022;0.007441698025492586;0.007533593250789476;0.007467348459649314;0.007376954255935148;0.007420220186842742;0.0075363837412546885;0.00754464601364736
Percentage of cicuits by modulation;2;BPSK;all; ;0.1598475943415346;0.16010958078976936;0.1597036670165235;0.16030238620042048;0.15973579174499689;0.16112458754576547;0.15969310943833237;0.1598594916645537;0.16013482500104317;0.160002364584094
