Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.008472222098626522;0.008465637079261477;0.008487691379190714;0.008491232816427854;0.008467118804568952;0.00848251708422884;0.00846939895941981;0.008503226697195847;0.00848372863591729;0.008481584957201346
Relative Fragmentation per spectrum size (c);1;all;3; ;0.01789847469813118;0.017929552105714716;0.01797330037447851;0.017981796806355314;0.017938724876194377;0.017928627237438318;0.017931804323881043;0.01795096845442211;0.01793689419562272;0.017930028697326975
Relative Fragmentation per spectrum size (c);1;all;5; ;0.034352352035581096;0.034433168643568504;0.03445311698707976;0.03440699656885663;0.03441917373512556;0.034348602718563055;0.034430310086509694;0.03445523081811693;0.03434889488782994;0.03439983462595199
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.009349285428241287;0.009343656599546698;0.009336963633101497;0.009293671470575816;0.009321780180464393;0.009366351303368398;0.009307104092874247;0.009359260687227994;0.009341399563973405;0.009338234314012235
Relative Fragmentation per spectrum size (c);2;all;3; ;0.019560720392467527;0.01959670951398125;0.019630492506962135;0.019543952758739762;0.019581461312107105;0.019621065697214335;0.019528046230300147;0.019658939096967903;0.019606541389246192;0.019574433789331814
Relative Fragmentation per spectrum size (c);2;all;5; ;0.037764927973397026;0.037853926216777904;0.03791889528723896;0.03771461738919931;0.03781267230057394;0.03784993219667659;0.03770007266487793;0.03794113156907568;0.03784721396190518;0.03776348063267225
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.010144912175839443;0.010145873103050682;0.010166100654161977;0.010158678324772541;0.010156950351710383;0.010155437902880359;0.010178084732381585;0.010142328957584998;0.010173248742736361;0.010115984896230062
Relative Fragmentation per spectrum size (c);3;all;3; ;0.02120436508785141;0.02118929207037741;0.021170979022722813;0.021230206529216127;0.021214640719235487;0.021168463200476134;0.02121293701591412;0.021119331110750286;0.021225153609702504;0.021146145968877414
Relative Fragmentation per spectrum size (c);3;all;5; ;0.04109617631779657;0.041124193002535975;0.041081699406812715;0.041220916903539004;0.041170245610242455;0.04099368893294618;0.041138193095427655;0.04098638231724133;0.041191246313835285;0.04093804681838325
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.01093262282852154;0.010922494112719252;0.010956734806717912;0.010918517295444585;0.010956038124615465;0.010924580729921252;0.010957232669544341;0.010919167247587446;0.01095789692660689;0.010964345951481361
Relative Fragmentation per spectrum size (c);4;all;3; ;0.022767677243969196;0.022701881946141846;0.02278446445914637;0.022728826831374935;0.022778475507910786;0.022742973603500784;0.022736328771965783;0.02272743054107294;0.022793543518923123;0.02279334001511576
Relative Fragmentation per spectrum size (c);4;all;5; ;0.04415703654278527;0.044094297357877434;0.044245756759646336;0.04419321910489709;0.044290668340569626;0.04418672920002864;0.04429918235833748;0.04411710695166302;0.044327369686376523;0.0443282544108142
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.011695165487097092;0.011719446518300812;0.011729420089881834;0.011682857078424062;0.01171622503894676;0.011708909731111633;0.01172642728326736;0.011691241133779319;0.011742074236267148;0.011689261738920865
Relative Fragmentation per spectrum size (c);5;all;3; ;0.02426935071294829;0.02428287598598206;0.024314329126843705;0.02426519123775411;0.02429373408435519;0.024285849730634714;0.02431643212075584;0.024254585659624996;0.024347110207740472;0.02425616797031684
Relative Fragmentation per spectrum size (c);5;all;5; ;0.04716019010485607;0.047354751032729264;0.04747512907627272;0.047181846496026775;0.04736210115000656;0.04727620307163682;0.04733582507334722;0.0472287120012641;0.04740181397147926;0.04716846796660258


