Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Tx utilization geral;1;all;all;all; ;110.44471100328956;110.75669666701609;110.8475423174646;110.6064762817537;110.89656218957626;110.71117700206159;110.78507569971697;110.99578797090815;110.74853916767749;110.74022392939685
Tx utilization geral;2;all;all;all; ;122.17320734184923;122.3339892477949;122.38822748351478;122.12863311219931;122.24639321922218;122.16709945040957;122.11152043368226;122.46595783977517;122.17797445228148;122.22480694450684
Tx utilization geral;3;all;all;all; ;133.40069584837096;133.42145049942346;133.44297986831793;133.5170313131767;133.50180850692104;133.24526408793446;133.4765562993246;133.04715695523907;133.46445632478247;133.2271730286376
Tx utilization geral;4;all;all;all; ;143.96396264182778;143.90829277545663;144.19928717971757;143.96907218553295;144.1405064618057;143.80625564690436;144.2933135660482;144.02416999865224;144.1909250190934;144.48188547953137
Tx utilization geral;5;all;all;all; ;154.32772461576093;154.5062032336483;154.84759522989452;154.34025288148115;154.75028028612647;154.42659298860386;154.63344464910574;154.28649185597837;154.73372468564526;154.22209044032127


Rx utilization geral;1;all;all;all; ;110.44471100328956;110.75669666701609;110.8475423174646;110.6064762817537;110.89656218957626;110.71117700206159;110.78507569971697;110.99578797090815;110.74853916767749;110.74022392939685
Rx utilization geral;2;all;all;all; ;122.17320734184923;122.3339892477949;122.38822748351478;122.12863311219931;122.24639321922218;122.16709945040957;122.11152043368226;122.46595783977517;122.17797445228148;122.22480694450684
Rx utilization geral;3;all;all;all; ;133.40069584837096;133.42145049942346;133.44297986831793;133.5170313131767;133.50180850692104;133.24526408793446;133.4765562993246;133.04715695523907;133.46445632478247;133.2271730286376
Rx utilization geral;4;all;all;all; ;143.96396264182778;143.90829277545663;144.19928717971757;143.96907218553295;144.1405064618057;143.80625564690436;144.2933135660482;144.02416999865224;144.1909250190934;144.48188547953137
Rx utilization geral;5;all;all;all; ;154.32772461576093;154.5062032336483;154.84759522989452;154.34025288148115;154.75028028612647;154.42659298860386;154.63344464910574;154.28649185597837;154.73372468564526;154.22209044032127


Regenerator utilization geral;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


Max tx utilization geral;1;all;all;all; ;156.0;157.0;154.0;157.0;155.0;152.0;155.0;157.0;154.0;157.0
Max tx utilization geral;2;all;all;all; ;170.0;174.0;164.0;166.0;168.0;172.0;171.0;168.0;167.0;170.0
Max tx utilization geral;3;all;all;all; ;184.0;176.0;190.0;181.0;180.0;179.0;183.0;181.0;179.0;176.0
Max tx utilization geral;4;all;all;all; ;190.0;193.0;194.0;190.0;193.0;197.0;193.0;193.0;191.0;188.0
Max tx utilization geral;5;all;all;all; ;202.0;204.0;203.0;204.0;203.0;201.0;204.0;204.0;210.0;204.0


Max rx utilization geral;1;all;all;all; ;156.0;157.0;154.0;157.0;155.0;152.0;155.0;157.0;154.0;157.0
Max rx utilization geral;2;all;all;all; ;170.0;174.0;164.0;166.0;168.0;172.0;171.0;168.0;167.0;170.0
Max rx utilization geral;3;all;all;all; ;184.0;176.0;190.0;181.0;180.0;179.0;183.0;181.0;179.0;176.0
Max rx utilization geral;4;all;all;all; ;190.0;193.0;194.0;190.0;193.0;197.0;193.0;193.0;191.0;188.0
Max rx utilization geral;5;all;all;all; ;202.0;204.0;203.0;204.0;203.0;201.0;204.0;204.0;210.0;204.0


Max regenerator utilization geral;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


Tx utilization per node;1;all;22;all; ;5.486117389545812;5.443071850135003;5.394000048231123;5.440641227192606;5.487952959173917;5.433797283376854;5.392222836405585;5.4153514032142;5.401620730045658;5.442074706714967
Tx utilization per node;1;all;11;all; ;5.747952247123537;5.703777000120671;5.7724944960275675;5.725529116345809;5.781897047546012;5.748557076963945;5.721460309835475;5.752425911355887;5.719580032268163;5.798780487804878
Tx utilization per node;1;all;12;all; ;5.729397857763196;5.778498186970199;5.777965536938309;5.782506758534893;5.749010577822552;5.74615938550168;5.748771059036892;5.734879847727814;5.781007427929972;5.751423466349017
Tx utilization per node;1;all;23;all; ;5.270897197615197;5.301861638813503;5.267602596967011;5.289534578592047;5.310485908883059;5.315518150865583;5.225938402309914;5.330399117336659;5.312910179640719;5.271120503337976
Tx utilization per node;1;all;13;all; ;5.758464957346651;5.757493253086862;5.771439546720446;5.763298255730143;5.787949209391471;5.746834834834835;5.714051933675066;5.750252537399587;5.762979737783075;5.795955926288869
Tx utilization per node;1;all;24;all; ;5.535495409562418;5.54339775903672;5.543541312111987;5.49879183712529;5.530918431033655;5.531629500107787;5.597506699846861;5.610933549587368;5.558324597350615;5.509632939367734
Tx utilization per node;1;all;14;all; ;5.833631058711444;5.797115731282298;5.844693701466782;5.849611249760031;5.847199865459001;5.808707701283547;5.842959381507456;5.814403965542134;5.8513423457730385;5.8687757974852675
Tx utilization per node;1;all;15;all; ;5.384796841902562;5.41709356906288;5.447616097595844;5.378562385036191;5.406605867593129;5.462320630998764;5.379729794701668;5.3354989856052555;5.357410341351001;5.436896214488467
Tx utilization per node;1;all;16;all; ;5.406244782100518;5.4975275315926515;5.4275201466969065;5.4363605712496685;5.4049822576004605;5.450338249707169;5.434782608695652;5.459186616671474;5.463905212364436;5.441870482936869
Tx utilization per node;1;all;17;all; ;5.453264555571477;5.497058473264261;5.574172689235451;5.437463963098213;5.487070407724296;5.468127347094984;5.526373521556658;5.462108494412202;5.4890425097813305;5.461757605021728
Tx utilization per node;1;all;18;all; ;5.6082024853097;5.737147357869111;5.711287849750862;5.628097773475314;5.692971906869348;5.680419513593578;5.660746003552398;5.771307393552384;5.720194123694088;5.66747619047619
Tx utilization per node;1;all;19;all; ;5.407429743094922;5.471378855154206;5.464276367443078;5.470239957640376;5.555113295767893;5.485370339408126;5.415767234093927;5.500596260255676;5.409363052730289;5.527985833592572
Tx utilization per node;1;all;1;all; ;5.181626086538923;5.179544633176726;5.158451042567503;5.165448839270741;5.177233429394812;5.215698940166033;5.276569165861362;5.148645048797617;5.148038222093528;5.139062687282752
Tx utilization per node;1;all;2;all; ;4.975760342093884;5.015450952209846;5.064372865977412;5.015379104477612;5.0;5.023658175213879;5.034736539291365;5.075080906148868;5.0080722429817;5.036606735639357
Tx utilization per node;1;all;3;all; ;4.865740407458066;4.908057602465925;4.911098866875883;4.953911490758168;4.905705172785918;4.896968970887744;4.956211885686955;4.868492355331914;4.978183650938415;4.914945176227836
Tx utilization per node;1;all;4;all; ;4.956247320535416;4.989033942558747;4.920111584060794;4.896242990204337;4.917189849848416;4.879893109923444;4.824309579807482;4.963330877634925;4.919713793433521;4.903302168766888
Tx utilization per node;1;all;5;all; ;5.4174344774908105;5.434395299961788;5.47418322506687;5.456230886850153;5.400076845492531;5.399932961428879;5.457971845797185;5.432470644620177;5.491287199713159;5.437524056966898
Tx utilization per node;1;all;6;all; ;5.565514758819295;5.521927189715247;5.527994619652679;5.57956424822032;5.637153065329011;5.516472705458908;5.54969280809541;5.666349062671208;5.592527030906133;5.517356330168853
Tx utilization per node;1;all;7;all; ;5.162515910564615;5.182603287002704;5.179834623840933;5.1857701851498375;5.182120631881283;5.2003650862276025;5.185804658295792;5.209514943187243;5.090913503543345;5.1995961926737815
Tx utilization per node;1;all;8;all; ;5.732703132793388;5.6213824040131195;5.634579776361669;5.623430066603235;5.645376549094376;5.653890105704218;5.654774244871393;5.646284663338668;5.619117718036585;5.666547252274844
