Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.08789553289306198;0.08745925493308575;0.08780268655375353;0.08836275963280771;0.08793347010697296;0.0880542701828474;0.0883677513714802;0.08732048459799033;0.08692014715645606;0.08811017765597935
blocking probability;2;all;all;all; ;0.1034477939010937;0.10330103678412228;0.10364546675252458;0.10411968192641179;0.10444913667879659;0.1032800714816978;0.10357258736790612;0.10391302394537041;0.10369738083471854;0.10384313960395546
blocking probability;3;all;all;all; ;0.11872051754346556;0.11830819992911731;0.11857475877422866;0.11890521187434795;0.11925862697236074;0.11934049148658969;0.11867559189541309;0.11911087150765483;0.1181724246372254;0.11865262989751961
blocking probability;4;all;all;all; ;0.13343716149772128;0.1331765927390169;0.13279123051350017;0.13375962781596457;0.13280520738178314;0.13314764065471643;0.1338954031078565;0.13384848076433503;0.13359390209203767;0.13264547174426325
blocking probability;5;all;all;all; ;0.14633281918425006;0.14705262790082413;0.14656343751091944;0.14720337840873354;0.14620103728329614;0.14736011900304996;0.14737409587133293;0.14656743090185742;0.1462809051020561;0.14632383405463958


blocking probability fragmentation;1;all;all;all; ;0.005667620088753113;0.005981101277385927;0.005713544084540086;0.005703560607195092;0.005875276417528989;0.005785425121424043;0.005947157454412946;0.005799401989707035;0.005763461471265057;0.005905226849563972
blocking probability fragmentation;2;all;all;all; ;0.007670305644158917;0.007627376691575443;0.007695264337521402;0.007903919014031778;0.007736196594635878;0.007742186681042874;0.007972805007712237;0.007758160244794864;0.007842021454492814;0.007706246162600895
blocking probability fragmentation;3;all;all;all; ;0.010033394731719006;0.009963510390304046;0.009820746664270632;0.009691959806520208;0.0097089317180067;0.009832726837084626;0.009618082074167254;0.00963804902885724;0.00983871692349162;0.009770829277545662
blocking probability fragmentation;4;all;all;all; ;0.011927260384064373;0.012155882015264737;0.011889323170153397;0.012257713484183676;0.012048060459938802;0.011981171161727342;0.012185832447299719;0.011988159595868837;0.012058043937283795;0.011880338040542901
blocking probability fragmentation;5;all;all;all; ;0.014148584093325546;0.014005820367292131;0.013879030205010707;0.013980861673929647;0.014049747667610106;0.014136603920511553;0.014050746015344605;0.013943922807753169;0.01394192611228417;0.01407370801323809


blocking probability per QoT;1;all;all;all; ;0.061951470316625984;0.061769771028947096;0.06202335135350994;0.062202055597985334;0.061984415791864464;0.06133948315537785;0.06206428361062442;0.0615880717412682;0.06166893790776265;0.062263953157524296
blocking probability per QoT;2;all;all;all; ;0.071133274430817;0.07077087420319371;0.07148569118109528;0.07118718520847997;0.07176522854675511;0.07075689733491072;0.07075789568264522;0.0713099819798234;0.07091663297243063;0.07124009763840844
blocking probability per QoT;3;all;all;all; ;0.07918494890955469;0.0791669786503337;0.07924784481682814;0.07988279397596977;0.07974202694540536;0.07960824834898243;0.07920291916877567;0.07962821530367242;0.07913003978415722;0.07940558375887906
blocking probability per QoT;4;all;all;all; ;0.08734045155268032;0.08610449705737006;0.08616439792144001;0.08667555196150371;0.08614942270542253;0.08655475188562928;0.08630216990880094;0.08682630246941313;0.08667155857056572;0.08639102285717139
blocking probability per QoT;5;all;all;all; ;0.09220639841063041;0.09278544009664005;0.09263968132740315;0.0928942599997005;0.09243601838956526;0.09316281554028083;0.09264367471834115;0.09284633930844452;0.09258876559294368;0.09275449131687058


blocking probability per QoT for other;1;all;all;all; ;0.004504544978061308;0.0039324917261931505;0.004091229015978555;0.004504544978061308;0.0041770869211455045;0.004860955119277596;0.004047301715660582;0.004176088573411005;0.0037767494796112433;0.0038935561645476735
