Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.3115936771976064;0.3112157205911235;0.3108063819332554;0.3107714357771483;0.31101587683642257;0.31072295391340987;0.31089752007232757;0.31110760459311065;0.3105984929445725;0.3111409495748626
External Fragmentation (Vertical);2;all; ;0.33257920527343804;0.33274915631324514;0.33226721645244256;0.33221990609018714;0.33294865049783645;0.3320030015294927;0.33204810898885995;0.33220835683541733;0.33283739817481395;0.3318685666211414
External Fragmentation (Vertical);3;all; ;0.351669916077634;0.35131081282039395;0.35120637498189283;0.35163745698673365;0.3512737369140366;0.35226271183324276;0.35163308888438766;0.35019872939593666;0.35099582272344926;0.351569205192842
External Fragmentation (Vertical);4;all; ;0.368693636630382;0.36796599299995886;0.3682106567048177;0.3681356033015106;0.3686624202668972;0.36870315050906366;0.3688528254403481;0.36840674551664465;0.3684812058435854;0.36750939167512986
External Fragmentation (Vertical);5;all; ;0.3837864389882933;0.3829456871967174;0.38330419272797284;0.3841618716587843;0.383101099033016;0.3843060303220527;0.3841034371007035;0.382971447057505;0.38323277468250544;0.38308138032657024


External Fragmentation (Horizontal);1;all; ;0.42346777198759566;0.4231913752434787;0.42307123074005637;0.423472555056639;0.42381747746205695;0.42372225172384503;0.4235497469103967;0.42278614590150926;0.4229991746285159;0.42352399649465383
External Fragmentation (Horizontal);2;all; ;0.44331324043430126;0.4443449502046316;0.44379247093348656;0.4437211270632478;0.44408490305029535;0.4432479441511594;0.4439762668492638;0.4431287911114329;0.443828643456733;0.443124013979662
External Fragmentation (Horizontal);3;all; ;0.46053448507356654;0.4605721561395234;0.4602951074173961;0.4607261231493952;0.4604475794390521;0.46083166032591527;0.460578114455083;0.459011408456322;0.46017590283900783;0.460153545773528
External Fragmentation (Horizontal);4;all; ;0.4749462508919376;0.47492361013390155;0.4741190297444221;0.47480108992000347;0.4744881117020668;0.47534485574988256;0.4751064228515259;0.47443725670623665;0.47523445964274813;0.47339869488852016
External Fragmentation (Horizontal);5;all; ;0.4868250370430006;0.48641467954234635;0.48628677867673764;0.4871307048329731;0.48685750935574745;0.48761303611595785;0.4871088948699416;0.486304652584534;0.48672887414693383;0.4862182522417573


External Fragmentation Per Link;1;<16-12>; ;0.5878296649701907;0.5852813606886604;0.585489291616074;0.5850910250820923;0.5849563314948032;0.5834741542309491;0.5839801398981929;0.5831818426672307;0.5848630652487203;0.5852778516022157
External Fragmentation Per Link;1;<17-23>; ;0.23095071151350666;0.227111255303654;0.2304512193142098;0.2317890099664681;0.22980811878215635;0.2289483141899523;0.22675282600733057;0.22645084819049038;0.22778984104358105;0.2263721402732798
External Fragmentation Per Link;1;<12-11>; ;0.04051336208994408;0.03971740965096124;0.03841519733517098;0.036328109378559834;0.03603103854573825;0.041080697159638906;0.04029663565071634;0.03917416781406905;0.03973701167549477;0.0390469192557258
External Fragmentation Per Link;1;<16-17>; ;0.08559846888937289;0.0839832679326179;0.08952082593190576;0.08867048435110157;0.09228760397807662;0.09023738810228805;0.08978123943097852;0.09150170208934846;0.08820291775587999;0.08815182491946578
External Fragmentation Per Link;1;<12-13>; ;0.30793788359931756;0.3069016667008134;0.30780307042506805;0.30382515716743647;0.30572425624196253;0.30822365735963114;0.3094306598740821;0.3100084963089018;0.310883231164156;0.3090339900934763
External Fragmentation Per Link;1;<16-15>; ;0.30040198778323834;0.3016987865251356;0.2986273389362674;0.2955089001831555;0.2985529436574793;0.2972036024558444;0.2952195628425654;0.2993201329331384;0.3024743314759334;0.29695350980559665
External Fragmentation Per Link;1;<22-16>; ;0.4185836159531272;0.41952923572969414;0.41429441649997556;0.4127118763325962;0.41794918545195087;0.4184248284003388;0.415539796698254;0.4164917824192037;0.4197683321208655;0.4164027960921973
External Fragmentation Per Link;1;<22-17>; ;0.4007929049533923;0.40214201512299913;0.3983246207567128;0.4020300519003752;0.40356841251210007;0.40184233588225426;0.4009304631322375;0.399719726568131;0.3939657690528801;0.40129353114354643
External Fragmentation Per Link;1;<17-22>; ;0.4718243161063573;0.46457816576022604;0.47049324704030476;0.47288615412409085;0.4695608931013332;0.47334578953422257;0.4690747148583706;0.4695770418316254;0.4689540024914916;0.4729178256603427
External Fragmentation Per Link;1;<6-11>; ;0.4470822366192117;0.44666414131103754;0.4417121184590876;0.44085722726112925;0.4411372343782405;0.4432347124020614;0.4432873123483337;0.44374066727132344;0.4443003759921646;0.44628104291071985
External Fragmentation Per Link;1;<23-22>; ;0.3628599701105727;0.3655876381455453;0.36527424931154634;0.3626419237162607;0.36606426336119974;0.36567371113340913;0.3635876754183756;0.3666011809149619;0.3646527865673046;0.3630365160646912
External Fragmentation Per Link;1;<23-24>; ;0.19319985709596882;0.19598660760419723;0.19931939472033225;0.19813316981312226;0.19481293811150596;0.1972480376327687;0.1977059566871527;0.19882404086148123;0.19549197164238746;0.19352237130585082
External Fragmentation Per Link;1;<1-2>; ;0.03289407502038118;0.03103885649628548;0.032698718406109634;0.0319467696705755;0.03242113598983436;0.0315419789912106;0.03488346339354091;0.032132229675391234;0.032250588847630754;0.032045000162045645
External Fragmentation Per Link;1;<12-16>; ;0.5226986649595852;0.523589246979517;0.5232569179728772;0.5212467310733531;0.5239299542948819;0.5236565042218436;0.5219871941143519;0.5237601491074894;0.5231082206553266;0.5236920134109989
External Fragmentation Per Link;1;<3-2>; ;0.04798040490848335;0.04790104456982314;0.04661721724480672;0.045803198636968134;0.045976552862917554;0.0469556963170286;0.048035756251921656;0.047286178618182025;0.04694478137405563;0.04730476838927798
External Fragmentation Per Link;1;<12-9>; ;0.589455526178152;0.5885007243387355;0.5898216907781613;0.5900026596244126;0.5893653893725186;0.589429626825875;0.5890090524854568;0.5880868323317313;0.5892222297326023;0.5891960802090559
External Fragmentation Per Link;1;<1-6>; ;0.4838454556111056;0.48425021081489966;0.4848865930419796;0.4822497466211332;0.48220940756359787;0.48652321264964393;0.48130704233769434;0.48480395912858093;0.4861975149784435;0.48549439318834087
External Fragmentation Per Link;1;<3-4>; ;0.024018879721332452;0.022864804745207225;0.023465087870490158;0.023157117970007184;0.02358504186546495;0.023743812836147255;0.02501957994862694;0.02322375157937068;0.023136206939854492;0.024553449063406615
External Fragmentation Per Link;1;<3-5>; ;0.02499681058251796;0.023938171470012353;0.024938966461491626;0.02575971491481669;0.02431101092437205;0.022823407253629982;0.025945642124692966;0.026436759659895843;0.024548478029085226;0.024829584432022312
External Fragmentation Per Link;1;<5-3>; ;0.02746901095964913;0.02696029060787141;0.02571205297683684;0.026126712530970847;0.027870724288994002;0.027264346879809657;0.028958164755914628;0.02831095262773756;0.026285714011626903;0.028099219114635348
External Fragmentation Per Link;1;<5-4>; ;0.11902150662495646;0.12480107852694815;0.12335373837317401;0.12274240180054115;0.12486652291231477;0.11930035843460267;0.12161901539454716;0.11791945817955808;0.123468710274837;0.12263366612974938
External Fragmentation Per Link;1;<10-9>; ;0.46202997889749486;0.45955397914981033;0.4567695575648949;0.4603536431181106;0.4579281789735921;0.461610771209941;0.46090049616338474;0.4638694804031677;0.4582069403228194;0.4623521794339858
External Fragmentation Per Link;1;<3-7>; ;0.3586230708617133;0.35899643120056685;0.3570540002598405;0.3609386403748954;0.36100568462587956;0.36445843505558456;0.361804049700824;0.3569689567672674;0.3645979372266901;0.36141491799254055
External Fragmentation Per Link;1;<7-3>; ;0.35482179219681087;0.3545131011279851;0.3546435789020815;0.3514596519848644;0.35838138480729553;0.35417027276761176;0.3528463981064055;0.3525549903410675;0.3532400755212084;0.3525272679413907
External Fragmentation Per Link;1;<10-8>; ;0.4146482086312838;0.4162386219236997;0.4120322790077529;0.4154128409638763;0.4158019106654566;0.4131482729081995;0.4136967749199574;0.41231347378735034;0.4131168700311979;0.4146324325384238
External Fragmentation Per Link;1;<7-4>; ;0.417177945273067;0.4177866104131334;0.4202787321008256;0.4190524411558617;0.41412128010133153;0.4184511690217027;0.4219804997759368;0.41813605574408025;0.41757852683968644;0.41486870561157757
External Fragmentation Per Link;1;<5-8>; ;0.31466681723387135;0.3134907788517579;0.31790180923487776;0.3139986288627473;0.3167875510206315;0.3117629958411982;0.31259998407548123;0.3118744049001954;0.3120291915451319;0.31752417792371646
External Fragmentation Per Link;1;<7-6>; ;0.10491365576068618;0.10093322210979695;0.10681048356837496;0.10482370082027252;0.10530442409903434;0.10385700796295692;0.1069728064721544;0.10626289819608697;0.10834208078704465;0.10719633633821325
External Fragmentation Per Link;1;<15-11>; ;0.24664547510498194;0.24602254006616037;0.23993058865955955;0.2409761490293718;0.24392391742553488;0.23861218835175288;0.2407400213971557;0.24663235144036366;0.24681984788241537;0.2411944402158924
External Fragmentation Per Link;1;<7-8>; ;0.06995619777643497;0.06776189154728803;0.06594159765544624;0.06917514453873844;0.07032797230462867;0.06930765458092916;0.06872991137858803;0.0659275126852219;0.06653458381624694;0.06962660356632593
External Fragmentation Per Link;1;<9-6>; ;0.497569581702016;0.4991577307371617;0.49890648685163597;0.49927076074940596;0.497899603206797;0.4974269878890004;0.497834660531576;0.49807955799103953;0.4962373132974668;0.4977645454919295
External Fragmentation Per Link;1;<16-22>; ;0.3323963118627273;0.32846328739243186;0.3284191715947987;0.32772596748774707;0.33077381104690484;0.3347003961417569;0.3243382275920274;0.3310103316562925;0.3332600122993738;0.330985370975686
External Fragmentation Per Link;1;<7-9>; ;0.5540668759903279;0.5539505878763454;0.5529465867990622;0.5545704009595301;0.5522298453705794;0.5559384687173078;0.5529503279198835;0.5552707052462394;0.5547824732366698;0.5512294587629714
External Fragmentation Per Link;1;<9-7>; ;0.5587267013792752;0.5579924311152661;0.5609164862913572;0.5592772751762578;0.558356944920139;0.5583432459028238;0.5610846727853125;0.5585414671625232;0.559189794186248;0.5589751633398757
External Fragmentation Per Link;1;<21-16>; ;0.34213099129782293;0.34203937489596414;0.3381516061761801;0.34293668358048746;0.33819851096053866;0.3348436245977956;0.33573663393217357;0.3347475205476814;0.3413787860582992;0.3388510260796398
External Fragmentation Per Link;1;<15-16>; ;0.3013863436477676;0.2961920359855855;0.29922912833628884;0.2987906442904037;0.2951835090707668;0.30051411632984554;0.2997662761160825;0.3016290668529646;0.29910794110884786;0.29615566300513463
External Fragmentation Per Link;1;<11-12>; ;0.5026931635366867;0.5041553788933778;0.5056096859388112;0.5005526310002539;0.5022506779464158;0.5059112680736054;0.5063176395062089;0.5044282905330543;0.5042599947683769;0.5041607999438821
External Fragmentation Per Link;1;<19-11>; ;0.2470309089959251;0.2528863181024205;0.24552072084264692;0.2480924206939185;0.2439259819932811;0.24377394977153588;0.24407776557691926;0.2446957898087199;0.24603062651021693;0.25721084259465166
External Fragmentation Per Link;1;<9-10>; ;0.5633738524759184;0.5593900835865718;0.5611393551967157;0.5612440826574142;0.5640749574187907;0.5633659928471666;0.5622195999448577;0.5636423904997414;0.5618214337098476;0.5627221855544439
External Fragmentation Per Link;1;<16-21>; ;0.30419627718785475;0.30369952076943985;0.3019227640816326;0.2986891043210246;0.30896801062478285;0.3050383499293696;0.30666429039642223;0.3040182707170396;0.301697644513971;0.303750213977868
External Fragmentation Per Link;1;<9-11>; ;0.46500409868514897;0.46667874370540136;0.4655109571445049;0.4671478073705822;0.4634902545470056;0.4689707426092216;0.4651923297617835;0.4659773272348078;0.4684805728115346;0.4634030868955368
External Fragmentation Per Link;1;<22-21>; ;0.4290674077956467;0.4316754221602894;0.4291420340133841;0.4371294809784477;0.4362832326466024;0.4354067433283367;0.43200127453720094;0.4314587906684328;0.42986104607219555;0.43580160387944494
External Fragmentation Per Link;1;<22-23>; ;0.3158186154416554;0.3110965855094879;0.31392815234369287;0.3140042339094536;0.31656915048230594;0.3162566472191567;0.31194816732217573;0.3119340258046917;0.31460218283979247;0.31395501179686747
External Fragmentation Per Link;1;<11-15>; ;0.40683837314920235;0.41000106062440805;0.40343242074378816;0.40389659940553685;0.40114768177755195;0.4060575784207336;0.4034061047863744;0.4056476222870436;0.40270580663240996;0.4048392147195885
External Fragmentation Per Link;1;<11-16>; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
External Fragmentation Per Link;1;<18-17>; ;0.1914167117607249;0.19310585359031646;0.1860203328121936;0.18590749377188806;0.18755318573451718;0.18690961432623332;0.18812395513708233;0.18760038548653843;0.18793258142957472;0.18662606476587998
External Fragmentation Per Link;1;<20-19>; ;0.41054224650642995;0.40521578006262854;0.40695492651946474;0.40793205786592845;0.40543017180755714;0.4053271882895726;0.4084145150908778;0.40453833669467837;0.4056862189706522;0.40587014051213555
External Fragmentation Per Link;1;<14-10>; ;0.45109843542118067;0.4462653427431877;0.4461753600647083;0.44891588749130207;0.44333030222469827;0.44862722085307943;0.44752261712161506;0.45151064203388125;0.4493857397923785;0.4469313254860858
External Fragmentation Per Link;1;<20-15>; ;0.12548255579628578;0.12526044755989796;0.1169821030445957;0.12364452193691357;0.12260183140543253;0.12312571813824273;0.11836606937770311;0.12815791690125147;0.12326052103548443;0.12354781919900475
External Fragmentation Per Link;1;<18-14>; ;0.40520633957063984;0.40015426278423827;0.4023001483090587;0.40403840490065274;0.39673781144365716;0.40118748166120083;0.40095074051709134;0.40438087162551895;0.4020078046330487;0.3992499950479261
External Fragmentation Per Link;1;<14-13>; ;0.261932305040663;0.2526547047481616;0.2536810811343123;0.25614769842507856;0.25735564303050223;0.2586286563992641;0.25989903314269047;0.2594538574095388;0.25814797608108053;0.25955863355561515
External Fragmentation Per Link;1;<24-18>; ;0.3047648289831959;0.29895345817803654;0.29918772648165126;0.302595858747671;0.2927449355395491;0.29998078352918944;0.30110975412071556;0.2991663529315598;0.2967107287575787;0.2954313060287042
External Fragmentation Per Link;1;<15-20>; ;0.3532118951126022;0.3515260054772646;0.34809727220685155;0.34342499544647975;0.3451064269546541;0.3460504895443434;0.3455805844535731;0.3478284175474758;0.344557003208836;0.3450931497361178
External Fragmentation Per Link;1;<19-20>; ;0.2351515503394277;0.23033376785649945;0.23886175140749477;0.23070685587258352;0.23263552956491873;0.22920457961317028;0.23362235491942643;0.23513375524136917;0.23437773942806864;0.2363866041602567
External Fragmentation Per Link;1;<8-10>; ;0.44899124061668044;0.4467992359655446;0.45049417244703965;0.45193911422696115;0.4489792625416055;0.44561104556749287;0.44656274175190286;0.4400394222067172;0.4440291091380558;0.4527827618725212
