Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.41803978485443527;0.4177994444511302;0.41631069916286073;0.41739875113070635;0.41703262782735095;0.41664887706564635;0.4178051363371046;0.4166365853925333;0.4173319002701754;0.41704775240612263
Percentage of cicuits by modulation;1;16QAM;all; ;0.13861762188407795;0.13859401718284867;0.1384787464690541;0.13789142152514494;0.1385599008730527;0.1385410337673996;0.1388854514253549;0.1382480665944716;0.13853186834333597;0.13853529509009754
Percentage of cicuits by modulation;1;32QAM;all; ;0.011942680387997557;0.011851636287253118;0.011753220671396848;0.01194661094720888;0.011933325744108865;0.01189549567302166;0.011953247088894267;0.012151740885373937;0.011865413064418958;0.011932353768725387
Percentage of cicuits by modulation;1;BPSK;all; ;0.1539391909493506;0.15384918347006896;0.15487021550672153;0.15416811769421318;0.1546461378144785;0.1542593778565994;0.1541218716496138;0.15417035845940122;0.154455926200892;0.15408052778687079
Percentage of cicuits by modulation;1;64QAM;all; ;0.003888950913624353;0.003995400694271982;0.004059288152547808;0.004088064778250138;0.003869409879418899;0.00397720741580045;0.003942436053139657;0.004051674159638587;0.003951493071766505;0.004004821551151249
Percentage of cicuits by modulation;1;8QAM;all; ;0.2735717710105143;0.2739103179144271;0.274527830037419;0.2745070339244765;0.27395859786159005;0.27467800822153254;0.2732918574458928;0.2747415745085814;0.27386339904941115;0.2743992493970324
Percentage of cicuits by modulation;2;QPSK;all; ;0.41551452280309475;0.4151681784224373;0.41563065942853833;0.41549517865122587;0.4166524531427495;0.41542789833935273;0.4165134406416672;0.41567342937041124;0.4161637628566273;0.41607548683213763
Percentage of cicuits by modulation;2;16QAM;all; ;0.14121037463976946;0.14123625140979065;0.1409407933279723;0.1408549271587975;0.14089448214279743;0.14164599578714857;0.1410652057943382;0.14142295308443908;0.14153707008128885;0.14123033732899604
Percentage of cicuits by modulation;2;32QAM;all; ;0.01219216156145188;0.01211779782071137;0.012106861148670474;0.011929397579351946;0.012208023562120904;0.012160934487043033;0.012124809697174888;0.012129416090109963;0.012120928595455932;0.012070540528496947
Percentage of cicuits by modulation;2;BPSK;all; ;0.14836264915883104;0.14932814359657218;0.1485156564992794;0.14894752736629435;0.14819075775361665;0.14875017256658843;0.14855592592138864;0.14844970308722438;0.148409531892901;0.14883806425738602
Percentage of cicuits by modulation;2;64QAM;all; ;0.0041178750072380175;0.003998071662456314;0.003970649493561199;0.004041842598814527;0.00404221472342712;0.00397905152949664;0.004022670398291145;0.004193544793163764;0.004095630807341616;0.004117463571142106
Percentage of cicuits by modulation;2;8QAM;all; ;0.27860241682961484;0.2781515570880322;0.2788353801019783;0.2787311266455158;0.27801206867528844;0.27803594729037057;0.27771794754713997;0.27813095357465156;0.27767307576638534;0.2776681074818413
Percentage of cicuits by modulation;3;QPSK;all; ;0.4149906314217809;0.4142689075820556;0.41417898614087467;0.4138323704072163;0.41400296305028683;0.4144098798685435;0.41445632731939785;0.414647525293337;0.4137228330089767;0.41393805660586813
Percentage of cicuits by modulation;3;16QAM;all; ;0.14350237556330417;0.1437930772880289;0.14366779780809258;0.14383498781376303;0.1433180042144686;0.14340841407659075;0.14349845885115595;0.14353083310760958;0.14346526100803023;0.14358194212544997
Percentage of cicuits by modulation;3;32QAM;all; ;0.012409117994240647;0.012347831797733343;0.012250760009242438;0.01238452534861929;0.012141251577025138;0.01246206568969876;0.012248763286107684;0.012420283629909774;0.012341402058447594;0.012529366587902664
Percentage of cicuits by modulation;3;BPSK;all; ;0.14368249695832738;0.14350094151509765;0.14411746050443772;0.1435573840891142;0.14412054423095016;0.14341748316833255;0.14392551736950077;0.14346736601359783;0.1440335927054287;0.14322739084238212
Percentage of cicuits by modulation;3;64QAM;all; ;0.0041529876361955645;0.00416010399127669;0.004086607074089008;0.00414592664689826;0.004116984943306442;0.004092427648486539;0.004010045503821437;0.004179761477060612;0.004174181211769221;0.004080171634538053
Percentage of cicuits by modulation;3;8QAM;all; ;0.28126239042615137;0.2819291378258078;0.28169838846326356;0.28224480569438887;0.2823002519839628;0.2822097295483479;0.2818608876700163;0.28175423047848525;0.28226273000734753;0.28264307220385904
Percentage of cicuits by modulation;4;QPSK;all; ;0.4128620260208273;0.4134750270081013;0.4120963248465424;0.413058360628531;0.4124172547574917;0.413354109873809;0.41276578086493043;0.4122351124097351;0.4129586098820059;0.41198333314149566
Percentage of cicuits by modulation;4;16QAM;all; ;0.14564336051852714;0.14481409903507944;0.1450582747362556;0.14536219824496296;0.14582158111048432;0.1460415738114241;0.14611002630432326;0.14644444060236173;0.14523760140117994;0.14576595034473233
Percentage of cicuits by modulation;4;32QAM;all; ;0.012471241260050439;0.012710507706234784;0.01264960098728593;0.012372158206884152;0.012650956103289087;0.01241409810350725;0.0124155944754005;0.012384953635666822;0.012470040560471976;0.012581866734193533
Percentage of cicuits by modulation;4;BPSK;all; ;0.13910186325528776;0.13954377615869937;0.1395416304032492;0.13940604420554265;0.13990191450905448;0.1389851512230403;0.1390359845908767;0.139511402340981;0.14022054756637167;0.13922812187064768
Percentage of cicuits by modulation;4;64QAM;all; ;0.00418319418154671;0.004123198404160975;0.004220371061102132;0.004246986771529399;0.0043217480400170386;0.0040654760465145745;0.004223446119939415;0.004200164825348525;0.004158600663716814;0.004133334868034853
Percentage of cicuits by modulation;4;8QAM;all; ;0.2857383147637607;0.28533339168772415;0.28643379796556473;0.28555425194254985;0.28488654547966336;0.28513959094170477;0.2854491676445297;0.28522392618590686;0.28495459992625366;0.286307393040896
Percentage of cicuits by modulation;5;QPSK;all; ;0.41121883332553677;0.41052414734321285;0.41060467989083455;0.41105445043830074;0.4109975070508833;0.41081738678369323;0.41125852861175805;0.4100930578058011;0.4110874110663617;0.40970705973296345
