Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.008865008647741136;0.008839067867832786;0.008846582280424025;0.008861901004864677;0.008857612951437225;0.008872653473184916;0.008874285320198225;0.008847983270153242;0.008835298971828706;0.00885466621419813
Relative Fragmentation per spectrum size (c);1;all;3; ;0.01864580868372667;0.018650623763687122;0.01866225884856808;0.01865500263682348;0.018637538184924064;0.0186402130018873;0.018659702292081654;0.01864584569831311;0.0186012731945458;0.018674045365088755
Relative Fragmentation per spectrum size (c);1;all;5; ;0.03597205280834823;0.03587951154154767;0.035967568983767885;0.03597151814651685;0.03588171499716206;0.035928676502062835;0.03589641502034685;0.03588502067124692;0.03584230365822281;0.03597627906134862
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.009759613014938233;0.009736565161685204;0.009748387454559639;0.009741893976939536;0.00977057491233161;0.009719370729183857;0.009763315732792823;0.009757280189489993;0.009756889594298827;0.009755548201950667
Relative Fragmentation per spectrum size (c);2;all;3; ;0.020382905895531957;0.020394915622574374;0.02041246037650333;0.020446695959998734;0.020433938708896825;0.020378669728512204;0.020381154331226406;0.020389766730937547;0.020365717208272422;0.02041141133777868
Relative Fragmentation per spectrum size (c);2;all;5; ;0.039555316328974126;0.039515232531565796;0.03954211998793118;0.03958626908506122;0.039629857128147046;0.03951428488118603;0.03949817064651713;0.0395005327337936;0.039525844077299754;0.039606702978412546
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.01061049287189701;0.01060928196199922;0.010600990446859955;0.010607272308095328;0.010607245637354028;0.010640974806464205;0.010612345635604242;0.010579824668687393;0.010594981635355077;0.010642051439743167
Relative Fragmentation per spectrum size (c);3;all;3; ;0.022066380241244615;0.02206443020364591;0.02205346821684391;0.022134248486024247;0.022085633847204342;0.022148556840342972;0.022103428276256068;0.02199859000057129;0.022038675262267486;0.022117427524588326
Relative Fragmentation per spectrum size (c);3;all;5; ;0.042976679720008334;0.04298050035149732;0.042908587130616925;0.043059813913538164;0.043027918552784275;0.04308695219981099;0.04299969811760905;0.04280266182184375;0.04289578339793243;0.043041104836222976
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.011451124679099355;0.011418429949289976;0.011424709771411778;0.011437475198721526;0.011445578621957048;0.011439966309556038;0.011472084589198777;0.011419097530448369;0.011445870041755507;0.011394186577002939
Relative Fragmentation per spectrum size (c);4;all;3; ;0.023813070853465606;0.023729819716678452;0.02370091290694886;0.023684459889178843;0.02378491617231269;0.02376376204539723;0.023768720061346;0.02373837403170097;0.023703750545109523;0.023686063804467854
Relative Fragmentation per spectrum size (c);4;all;5; ;0.04633058803070737;0.04627779349201235;0.046215987719096116;0.04633192519108501;0.04638072953683255;0.04635442686006446;0.04644508692779691;0.046208446500478624;0.0462928138757248;0.046236862943535656
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.012255377098713442;0.012223315155659173;0.012216150654421781;0.012266974450698558;0.01223630326883471;0.012244955233163657;0.012267572801994192;0.012210290534038461;0.0122070731243192;0.01223342814381879
Relative Fragmentation per spectrum size (c);5;all;3; ;0.02530371455617008;0.025261647711194067;0.025280819547280106;0.02536473734072849;0.02533485984564377;0.02533422266580045;0.025399578746353114;0.02526809420225111;0.025303165149396338;0.02522942917094376
Relative Fragmentation per spectrum size (c);5;all;5; ;0.04942595838855138;0.04943507367661539;0.04941150812340539;0.0496603636617931;0.04937975470253386;0.04949570555801058;0.049523970978543455;0.0493503852847212;0.049492249109931254;0.049389746797355374


