Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Tx utilization geral;1;all;all;all; ;115.16704553963191;114.9918944147436;114.97368255537086;114.9473211834414;115.04819623523069;115.0075674758275;115.04498754561202;115.0798288831983;114.92016313001982;114.9688854945066
Tx utilization geral;2;all;all;all; ;127.02424786977552;127.12123934887761;127.27989577249652;127.23409257678541;127.18656423618911;126.85014600835618;126.85052538049528;127.1454892153486;127.0249447164942;127.04892203403368
Tx utilization geral;3;all;all;all; ;138.68904363278773;138.75515521811403;138.3643450090101;138.761115354089;138.4702557267722;139.06365664824716;138.7439926920946;138.30195326734255;138.3502323654352;138.84701918325172
Tx utilization geral;4;all;all;all; ;150.43997484163708;149.91865063320205;149.8498654726428;149.92645272074716;150.05637869326264;149.93570940094145;150.22441659054266;149.67896830745116;149.97791754646062;149.8628739436233
Tx utilization geral;5;all;all;all; ;160.87862387748277;160.8947751471315;160.51413710309438;161.09400542102819;160.85804793067473;160.86937119067943;160.9739241555226;160.69619978934864;160.7710738727406;160.9005276267777


Rx utilization geral;1;all;all;all; ;115.16704553963191;114.9918944147436;114.97368255537086;114.9473211834414;115.04819623523069;115.0075674758275;115.04498754561202;115.0798288831983;114.92016313001982;114.9688854945066
Rx utilization geral;2;all;all;all; ;127.02424786977552;127.12123934887761;127.27989577249652;127.23409257678541;127.18656423618911;126.85014600835618;126.85052538049528;127.1454892153486;127.0249447164942;127.04892203403368
Rx utilization geral;3;all;all;all; ;138.68904363278773;138.75515521811403;138.3643450090101;138.761115354089;138.4702557267722;139.06365664824716;138.7439926920946;138.30195326734255;138.3502323654352;138.84701918325172
Rx utilization geral;4;all;all;all; ;150.43997484163708;149.91865063320205;149.8498654726428;149.92645272074716;150.05637869326264;149.93570940094145;150.22441659054266;149.67896830745116;149.97791754646062;149.8628739436233
Rx utilization geral;5;all;all;all; ;160.87862387748277;160.8947751471315;160.51413710309438;161.09400542102819;160.85804793067473;160.86937119067943;160.9739241555226;160.69619978934864;160.7710738727406;160.9005276267777


Regenerator utilization geral;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


Max tx utilization geral;1;all;all;all; ;160.0;159.0;156.0;166.0;158.0;159.0;166.0;163.0;158.0;158.0
Max tx utilization geral;2;all;all;all; ;172.0;179.0;171.0;174.0;171.0;179.0;174.0;170.0;171.0;173.0
Max tx utilization geral;3;all;all;all; ;182.0;184.0;190.0;187.0;189.0;186.0;184.0;188.0;187.0;185.0
Max tx utilization geral;4;all;all;all; ;206.0;197.0;199.0;206.0;198.0;198.0;199.0;202.0;195.0;199.0
Max tx utilization geral;5;all;all;all; ;210.0;218.0;211.0;214.0;215.0;213.0;212.0;208.0;211.0;210.0


Max rx utilization geral;1;all;all;all; ;160.0;159.0;156.0;166.0;158.0;159.0;166.0;163.0;158.0;158.0
Max rx utilization geral;2;all;all;all; ;172.0;179.0;171.0;174.0;171.0;179.0;174.0;170.0;171.0;173.0
Max rx utilization geral;3;all;all;all; ;182.0;184.0;190.0;187.0;189.0;186.0;184.0;188.0;187.0;185.0
Max rx utilization geral;4;all;all;all; ;206.0;197.0;199.0;206.0;198.0;198.0;199.0;202.0;195.0;199.0
Max rx utilization geral;5;all;all;all; ;210.0;218.0;211.0;214.0;215.0;213.0;212.0;208.0;211.0;210.0


Max regenerator utilization geral;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


Tx utilization per node;1;all;11;all; ;5.955783950320127;5.96079890534604;5.939762796504369;5.991108647984386;6.026344073180635;6.018435927401082;6.055306107903927;5.992033694344164;5.980955115322041;6.017869941229873
Tx utilization per node;1;all;22;all; ;5.688581231274766;5.760899198852087;5.692465538468967;5.713781171697888;5.682299582639743;5.694215867379987;5.755949692113835;5.772492686755298;5.703769422597353;5.733916869947865
Tx utilization per node;1;all;23;all; ;5.521635954185534;5.595538428397042;5.596015009024414;5.575187880233806;5.624982090835283;5.586846907414522;5.596080970883101;5.588380450407283;5.6484178804620795;5.610816214800885
Tx utilization per node;1;all;12;all; ;5.880227678356085;5.863416279237829;5.864279726978805;5.8907700055154555;5.872652905015906;5.848675271739131;5.811215587436991;5.9817757343307045;5.884864320644357;5.817679957571959
Tx utilization per node;1;all;24;all; ;5.795997510413176;5.772382870570182;5.7468351372245845;5.750317129795841;5.782738023844364;5.836022656956542;5.824537911575525;5.817944917280291;5.809393056683062;5.7478985524699535
Tx utilization per node;1;all;13;all; ;5.885156680812295;5.814878520748226;5.924369145478876;5.826006311275986;5.921596646660951;5.916684607104413;5.911604725277359;5.801964902116977;5.849739197013926;5.843256349930379
Tx utilization per node;1;all;14;all; ;5.930852846813197;5.8712583551293225;5.9364567800279;5.8679560014505014;5.935266788006514;5.9050895745811;5.96661105815062;5.970944252118897;5.936974088817907;5.929237441272136
Tx utilization per node;1;all;15;all; ;5.779562567228397;5.776025388277155;5.688323826870536;5.739269176323808;5.757634454886769;5.750239371888165;5.676278484687213;5.778530884008335;5.682492223856485;5.692627407389508
Tx utilization per node;1;all;16;all; ;5.665067086854797;5.666936578627736;5.710909308161071;5.617821878260026;5.700572276895817;5.585550783405715;5.65603622929329;5.64725584956218;5.671589797427883;5.731565452732539
Tx utilization per node;1;all;17;all; ;5.620548437312896;5.648484559891431;5.63322024110301;5.6821686976389945;5.570010121945342;5.624344075715826;5.625150189839958;5.636400867260901;5.610292715484363;5.5573965070367946
Tx utilization per node;1;all;18;all; ;5.91987202444906;5.8905511051056845;5.851315852318861;5.924041280358463;5.842024613321841;5.877395004447436;5.890907785119219;5.903751493428913;5.924348242047357;5.8488927277525855
Tx utilization per node;1;all;19;all; ;5.893398846400342;5.8556278043045324;5.808906573899783;5.834983972058753;5.845549926772467;5.913396546370823;5.847806193709965;5.859153919694073;5.811879764130591;5.937725546058879
Tx utilization per node;1;all;1;all; ;5.352915797799669;5.343671980026887;5.358036803943621;5.346831995412844;5.348401508418802;5.401857303559034;5.375014926086022;5.308159659187181;5.3998897913222645;5.377894110648423
Tx utilization per node;1;all;2;all; ;5.275606100259332;5.256085035232294;5.245692633987084;5.192280970748185;5.267206766292081;5.216155643507701;5.235904830569575;5.275466112821982;5.220536446524193;5.245957875545747
Tx utilization per node;1;all;3;all; ;5.130071541748691;5.157448845279406;5.075059888208677;5.206673533427551;5.076352944035382;5.177966712299157;5.147273250515612;5.189150504544479;5.1971854541979265;5.159730678318172
Tx utilization per node;1;all;4;all; ;5.210606457138779;5.155766972608977;5.216370907871734;5.206934586610397;5.1368894446983;5.203493220864012;5.186302027108073;5.205340677763142;5.154050687491017;5.187238818444492
Tx utilization per node;1;all;5;all; ;5.640664160401003;5.689619708203779;5.6480989639413295;5.630191198207219;5.676840556320311;5.6333452764839365;5.653766016045982;5.597246582254151;5.59711902593356;5.627202458111287
Tx utilization per node;1;all;6;all; ;5.840266857279008;5.755340317901752;5.762293707633716;5.7584248118498635;5.735676363898431;5.7425291763521775;5.828167131982724;5.735584843492586;5.7421103348590705;5.785955419350205
Tx utilization per node;1;all;7;all; ;5.278752624846129;5.263661594410949;5.313048074381952;5.365778834720571;5.3081103176320665;5.330135413177664;5.327880987630737;5.300338348571017;5.3214617971899525;5.332999714040606
Tx utilization per node;1;all;8;all; ;5.780655808280118;5.70503390277212;5.770925110132159;5.838452949421519;5.800410051017976;5.772856045327956;5.720703502999807;5.739158669456671;5.730757086298608;5.732605926602417
Tx utilization per node;1;all;9;all; ;5.869376149857835;5.817454773203575;5.848777102378787;5.837713187605092;5.8705653302567065;5.85230352303523;5.838053182298166;5.893012944289494;5.778761913930875;5.768891884734828
Tx utilization per node;1;all;20;all; ;5.7496470700835065;5.8107015457788345;5.676267612383782;5.7064464315680965;5.767272553104869;5.725576946071984;5.671505130854822;5.72554942441252;5.631632381735115;5.7071586114307635
Tx utilization per node;1;all;21;all; ;5.605552356272195;5.661992425331991;5.731148471305952;5.609168833670423;5.607877493219403;5.553871324767817;5.61251015434606;5.56343988332895;5.648510943667025;5.656498259930397
