Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.311532373753824;0.31182209569509506;0.31131173088958825;0.3113884116503741;0.31115928675926263;0.31119339389151623;0.31029339239701653;0.3110786304326953;0.3109720328259285;0.31200374242303797
External Fragmentation (Vertical);2;all; ;0.3321381647065448;0.3324944221112274;0.33293653796188727;0.33291217591007083;0.33198180257236404;0.3326312219338339;0.33246377626880425;0.3322427123089454;0.33242601507030795;0.33294972359173286
External Fragmentation (Vertical);3;all; ;0.3511953550761982;0.3512908425347838;0.3516321636246488;0.351603972228659;0.3506985224961955;0.3500048881705421;0.35095901999431767;0.35062275483932603;0.35077339799275564;0.3510454436776457
External Fragmentation (Vertical);4;all; ;0.3681704089048618;0.3681234686452984;0.3683482631445716;0.36766314402926914;0.36856362376071755;0.3689197171575552;0.36837300228122044;0.3683030132720475;0.3672869352334808;0.36823071239780725
External Fragmentation (Vertical);5;all; ;0.3842310680477462;0.38378293524836904;0.383239826274049;0.3833339272058465;0.3841969234683356;0.38354305785421194;0.383359154796054;0.38404446821226956;0.3832750597688711;0.3832956186249457


External Fragmentation (Horizontal);1;all; ;0.42393374584434196;0.4255124356775699;0.4238441504135409;0.42340680995937297;0.4238861693131903;0.4244401027884776;0.4227914606695841;0.42316362172951955;0.42349594850370725;0.42451754152502424
External Fragmentation (Horizontal);2;all; ;0.44348265118301955;0.4444013783014025;0.4438164439287073;0.4437015871656405;0.44346237160007673;0.4436972052894014;0.44362068750039674;0.44302750812064423;0.4433721087256219;0.44450202457990823
External Fragmentation (Horizontal);3;all; ;0.46018384583320177;0.4606445500797737;0.4599449020665263;0.4605655523689879;0.45998775850257795;0.4595630290665799;0.460507864085656;0.46001254562337424;0.4606023321579731;0.46032650989654156
External Fragmentation (Horizontal);4;all; ;0.4742166815038265;0.4746458591667058;0.47440815379241696;0.47432036125851595;0.4749569637464375;0.47483344862648186;0.4745646480710306;0.47443829161111983;0.47392935992060503;0.47487816427303065
External Fragmentation (Horizontal);5;all; ;0.4862719194314017;0.48669268998002296;0.48583067582091843;0.486205831235636;0.4867707285182071;0.4852986351064782;0.4858643814230892;0.48651484450301935;0.48601763353120697;0.48672354260514766


External Fragmentation Per Link;1;<16-12>; ;0.5848012445266704;0.5889582344466658;0.5845586408488253;0.5824613481539137;0.5847016797019666;0.5850172864560588;0.5841340350532228;0.582038485221134;0.5832748969121858;0.5864995531017816
External Fragmentation Per Link;1;<17-23>; ;0.23285627593787667;0.22608436490980455;0.2274508491820628;0.22429614356443098;0.22816644954986906;0.22854379095658772;0.23013421671054518;0.23540615798808348;0.2244851882852501;0.22824852151080774
