Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.17383494034594257;0.1739538645026752;0.17309581652414138;0.17543712567532851;0.17502674431226206;0.173180851390455;0.17346849349499077;0.17271044165131386;0.17387285872221692;0.17359148969891403
bandwidth blocking probability;2;all;all;all; ;0.18428885590735006;0.18675336735798734;0.18727883203587087;0.18638242635881472;0.18445629330207647;0.1832667176554209;0.1853103378794491;0.1867879117739594;0.18521721991366408;0.18535894699717076
bandwidth blocking probability;3;all;all;all; ;0.19753701085451106;0.19971599930393777;0.20019338563612998;0.19891412151186852;0.2009376025928502;0.20023693552683455;0.2002195853527667;0.19799809887842704;0.19925895019226006;0.199451141093326
bandwidth blocking probability;4;all;all;all; ;0.21323574106148344;0.2150504653398695;0.21238548402511107;0.21360511006866004;0.21210198486296492;0.21344807128986124;0.21334046711626498;0.2128206568856622;0.21246871478071325;0.2132583724344235
bandwidth blocking probability;5;all;all;all; ;0.22770312329975984;0.2305259183615842;0.2306212981328217;0.22981640438000675;0.2288411204105318;0.2306020485884616;0.22885294825916724;0.22756705432425836;0.22982890337816927;0.22995776897971432


bandwidth blocking probabilities per pair;1;all;13;24; ;0.1770602123629125;0.18793644335353665;0.16713877243628136;0.1770784641590081;0.1524157442237097;0.18018112716148338;0.19585998937302868;0.19973614003052545;0.19955729001722158;0.17710473039269023
bandwidth blocking probabilities per pair;1;all;19;10; ;0.1959161488295219;0.20547269548584896;0.15772140464807835;0.21757799254649243;0.21226624389297277;0.19644752862357312;0.17134285345169983;0.18792604280737046;0.1814542135379758;0.16896589200142373
bandwidth blocking probabilities per pair;1;all;19;20; ;0.054049418261940034;0.07213220897934706;0.07006303732042514;0.05447152494431942;0.06556319155698918;0.09287890144962065;0.09068177617800555;0.08820311880177983;0.08716042529627262;0.09118846861819258
bandwidth blocking probabilities per pair;1;all;19;7; ;0.2367668075824975;0.2429472540498211;0.26070695960777296;0.23639124237716366;0.23151118049999397;0.2539538817866598;0.219102539170175;0.2256704053707011;0.19265392967320147;0.24445265326509863
bandwidth blocking probabilities per pair;1;all;11;1; ;0.1872420898394587;0.2289500669583885;0.1736064141475728;0.20573961635600796;0.19410615890011307;0.1747884193001473;0.1823866311758095;0.17003212510578594;0.1859554780364586;0.21254776340038284
bandwidth blocking probabilities per pair;1;all;12;15; ;0.1482062897312457;0.14905429311100807;0.13491272009919344;0.16196303800702277;0.11814788363737753;0.11850696486598572;0.15852550780538546;0.15292200656904614;0.14931547488258354;0.13714560912920482
bandwidth blocking probabilities per pair;1;all;13;3; ;0.2106341525034628;0.20623303067711016;0.213435080222383;0.17805338919949096;0.21010749350550703;0.20997860288891407;0.21919417297732666;0.18950495204455403;0.24970262725464173;0.2227342479139932
bandwidth blocking probabilities per pair;1;all;20;12; ;0.2151814384025946;0.1958832828223055;0.18531545466799865;0.1942397751462783;0.1934605872189185;0.16969870257881908;0.19538530061715292;0.21020658240789092;0.21393958320769846;0.19194433844291078
bandwidth blocking probabilities per pair;1;all;4;16; ;0.2593732143066151;0.2436549034346582;0.2328356334911284;0.2751355858022722;0.2527761777652335;0.24276751629842153;0.25294537252382826;0.2636443176222585;0.22540848264914018;0.2307944743993216
bandwidth blocking probabilities per pair;1;all;19;17; ;0.17450478486121115;0.15842349947360013;0.19529017757068878;0.156294945121882;0.18777356481407206;0.16433239710292658;0.1620797299304744;0.16559062658482618;0.19164135815271519;0.16471300429820887
bandwidth blocking probabilities per pair;1;all;13;20; ;0.18170745404714178;0.21570870730055489;0.20238859823107;0.19075730232385865;0.19694010380737823;0.16123644492802242;0.20505243968226203;0.16572322632880943;0.16257430931694244;0.17609146750223903
bandwidth blocking probabilities per pair;1;all;2;21; ;0.28513383743095533;0.27036693017994007;0.28880680118139745;0.2610029266654463;0.2801799382826003;0.2648363879097183;0.27487628147350723;0.28524913981348504;0.2845203759231241;0.2616808224720652
bandwidth blocking probabilities per pair;1;all;12;13; ;0.09066843028950877;0.09266981402105628;0.10325536808312759;0.08741312164287032;0.096157230421867;0.09298262093394373;0.08511517219898312;0.08551786039973061;0.09644177424013721;0.12156423620299427
bandwidth blocking probabilities per pair;1;all;12;17; ;0.14904456390755502;0.1383469084684672;0.15060889111294376;0.14220067671729392;0.17534522106944725;0.1278538188641854;0.12165533286544733;0.1469558969050318;0.1366257972413796;0.13544616746430338
bandwidth blocking probabilities per pair;1;all;19;5; ;0.29263565949973225;0.2866657708305699;0.2524217079982273;0.30553545637444557;0.27665301458033725;0.2806182558873117;0.2910009702818713;0.29480840809845893;0.26186702968546743;0.25124557731368996
