Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.14403162765622893;0.1440635747837329;0.1444010163179937;0.14559304351298602;0.14495310261517189;0.14414743599343088;0.1442532608532878;0.14350350170467877;0.1444469403137807;0.1436023381303942
blocking probability;2;all;all;all; ;0.15104601883882174;0.1528250745016997;0.15283705467451367;0.1528021125038062;0.1526134247819858;0.14989492390094394;0.1524696627082179;0.15299579196429908;0.1516649944342114;0.1516320489589729
blocking probability;3;all;all;all; ;0.16058722813743254;0.16078190594565994;0.16104247470436428;0.16154763865802096;0.16236828049577948;0.16148374440301302;0.161497721271296;0.16041151893616065;0.1609755854061528;0.16162750647678092
blocking probability;4;all;all;all; ;0.1697101297352881;0.17168486155412793;0.16944556758564575;0.17044092027694166;0.16926286995023238;0.1702272738617588;0.1711916777732852;0.1700675382242389;0.16898832432324504;0.16989182902296698
blocking probability;5;all;all;all; ;0.1795688136134697;0.18098846409192787;0.1809435384438754;0.179929217145624;0.18039245049443173;0.18021973633636332;0.18005900235110892;0.17928029111819938;0.18183805801398686;0.1800969395650199


blocking probability fragmentation;1;all;all;all; ;0.0010852039874008515;0.001148099894674314;0.0011770519789747968;0.0011351213741258217;0.0011191478103738312;0.0011271345922498266;0.001101177551152842;0.0011860371085852914;0.0010991808556838432;0.0010402783393483783
blocking probability fragmentation;2;all;all;all; ;0.0022452840548891585;0.002313171700835118;0.0022552675322341526;0.0022722394437206424;0.002453938731399534;0.0023141700485696175;0.002429978385771548;0.0022402923162166614;0.0023650857830290867;0.0022253171001991702
blocking probability fragmentation;3;all;all;all; ;0.003978415721980123;0.003995387633466613;0.0038556189506366964;0.003904537989627167;0.0036459659263918215;0.003661939490143812;0.003835651995946708;0.003676914706161303;0.003987400851590618;0.003600041930604849
blocking probability fragmentation;4;all;all;all; ;0.005715540780009085;0.0056776035660981074;0.005945160758943948;0.006006059970748412;0.005702562259460592;0.005873279722059991;0.005538833231002691;0.0058622978969804975;0.00590822189276747;0.0058563078105735005
blocking probability fragmentation;5;all;all;all; ;0.00810159186546266;0.007946847966615251;0.008191443161567606;0.007990775266933226;0.007776130504015853;0.007939859532473757;0.007779125547219352;0.007825049543006325;0.007912904143642272;0.007973803355446736


blocking probability per QoT;1;all;all;all; ;0.002231307186606167;0.0022702427482516434;0.0021973633636331873;0.002224318752464671;0.0023411254374011013;0.002268246052782645;0.002135465804094224;0.002378064303577579;0.0021684112793327044;0.002179393104412198
