Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;16QAM;all; ;0.4288540154073141;0.4284104680335871;0.427998343086177;0.4282542727976995;0.4283716031767901;0.4279858480826905;0.429535572580711;0.4302610751194176;0.4288404831446645;0.4297406783513928
Percentage of cicuits by modulation;1;32QAM;all; ;0.32201169836187943;0.32169129868327284;0.32296867616086067;0.32226014552108445;0.322522190126357;0.3223177322404053;0.3221580959514118;0.3210531591744627;0.3226231053865426;0.3223398984629553
Percentage of cicuits by modulation;1;64QAM;all; ;0.18277203356718394;0.18329206289591335;0.18304930485464083;0.18342854405302042;0.18283006134539537;0.18326336307506746;0.18267004058737954;0.18255093167846662;0.18285842311682218;0.1818154264031289
Percentage of cicuits by modulation;1;8QAM;all; ;0.06636225266362253;0.06660617038722673;0.0659836758983215;0.06605703762819562;0.06627614535145751;0.06643305660183677;0.06563629088049765;0.06613483402765312;0.06567798835197072;0.06610399678252304
Percentage of cicuits by modulation;2;16QAM;all; ;0.42938100261183804;0.4297005457371576;0.42931655206142133;0.42798373792128214;0.43016815722164164;0.42946899162900815;0.4288147592330608;0.42881945672237115;0.42944362916142487;0.4291527609758853
Percentage of cicuits by modulation;2;32QAM;all; ;0.320860954020596;0.32049772737182364;0.3203467029632379;0.3207659674758426;0.31908872523088777;0.32011997482125915;0.3207697191651167;0.32004370549006017;0.3199241178761949;0.31989992609782386
Percentage of cicuits by modulation;2;64QAM;all; ;0.18209485640770545;0.18217557157453007;0.18258707347109532;0.18388640113127505;0.18318922606207197;0.18241551498980638;0.18344439431615922;0.18393198539378552;0.18331275838816388;0.183562179031552
Percentage of cicuits by modulation;2;8QAM;all; ;0.06766318695986048;0.06762615531648866;0.0677496715042454;0.06736389347160028;0.06755389148539861;0.06799551855992635;0.0669711272856633;0.06720485239378317;0.06731949457421632;0.06738513389473882
Percentage of cicuits by modulation;3;16QAM;all; ;0.4291581133251348;0.42965975777027793;0.42915299174387694;0.42853638788340637;0.4281827088334219;0.42886687049948563;0.42882758456464537;0.4290635426848265;0.4282632467608188;0.4285926931504239
Percentage of cicuits by modulation;3;32QAM;all; ;0.3184697467418013;0.31897545464170535;0.318917445909185;0.3196477900552486;0.3193161529311648;0.31884120089915036;0.31959066068175596;0.3188050103569891;0.3197999079024242;0.3198080403924931
Percentage of cicuits by modulation;3;64QAM;all; ;0.18376264566449652;0.1834138902007716;0.183667203747028;0.1835742522385216;0.1845407369091009;0.18371861546081458;0.183622855373918;0.1835458240286904;0.18384770345056536;0.1836703343812518
Percentage of cicuits by modulation;3;8QAM;all; ;0.0686094942685674;0.06795089738724516;0.06826235859991003;0.0682415698228234;0.06796040132631243;0.0685733131405494;0.06795889937968068;0.068585622929494;0.06808914188619167;0.06792893207583119
Percentage of cicuits by modulation;4;16QAM;all; ;0.4279841378248908;0.42814992659873735;0.4294392910933505;0.42903149716222266;0.4281527005979964;0.4271223106409704;0.4279818834469633;0.4277510327123827;0.4286683958303049;0.42956792810908717
Percentage of cicuits by modulation;4;32QAM;all; ;0.3188727659247004;0.31844456818603667;0.31807762441266024;0.3178767937689245;0.3189510546657181;0.3192988957415424;0.3182261678190272;0.3186263541944843;0.3186426505940146;0.3178204699560544
Percentage of cicuits by modulation;4;64QAM;all; ;0.1844218338175032;0.18481690663696868;0.1838834804412396;0.1847816668511984;0.18462418520583768;0.18514797640847697;0.18481895492543784;0.18426668398880797;0.18437217303970388;0.1843491500717995
Percentage of cicuits by modulation;4;8QAM;all; ;0.06872126243290559;0.06858859857825732;0.06859960405274969;0.0683100422176544;0.06827205953044782;0.06843081720901022;0.06897299380857164;0.069355929104325;0.06831678053597666;0.06826245186305897
Percentage of cicuits by modulation;5;16QAM;all; ;0.42869398349211296;0.4268016631580744;0.4279106107662979;0.42737281904196106;0.4274121642361906;0.4280126215235704;0.42851072326975104;0.42716749505521373;0.42705084464488796;0.4278072717531598
Percentage of cicuits by modulation;5;32QAM;all; ;0.31727730597513476;0.31837701906585714;0.31802435849304983;0.31853309115345474;0.31750844129584244;0.31858751950040004;0.3171455427871491;0.31830191295716465;0.3184770034996266;0.31870540389158125
Percentage of cicuits by modulation;5;64QAM;all; ;0.18536509980055707;0.18598749096440984;0.18525082519514585;0.18552569427874385;0.18628953279315535;0.18496913426139608;0.18562568032553348;0.18593369485620587;0.18613059415557476;0.18525436524365
Percentage of cicuits by modulation;5;8QAM;all; ;0.06866361073219525;0.06883382681165869;0.06881420554550641;0.06856839552584036;0.06878986167481156;0.06843072471463349;0.06871805361756635;0.06859689713141576;0.06834155769991068;0.068232959111609


Average of slots by modulation;1;16QAM;all; ;5.210794450567715;5.219963072386753;5.200280041772897;5.219592648462704;5.211027459478646;5.193033925174012;5.222202778234712;5.235093494219701;5.210783587270951;5.2285247984705325
Average of slots by modulation;1;32QAM;all; ;3.294704246050491;3.2787906498256842;3.2910754187499633;3.2847651553303785;3.2890005627803687;3.2845011309169;3.286121776138261;3.2716146373645842;3.2956174610750213;3.2826308702925457
Average of slots by modulation;1;64QAM;all; ;1.8781749155863467;1.8850006939965218;1.8794315152010175;1.88208982953211;1.8802959150551921;1.8844085112140996;1.8761040782208285;1.875738127597871;1.8785638687047024;1.8700932019141656
Average of slots by modulation;1;8QAM;all; ;1.0257282317745238;1.0319529995229504;1.0212621716072647;1.0209938760558575;1.023459301171564;1.024174442327904;1.0182240717343143;1.0178724207787726;1.0135360789013372;1.024356067450441
Average of slots by modulation;2;16QAM;all; ;5.179854626104975;5.181110258703689;5.175856887804706;5.164678293660146;5.190920240483795;5.176019832955966;5.1711454260819165;5.169984653573879;5.188575550845613;5.186651242921631
Average of slots by modulation;2;32QAM;all; ;3.2729764722899386;3.276349700734288;3.27456470629828;3.272566580249823;3.262270128382908;3.2655535095218857;3.2776579541612825;3.2753693396793517;3.260681220939606;3.275424466798153
Average of slots by modulation;2;64QAM;all; ;1.8727854941265982;1.8687650030580607;1.8737444980643794;1.8923591798255952;1.885743099875234;1.8741744097558226;1.8887568276884041;1.8851540418148858;1.8839019981429592;1.880697410599549
Average of slots by modulation;2;8QAM;all; ;1.0231878536006558;1.0248191973150345;1.0276018926069306;1.0199304737214234;1.0226098594585933;1.0286783979556366;1.014528826185341;1.0149044207608149;1.0167569100629723;1.0206749575180165
Average of slots by modulation;3;16QAM;all; ;5.132869569767912;5.1320343513675235;5.132848850354497;5.127874357020385;5.114545814273353;5.12338076732579;5.120972984557501;5.132846519171726;5.114184335558827;5.122133704868058
Average of slots by modulation;3;32QAM;all; ;3.2598590393457676;3.2544232917403733;3.2509787635093166;3.268233234901886;3.274113308653688;3.258079494799406;3.2705032801914538;3.2586488588286495;3.269228343683403;3.2770220062875106
Average of slots by modulation;3;64QAM;all; ;1.8887324245184955;1.8817152367277457;1.8833813691027268;1.8840707753857877;1.8914004228753138;1.882178201318246;1.8836192834775982;1.883396474105149;1.8866676265122029;1.883165428217586
