Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.007511521582109627;0.0075206665645741865;0.007513373319994968;0.0075125450197145675;0.007515860154992395;0.007526187643884061;0.007511242634992019;0.007545156138584917;0.0075018933913142336;0.007522126760284726
Relative Fragmentation per spectrum size (c);1;all;3; ;0.014512825621480931;0.01450774741219937;0.014509739299473684;0.014511006319165022;0.014518424919248797;0.014540790845797257;0.014502785380273227;0.014589593676876714;0.014529475197828172;0.014529401748628216
Relative Fragmentation per spectrum size (c);1;all;5; ;0.029765523981160013;0.029742448724724268;0.02973659320614962;0.029724806582804523;0.02973937251443133;0.02981271060560278;0.029699598276615318;0.029874384539459044;0.029706489831880012;0.0297240191258957
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.008426468710598822;0.008465254988138686;0.008414656482780652;0.008413458313173484;0.008453819690754247;0.008458809695076518;0.008436523758588563;0.008433176181001771;0.008453797108996464;0.008417663039411393
Relative Fragmentation per spectrum size (c);2;all;3; ;0.016109194954933154;0.016170532020482232;0.016138226775728286;0.01609882934064381;0.016189601463677154;0.016193875572721957;0.01616849384298486;0.016116671568250543;0.016151344394637217;0.01614268457897523
Relative Fragmentation per spectrum size (c);2;all;5; ;0.03336887211483682;0.03346087839879865;0.033310483966989324;0.033226781954739465;0.033417240081839675;0.03345830944749395;0.03340437446965029;0.03331706143211723;0.03337792561775913;0.03336324830825411
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.009387417515881182;0.009378241532519963;0.009349415763890654;0.00934752591887849;0.009294916847064516;0.00930981093218131;0.009319235763824082;0.009339020102487279;0.009370322966650841;0.009325214191565331
Relative Fragmentation per spectrum size (c);3;all;3; ;0.017810110779788817;0.017787591423036195;0.01776247515824086;0.01776827032052059;0.017696956629376842;0.01771712967778053;0.017717807186642134;0.017740126364971114;0.017846269309792818;0.017752626301849917
Relative Fragmentation per spectrum size (c);3;all;5; ;0.0370693179502227;0.03707378684429218;0.03696256761295126;0.03691728229960164;0.036677461918113254;0.036882214934386565;0.03683652540812618;0.036875905704074306;0.03711139725873818;0.03689483885445351
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.010212849575694717;0.010180401161789985;0.010264179811794493;0.01021699799158025;0.010231299722279071;0.010213395089662954;0.010225287717510773;0.010218295830149458;0.010234635663626217;0.010257921794423227
Relative Fragmentation per spectrum size (c);4;all;3; ;0.01934654711147717;0.019356133882855127;0.019474864897569697;0.019350727968534712;0.019326533397366626;0.019252563951193527;0.019405427229119383;0.019333674964825548;0.01937002171091886;0.019389204320807197
Relative Fragmentation per spectrum size (c);4;all;5; ;0.04035660978541325;0.04033928053529023;0.04053266155085471;0.04042169179414493;0.04038323377254548;0.04028826301539902;0.040437439203171104;0.040395954861615284;0.04042946480761253;0.04051488911656864
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.011114219843011988;0.01105392745114636;0.011082240729359785;0.01106488706550812;0.011067171491927194;0.011077632434303751;0.011055501892688769;0.011059797567051726;0.011004944898598117;0.011033415457452912
Relative Fragmentation per spectrum size (c);5;all;3; ;0.02092123554586656;0.020874495138758657;0.020905352001268983;0.020829243762403853;0.02081288107365404;0.02086907258753894;0.02093825883914428;0.02087117437685162;0.020741970758527413;0.020861219919061483
Relative Fragmentation per spectrum size (c);5;all;5; ;0.043845075418229365;0.04360447708364909;0.04372552817031549;0.04363406858843426;0.04368649598265143;0.043676605773744714;0.043792789705095696;0.043730630280937134;0.04339348019793097;0.04370678283157903


