Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Tx utilization geral;1;all;all;all; ;107.8654436906919;107.80915984046403;108.00215243771558;107.83276577264627;107.97576510874502;108.14784930939295;107.89938551696942;108.30064942520129;107.85767754366523;107.81740319770779
Tx utilization geral;2;all;all;all; ;120.0708986627132;120.36763656149073;120.0401775062272;120.0601105170942;120.29972495519914;120.26746434650653;120.21175554457373;119.99135930035791;120.23104062776106;120.00346027324777
Tx utilization geral;3;all;all;all; ;132.4597980342533;132.23481038880652;132.07725813778197;131.9775321842351;131.596423918415;131.74546525500298;131.84739556034762;131.85242523623404;132.20917980741874;131.9153700625465
Tx utilization geral;4;all;all;all; ;143.4021674129316;143.4420124693632;143.7612720946833;143.50502718001707;143.8413875036814;143.49385467052028;143.74610918929173;143.69508563327693;143.59496633072266;143.83285262889916
Tx utilization geral;5;all;all;all; ;154.9266763506397;154.41588271410816;154.63816084380352;154.41989607200082;154.58668104287403;154.64411698638753;154.62359495035716;154.48768587986882;153.88909055513125;154.59161487737794


Rx utilization geral;1;all;all;all; ;107.8654436906919;107.80915984046403;108.00215243771558;107.83276577264627;107.97576510874502;108.14784930939295;107.89938551696942;108.30064942520129;107.85767754366523;107.81740319770779
Rx utilization geral;2;all;all;all; ;120.0708986627132;120.36763656149073;120.0401775062272;120.0601105170942;120.29972495519914;120.26746434650653;120.21175554457373;119.99135930035791;120.23104062776106;120.00346027324777
Rx utilization geral;3;all;all;all; ;132.4597980342533;132.23481038880652;132.07725813778197;131.9775321842351;131.596423918415;131.74546525500298;131.84739556034762;131.85242523623404;132.20917980741874;131.9153700625465
Rx utilization geral;4;all;all;all; ;143.4021674129316;143.4420124693632;143.7612720946833;143.50502718001707;143.8413875036814;143.49385467052028;143.74610918929173;143.69508563327693;143.59496633072266;143.83285262889916
Rx utilization geral;5;all;all;all; ;154.9266763506397;154.41588271410816;154.63816084380352;154.41989607200082;154.58668104287403;154.64411698638753;154.62359495035716;154.48768587986882;153.88909055513125;154.59161487737794


Regenerator utilization geral;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Regenerator utilization geral;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


Max tx utilization geral;1;all;all;all; ;158.0;155.0;157.0;160.0;155.0;150.0;155.0;155.0;154.0;164.0
Max tx utilization geral;2;all;all;all; ;166.0;176.0;170.0;166.0;173.0;168.0;170.0;163.0;178.0;166.0
Max tx utilization geral;3;all;all;all; ;181.0;189.0;180.0;178.0;178.0;183.0;179.0;183.0;182.0;178.0
Max tx utilization geral;4;all;all;all; ;196.0;196.0;207.0;194.0;195.0;199.0;194.0;193.0;197.0;195.0
Max tx utilization geral;5;all;all;all; ;207.0;208.0;210.0;203.0;205.0;208.0;203.0;205.0;214.0;208.0


Max rx utilization geral;1;all;all;all; ;158.0;155.0;157.0;160.0;155.0;150.0;155.0;155.0;154.0;164.0
Max rx utilization geral;2;all;all;all; ;166.0;176.0;170.0;166.0;173.0;168.0;170.0;163.0;178.0;166.0
Max rx utilization geral;3;all;all;all; ;181.0;189.0;180.0;178.0;178.0;183.0;179.0;183.0;182.0;178.0
Max rx utilization geral;4;all;all;all; ;196.0;196.0;207.0;194.0;195.0;199.0;194.0;193.0;197.0;195.0
Max rx utilization geral;5;all;all;all; ;207.0;208.0;210.0;203.0;205.0;208.0;203.0;205.0;214.0;208.0


Max regenerator utilization geral;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Max regenerator utilization geral;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


Tx utilization per node;1;all;22;all; ;5.290226031989273;5.266840994146435;5.284698188414445;5.264530497880595;5.3200852347547105;5.232876712328767;5.281985645933014;5.245505523332771;5.207368952339751;5.295238095238095
Tx utilization per node;1;all;11;all; ;5.305552889230179;5.398886827458256;5.367013372956909;5.358569649358115;5.398508600562253;5.32415733038419;5.320725189001782;5.349574040394372;5.378274453256429;5.298364111039256
Tx utilization per node;1;all;12;all; ;5.353280046086268;5.282103428239395;5.388425981510386;5.325339670651496;5.390298079678991;5.34632535493046;5.418169736092652;5.432706811923859;5.345648956990787;5.382756713870123
Tx utilization per node;1;all;23;all; ;5.233779264214047;5.145732999422076;5.232541999712822;5.22164506290507;5.252410083073481;5.251232588195874;5.264644275911881;5.219082038308637;5.278725743236785;5.234954618387336
Tx utilization per node;1;all;13;all; ;5.434253906063357;5.328961617133919;5.387184158795608;5.380202339854239;5.420872438230224;5.369673038956036;5.408384686763901;5.441963749849958;5.399789860782769;5.397820748193891
