Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.1520288501560882;0.15280568282867632;0.1541821992637052;0.15166425195441088;0.15383272495473785;0.15153651905863216;0.15444313170927604;0.15296835100895673;0.1537588636485128;0.15339846537876115
bandwidth blocking probability;2;all;all;all; ;0.1817810017560293;0.1778449309854762;0.1798207249752647;0.17970803260776486;0.17810637447051528;0.17985700379663103;0.17962359762042754;0.17855847830059604;0.17868924396228392;0.17895704054426154
bandwidth blocking probability;3;all;all;all; ;0.20322363113792372;0.20449392747943726;0.2045430569201308;0.2046707536308226;0.2036862627006004;0.20426551994275333;0.20601020679800097;0.2041393076389397;0.20334247147813928;0.20378810729381883
bandwidth blocking probability;4;all;all;all; ;0.22656795670238644;0.22653905611557723;0.22772860265983383;0.22602010381056392;0.22755310793015038;0.22713810734065745;0.2267353293182897;0.22680585251188193;0.2267008377015185;0.22719258592232064
bandwidth blocking probability;5;all;all;all; ;0.24791384122253046;0.24803976771188357;0.24719927944973538;0.24904334505603665;0.2476999848075466;0.24866347923249424;0.2477275592149762;0.24905251571142675;0.24606366634381557;0.24831940384614126


bandwidth blocking probabilities per pair;1;all;13;12; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2895783651784945E-4;0.0
bandwidth blocking probabilities per pair;1;all;18;23; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;19;8; ;0.4446260451493533;0.4810523025188307;0.46327896179354083;0.46272681138472;0.4756032387621043;0.44009663641894103;0.4824096757383043;0.4667504662853115;0.4865980451689847;0.4510096999824661
bandwidth blocking probabilities per pair;1;all;18;20; ;0.04134111803591176;0.03363940444283065;0.014821863321808204;0.02783414480336812;0.026350073604949995;0.03440859260929388;0.03964671019932045;0.032785987031222874;0.034292062416999086;0.056749618742939434
bandwidth blocking probabilities per pair;1;all;10;14; ;0.003057055676665445;0.006910296378262651;0.012802921774955348;0.005972952106278915;0.010076437681799753;0.007234911886209224;0.006447305222620894;0.0044520841822762725;0.004934231077528663;0.004153063048004064
bandwidth blocking probabilities per pair;1;all;12;3; ;0.26199305067385087;0.26882101433683836;0.24438749506192442;0.29023232947754146;0.2564837197807872;0.23836390982994352;0.2391222345312333;0.2781406721941803;0.2999309324480675;0.31494755618956727
bandwidth blocking probabilities per pair;1;all;12;16; ;0.013570958578057428;0.028219368781986054;0.0253970024977021;0.017094467403618026;0.025828076392518134;0.018476376666853683;0.03295012545675552;0.02097982864102712;0.015350028387052237;0.019138420940142082
