Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.31059202048323253;0.3107756228116754;0.31141461633503226;0.31055669868526736;0.31079993051571986;0.3113226488634833;0.3114267735855549;0.31073204285329936;0.3105986569056528;0.3104794382560897
External Fragmentation (Vertical);2;all; ;0.33255754343823435;0.33171244730091737;0.3324834212866673;0.3317490198757977;0.3320546836231523;0.3319575384494625;0.33242442528405636;0.3327208142219228;0.3322970138399844;0.33126505968795283
External Fragmentation (Vertical);3;all; ;0.35081151090457546;0.35047604476005556;0.35086451533958063;0.3503378823897956;0.3509826342582365;0.35079170545603533;0.3505221306497188;0.3506893237587291;0.35093143471531923;0.35100596960737485
External Fragmentation (Vertical);4;all; ;0.3678321412217333;0.36826583049982997;0.3684470426197018;0.36773820617002034;0.36756194789807634;0.36722421099761177;0.36803372310372046;0.36803859039963027;0.3682225218261387;0.36777065528481145
External Fragmentation (Vertical);5;all; ;0.3830910883232197;0.3839086863963434;0.3839570792068468;0.38331250490609786;0.38297719541420816;0.38329646569653836;0.38291732548120705;0.38311401947490265;0.3829441122125375;0.38305195663636404


External Fragmentation (Horizontal);1;all; ;0.42256216968854104;0.4227954008310723;0.42364709431401915;0.42276843161123856;0.4226910301036159;0.423558035654103;0.42429697026264823;0.4229189930869784;0.4226568082418503;0.4234865022508289
External Fragmentation (Horizontal);2;all; ;0.44383899106597785;0.44328359744747337;0.443867471047254;0.44271656097467416;0.4428676725037052;0.4434534162247716;0.4433861125331146;0.442855278349757;0.4432264331636769;0.44249920912102086
External Fragmentation (Horizontal);3;all; ;0.45952152054202017;0.46003233601332383;0.46016538967563914;0.4596733091762221;0.45941868225172255;0.46083657283047236;0.45964991878976746;0.45978392074596447;0.4594679385201841;0.45997850319583716
External Fragmentation (Horizontal);4;all; ;0.47416288363888365;0.47432537188362034;0.4747198821016183;0.4735830741674798;0.4739621024487217;0.4734192161257018;0.4742625493383386;0.47402304751582086;0.4740605908119569;0.4738580966503341
External Fragmentation (Horizontal);5;all; ;0.4853273773989158;0.4865121621984989;0.4865891352990502;0.4862730890885466;0.4859994002375974;0.4860053415995829;0.48602206890270006;0.4860024069590894;0.4858223000555852;0.4869335870290312


External Fragmentation Per Link;1;<16-12>; ;0.5829609307818342;0.5848126665857386;0.5819207710122372;0.5840249244963056;0.5831434876142461;0.5831128392133301;0.5856661632039023;0.5847621609174843;0.5836625440082798;0.5823077999840969
External Fragmentation Per Link;1;<17-23>; ;0.22758380431462177;0.2264854897269344;0.22949830762613932;0.22824651700296902;0.22612096833176032;0.23186211361554715;0.23028411675120014;0.23282075099388924;0.22512584414446232;0.2265438434828802
External Fragmentation Per Link;1;<12-11>; ;0.04241948904383301;0.04090484530091121;0.03907175636342988;0.03973513928620336;0.041033534494652975;0.039338729779925564;0.03867193410624235;0.04042615166002484;0.041143103353389894;0.03733528722906447
