Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Tx utilization geral;1;all;all;all; ;114.84702317664265;114.98719718865279;115.11955313955404;114.86263733521022;115.12190125342558;115.0640719609047;115.1516300522635;114.828773380056;115.1654911122093;114.8342682859867
Tx utilization geral;2;all;all;all; ;127.30709276147975;126.84899291672282;127.059190040483;126.77505728020127;127.23243332285068;126.95251858174721;127.11596008605757;126.96262585421128;127.04977362465121;126.78382576835338
Tx utilization geral;3;all;all;all; ;138.3870414464062;138.41061842650413;138.68906160304695;138.35014151579136;138.41414758574558;138.5357453414599;138.49861778756159;138.6153545881566;138.49259176063615;138.37808726557546
Tx utilization geral;4;all;all;all; ;150.05379397097803;149.81517688225986;149.8997349386765;149.64074157269718;149.89290025008611;149.70031497871022;150.03004527506977;149.82452141705477;149.88311145054934;149.88795243871394
Tx utilization geral;5;all;all;all; ;160.7743903839146;161.32853527412132;161.27853302783893;161.03220170617627;160.49850996600625;160.75978455655888;160.94355242074366;160.78102440461038;160.48066549859982;160.73876833839995


Rx utilization geral;1;all;all;all; ;114.84702317664265;114.98719718865279;115.11955313955404;114.86263733521022;115.12190125342558;115.0640719609047;115.1516300522635;114.828773380056;115.1654911122093;114.8342682859867
Rx utilization geral;2;all;all;all; ;127.30709276147975;126.84899291672282;127.059190040483;126.77505728020127;127.23243332285068;126.95251858174721;127.11596008605757;126.96262585421128;127.04977362465121;126.78382576835338
Rx utilization geral;3;all;all;all; ;138.3870414464062;138.41061842650413;138.68906160304695;138.35014151579136;138.41414758574558;138.5357453414599;138.49861778756159;138.6153545881566;138.49259176063615;138.37808726557546
Rx utilization geral;4;all;all;all; ;150.05379397097803;149.81517688225986;149.8997349386765;149.64074157269718;149.89290025008611;149.70031497871022;150.03004527506977;149.82452141705477;149.88311145054934;149.88795243871394
Rx utilization geral;5;all;all;all; ;160.7743903839146;161.32853527412132;161.27853302783893;161.03220170617627;160.49850996600625;160.75978455655888;160.94355242074366;160.78102440461038;160.48066549859982;160.73876833839995


